,-0.1895779844748944,-0.16727469218373037,-0.14497139989256633,-0.12266810760140229,-0.10036481531023825,-0.07806152301907421,-0.05575823072791017,-0.03345493843674613,-0.01115164614558209,0.01115164614558195,0.03345493843674599,0.05575823072791003,0.07806152301907407,0.10036481531023808,0.12266810760140215,0.14497139989256622,0.16727469218373023,0.18957798447489424,0.2118812767660583,0.23418456905722237
thresh,-0.0892131691646562,0.0892131691646562,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,0,0,3,8,132,2040,1914,126,21,3,5,0,0,1,2,0,0
unreg_genes,['tpiA'],[],['ptsG'],[],[],[],[],[],[],[],[],[],[],['phoA' 'gloA' 'phoE' 'dkgA' 'sbp'],[],[],['yqhD'],['nemA' 'nemR'],[],[]
