,yohL
Cr_1,-0.008296177771557216
Cr_2,-0.0076409915378941205
Cr_3,-0.007409261242291587
Cr_4,-0.011068207608301048
Cr_5,-0.01811961791721216
Cr_6,-0.02646688600894541
Fe_1,-0.0164956381707237
Fe_2,-0.040563841618257344
Fe_3,-0.052917665470121535
Fe_4,-0.07016057914855969
Fe_5,-0.0829822702257725
Fe_6,-0.08876133851291894
Cd_1,0.0019276813284062426
Cd_2,0.012188585481907464
Cd_3,0.02085744572358179
Cd_4,0.02953848817088342
Cd_5,0.0352916132809347
Cd_6,0.05208406579446275
Zn_1,-0.16624644055043758
Zn_2,-0.20028665896626335
Zn_3,-0.2072302531426635
Zn_4,-0.19149617039809969
Zn_5,-0.07536909574867183
Zn_6,0.04549691576287356
Cu_1,0.001218069225309592
Cu_2,0.007354231440236145
Cu_3,0.0034279273087749586
Cu_4,0.003491857709511557
Cu_5,0.004695911982385432
Cu_6,0.0074151105563063
Pb_1,-0.025052246670907274
Pb_2,-0.052667369711587315
Pb_3,-0.07900644643099147
Pb_4,-0.0961877704189718
Pb_5,-0.09585404211274147
Pb_6,-0.09177637444396734
