,rffC
Cr_1,-0.006370564233573185
Cr_2,-0.0002933135318664123
Cr_3,0.014252004540750582
Cr_4,0.008164991799862123
Cr_5,0.003046161248594934
Cr_6,-0.003018427919614509
Fe_1,-0.02576803483145264
Fe_2,-0.0352499965587497
Fe_3,-0.03488971812780338
Fe_4,-0.04020612273152616
Fe_5,-0.012649578754235728
Fe_6,0.0015567443089848953
Cd_1,-0.012448452252087606
Cd_2,-0.01802820252504457
Cd_3,-0.009183334674215452
Cd_4,-0.017427455577801898
Cd_5,-0.014392395592708091
Cd_6,-0.010500170031279578
Zn_1,-0.02944434642082142
Zn_2,-0.019542059762719045
Zn_3,-0.004108584243751991
Zn_4,0.01746312820092621
Zn_5,0.05384246354464688
Zn_6,0.09062874235516452
Cu_1,0.004855848929835142
Cu_2,0.009511207357144854
Cu_3,0.018111212335315208
Cu_4,0.021494963334505297
Cu_5,0.02248751968478853
Cu_6,0.0221169353967967
Pb_1,0.005086879792871703
Pb_2,0.0013822985836404204
Pb_3,0.0007887759588121217
Pb_4,-0.0061682941650837795
Pb_5,-0.0015515252108395108
Pb_6,-0.0016623181372342852
