,-0.08155181680625,-0.05825129771875,-0.03495077863125,-0.01165025954375,0.01165025954375,0.03495077863125,0.05825129771875,0.08155181680625,0.10485233589375,0.12815285498125,0.15145337406874998,0.17475389315625,0.19805441224374998,0.22135493133124995,0.24465545041874998,0.26795596950625,0.29125648859375,0.31455700768124994,0.33785752676874997,0.36115804585625
thresh,-0.09320207635,0.09320207635,2,,,,,,,,,,,,,,,,,
unreg,1,4,82,864,675,81,5,0,1,1,0,0,1,0,1,0,0,0,0,0
PyrR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['XK27_08715'],['yecS'],[],[],['nylA'],[],['carB'],[],[],[],[],[]
PyrR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['carA' 'pyrB' 'naiP' 'pyrE' 'pyrR'],['pyrP' 'pyrF'],[],[],[]
