,A,PyrR
R2,,0.9037571455477865
xmin,,-4.2307106796
xmid,,-3.2062053082478967
xmax,,2.0981969153
ystart,,-10.721989182312988
yend,,7.97951571861204
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.0372747758,-0.11210576280000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.4606406417,0.207567425
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,0.4979154176,-0.0954616622
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,-3.6662629997,-1.5094898514000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,-3.2903116233,-1.3020341052
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-3.1739880967,-1.1487611468
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,-2.2004209049,-1.0811677077
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,-2.2368188557,-1.1082415606
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,-3.9419638358,-1.4650990881000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-0.1762756435,0.1304029904
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,0.33773358470000003,0.036209717700000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-1.3454042774000001,-0.5739125147
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,0.2068994384,0.194598138
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,1.7800639070000002,0.3554753748
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-0.32916012240000003,-0.0658576423
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-3.7323512174999998,-1.3881795844
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-1.1367661154,-0.4878360667
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-2.0930304501,-0.6181853788
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-9.43895984,-2.6559611457
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-6.3102692154,-1.630771565
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,1.0891566904,0.2707350356
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,0.1960795646,-0.0838451736
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-0.0345446924,0.0542295974
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,0.5425845843,0.07256762480000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,0.3875552528,0.21546651560000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-0.6041705268,0.060254408
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.1309358873,0.10992966850000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,6.369564042,1.9460571717000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,7.4523056375,2.0981969153
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,6.7080535119,1.9604259132
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-5.7133401657,-1.5008407393
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-10.8029808883,-4.0104645108
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,-11.7057794257,-3.9613968107
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,-11.1381085636,-3.6385493355
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-7.8729236137,-2.2079849786
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,-7.4767216724,-2.2486611304
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,-2.2116174589,-0.9588154893
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,-8.9465181607,-3.1670601013
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-5.2587392858,-1.7481082899
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,-9.6582250323,-3.2177810501
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,-11.9426112218,-3.6283041775
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,-6.3728612585,-2.3669865546
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,-2.6445950971,-1.1076072408
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,-6.7951021883,-2.4094811725
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-9.9239328458,-3.529172956
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,-4.626271313,-1.5744869617
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,-8.8553638302,-4.2307106796
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,-6.3444156612,-2.0181535936
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-1.1331000416,-0.7744561374000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-3.296305165,-1.4572631498
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-0.5392185938,-0.5072694632
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.3320811578,-0.1338290576
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.0841031146,-0.037510926300000004
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.2479780432,0.1713399839
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-1.7562455158999999,-1.4432534332
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-1.4892979096,-0.666515818
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-1.0610467934,-0.3725794448
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-1.6382262873,-0.6053223336
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-1.7983829875000001,-0.40673145590000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,0.1916534726,0.046725040600000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,0.9263739155,0.2323153516
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.6803555994,0.1276910637
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,-1.2850933196,-0.4954123761
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-0.5084497853000001,-0.2901789484
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,-1.2018853406,-0.4077588626
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,-1.354479263,-0.5107703317
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-1.3925271021,-0.5078892581000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,-1.8077168622,-0.5260280028000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-1.3490495751,-0.40967979660000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,-0.6358444144000001,-0.3326562998
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,1.6128339024,0.4825551293
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,1.833532823,0.49904018390000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,0.4113610395,0.2336511808
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,0.9331923455000001,0.2851230312
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,0.3755388709,0.6397611955
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.3819055729,0.5144997501
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.28102413530000003,0.495915873
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-0.4426775559,-0.22841914230000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,0.5303830805,0.0731421988
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,0.7121665154,0.3463460843
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,1.5399494979,-0.1682237801
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,9.2433327508,0.5823795139
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,1.3238182532,0.1095032769
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,9.5873455716,1.0652691041
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,1.8778099932,0.048744739200000005
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,8.1508535457,0.3025232056
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,0.15897137960000002,-0.4660819912
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-2.5590463210000003,-1.2267641432
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-0.5283613954,-0.47046786150000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-2.4953669744,-1.1691310612999999
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-0.6690785634,-0.7136269660000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-2.8529033161,-1.3267928899
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.2789766715,0.027019594900000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.41119350250000003,0.0074459254
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.690170174,-0.0344655202
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-5.2962316718,-1.3179628633
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-7.7356028003,-2.1381899526
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-4.7181793966,-1.1797745821
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-0.7107806045,-0.27471074970000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-6.4337658355,-1.7748077234
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-4.1050331703,-0.8794513954000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-6.498019476,-1.8011695448
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-5.8961565757,-1.5157370023999999
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-4.6657556429,-1.2577686404000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,-9.544974905,-2.6901933651
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,-9.4712730745,-2.667418261
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,-9.4921488714,-2.623468574
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,2.8022440697,0.0352904013
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,1.0640507361,-0.310787758
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,-2.8609000997000003,-0.9833955278000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,-9.6950511073,-2.4668378541
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,-11.7489116508,-3.2587484884
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,-11.8705493509,-3.1263053226
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,-5.9400440512,-1.8599807752
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,-5.7181858595,-1.8142122517
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,-8.1443045322,-2.3947992661
