,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,3.33333360913457e-11,0.48036391037447357,3.0,0.0,-0.0372747758,1.0,-0.4606406417,2.0,0.4979154176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-3.3768542399,0.25729528444356636,3.0,3.0,-3.6662629997,4.0,-3.2903116233,5.0,-3.1739880967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-2.7930678654666665,0.9951395207164363,3.0,6.0,-2.2004209049,7.0,-2.2368188557,8.0,-3.9419638358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.229421046191072e-17,3.8532506031611193,21.0,9.0,-0.1762756435,10.0,0.33773358470000003,11.0,-1.3454042774000001,12.0,0.2068994384,13.0,1.7800639070000002,14.0,-0.32916012240000003,15.0,-3.7323512174999998,16.0,-1.1367661154,17.0,-2.0930304501,18.0,-9.43895984,19.0,-6.3102692154,20.0,1.0891566904,21.0,0.1960795646,22.0,-0.0345446924,23.0,0.5425845843,24.0,0.3875552528,25.0,-0.6041705268,26.0,0.1309358873,27.0,6.369564042,28.0,7.4523056375,29.0,6.7080535119
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-6.821844356352381,3.4949594259864445,21.0,30.0,-5.7133401657,31.0,-10.8029808883,32.0,-11.7057794257,33.0,-11.1381085636,34.0,-7.8729236137,35.0,-7.4767216724,36.0,-2.2116174589,37.0,-8.9465181607,38.0,-5.2587392858,39.0,-9.6582250323,40.0,-11.9426112218,41.0,-6.3728612585,42.0,-2.6445950971,43.0,-6.7951021883,44.0,-9.9239328458,45.0,-4.626271313,46.0,-8.8553638302,47.0,-6.3444156612,48.0,-1.1331000416,49.0,-3.296305165,50.0,-0.5392185938
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-9.25185853854297e-18,0.2990353985404657,3.0,51.0,-0.3320811578,52.0,0.0841031146,53.0,0.2479780432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-1.4862041265500001,0.3037550651133012,4.0,54.0,-1.7562455158999999,55.0,-1.4892979096,56.0,-1.0610467934,57.0,-1.6382262873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,1.2371963999628084,4.0,58.0,-1.7983829875000001,59.0,0.1916534726,60.0,0.9263739155,61.0,0.6803555994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-1.087476927125,0.3910260869308827,4.0,62.0,-1.2850933196,63.0,-0.5084497853000001,64.0,-1.2018853406,65.0,-1.354479263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-1.2962844884500002,0.48641236256976245,4.0,66.0,-1.3925271021,67.0,-1.8077168622,68.0,-1.3490495751,69.0,-0.6358444144000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,1.1977300276,0.6493362745164447,4.0,70.0,1.6128339024,71.0,1.833532823,72.0,0.4113610395,73.0,0.9331923455000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-1.6666686549389926e-11,0.4728550861463599,6.0,74.0,0.3755388709,75.0,0.3819055729,76.0,0.28102413530000003,86.0,0.15897137960000002,88.0,-0.5283613954,90.0,-0.6690785634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-1.1845740952500001,1.6419371360911068,6.0,77.0,-0.4426775559,78.0,0.5303830805,79.0,0.7121665154,87.0,-2.5590463210000003,89.0,-2.4953669744,91.0,-2.8529033161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,1.5805259147666668,0.27921594904546565,3.0,80.0,1.5399494979,82.0,1.3238182532,84.0,1.8778099932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,8.993843956033333,0.7500405516731508,3.0,81.0,9.2433327508,83.0,9.5873455716,85.0,8.1508535457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,0.0,0.601349710575563,3.0,92.0,0.2789766715,93.0,0.41119350250000003,94.0,-0.690170174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,-5.9166712895666675,1.601536758482289,3.0,95.0,-5.2962316718,96.0,-7.7356028003,97.0,-4.7181793966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,-3.7498598701,2.8779769011307668,3.0,98.0,-0.7107806045,99.0,-6.4337658355,100.0,-4.1050331703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,-5.6866438982,0.933926849408716,3.0,101.0,-6.498019476,102.0,-5.8961565757,103.0,-4.6657556429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,-9.502798950299999,0.037987604428218864,3.0,104.0,-9.544974905,105.0,-9.4712730745,106.0,-9.4921488714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,0.3351315686999999,2.901084768720941,3.0,107.0,2.8022440697,108.0,1.0640507361,109.0,-2.8609000997000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WT_vs_Del_fabT__THY_40°C_WT_stationary,-11.104837369666667,1.2224246036830806,3.0,110.0,-9.6950511073,111.0,-11.7489116508,112.0,-11.8705493509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WT_vs_Del_fabT__THY_40°C_Del_fabT_stationary,-6.6008448143,1.3412703642036747,3.0,113.0,-5.9400440512,114.0,-5.7181858595,115.0,-8.1443045322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
