,ung
Cr_1,-0.007683312445088469
Cr_2,-0.01895583141375672
Cr_3,-0.0199111773129101
Cr_4,-0.02012014360366237
Cr_5,-0.01145574389605684
Cr_6,-0.017427106104840048
Fe_1,-0.010438590481768723
Fe_2,-0.019477304528596667
Fe_3,-0.020554193852825583
Fe_4,-0.03249580125306732
Fe_5,-0.036229162158636655
Fe_6,-0.044507723298398486
Cd_1,0.00042014004913885217
Cd_2,0.006084201243024928
Cd_3,0.011647765941434293
Cd_4,0.018006876953701255
Cd_5,0.01856911700419225
Cd_6,0.02196546195914553
Zn_1,-0.027226610472109718
Zn_2,-0.034507192536017764
Zn_3,-0.01970475791335806
Zn_4,-0.02166737015286812
Zn_5,-0.028682769832996943
Zn_6,-0.03349548147527124
Cu_1,0.0031477080020542486
Cu_2,0.002598594890206972
Cu_3,0.003911616534983128
Cu_4,0.005028073154336827
Cu_5,0.01002676476133444
Cu_6,0.0210553168025827
Pb_1,0.008395895311078195
Pb_2,0.018724304255601714
Pb_3,0.02868773864106518
Pb_4,0.03481025865429305
Pb_5,0.04331233277941498
Pb_6,0.04748173247641962
