,ybaO
Cr_1,0.006286295482647658
Cr_2,-0.002214487573051965
Cr_3,0.0029706451070002434
Cr_4,0.004024117917178518
Cr_5,0.0006233131970539467
Cr_6,0.0053188482867959535
Fe_1,0.002688496034490194
Fe_2,0.011024629379334322
Fe_3,0.034113366218430065
Fe_4,0.06993494565009117
Fe_5,0.10948764882246301
Fe_6,0.1392661853044608
Cd_1,0.005580915862917314
Cd_2,0.012698305208827022
Cd_3,0.02439866381321036
Cd_4,0.035921331870054564
Cd_5,0.03226375607444415
Cd_6,0.038810695029224
Zn_1,-0.004733328002723382
Zn_2,0.012507419871090624
Zn_3,-0.06850685637407962
Zn_4,-0.01352042404298024
Zn_5,-0.10047743794594333
Zn_6,0.04542020895914884
Cu_1,0.0022905434374229376
Cu_2,0.005441824492219241
Cu_3,0.013404107565173452
Cu_4,0.015546475691148922
Cu_5,0.006829291256924513
Cu_6,0.006962093077005136
Pb_1,-0.000673569224416453
Pb_2,0.002691196660365335
Pb_3,0.00877081271485025
Pb_4,0.006739378304945785
Pb_5,0.008288043110768169
Pb_6,0.012271852590290636
