,Value,list
TF,kstR2,
reg_genes,29,"['Rv0791c' 'aspB' 'Rv1586c' 'Rv1582c' 'Rv1584c' 'mmpL8' 'echA21' 'lipE'
 'Rv0792c' 'Rv1583c' 'Rv1754c' 'Rv0831c' 'Rv0793' 'Rv1587c' 'PPE64'
 'Rv0790c' 'Rv1232c' 'Rv3773c' 'dcd']"
comp_genes,14,['fadD3' 'echA20' 'Rv3549c' 'fadE30']
both_genes,10,"['kstR2' 'Rv3559c' 'Rv3553' 'fadE32' 'Rv3548c' 'Rv3551' 'Rv3552' 'fadA6'
 'fadE31' 'fadE33']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
