,sufI
Cr_1,-0.003345138867306133
Cr_2,-0.005099860422210969
Cr_3,0.004321594494577326
Cr_4,0.015162428327693812
Cr_5,0.023102658903545046
Cr_6,0.03410933338499527
Fe_1,-0.07957490928536609
Fe_2,-0.22947453460839445
Fe_3,-0.28130972083358496
Fe_4,-0.3509904648778852
Fe_5,-0.06779525587749165
Fe_6,-0.07945868748982332
Cd_1,0.0016512744661153944
Cd_2,0.011135146332727698
Cd_3,0.02413711262855827
Cd_4,0.03273549083254305
Cd_5,0.03248119615501599
Cd_6,0.031443244457671146
Zn_1,-0.017816708152723668
Zn_2,-0.051448369124348144
Zn_3,-0.0691523432536888
Zn_4,-0.0805567034608186
Zn_5,-0.09545174647398767
Zn_6,-0.10327130720324916
Cu_1,-0.002378331347637277
Cu_2,-0.0035434465519223798
Cu_3,0.0036340390158198493
Cu_4,0.011475587218808163
Cu_5,0.015927038874718597
Cu_6,0.02199259624853732
Pb_1,0.0037869430017663814
Pb_2,0.004153586803106161
Pb_3,0.009781047385944215
Pb_4,0.008536126206710938
Pb_5,0.0070337513372015934
Pb_6,0.007510867795210594
