,ycjK
Cr_1,-0.0008673859440034782
Cr_2,0.007252044865734872
Cr_3,0.007178694182710622
Cr_4,-0.005894405631949624
Cr_5,-0.014118031597778009
Cr_6,-0.012450263142252106
Fe_1,-0.002428656441626246
Fe_2,-0.036379819344206366
Fe_3,-0.08439169430994309
Fe_4,-0.13727586204326453
Fe_5,-0.19129338382886307
Fe_6,-0.2411553508729335
Cd_1,0.0006571893149033972
Cd_2,0.0097762246996024
Cd_3,0.010077658656902402
Cd_4,0.01561693995295092
Cd_5,0.0207864140293176
Cd_6,0.04029639265344805
Zn_1,0.002283827428542055
Zn_2,0.008662091334178897
Zn_3,0.02093675393724555
Zn_4,0.031519730079964
Zn_5,0.04715557424804311
Zn_6,0.04720982322135432
Cu_1,0.02285923536414881
Cu_2,0.04906808919621733
Cu_3,0.08035262882894376
Cu_4,0.09774297907800143
Cu_5,0.1057264082336216
Cu_6,0.1039623257626581
Pb_1,0.01651761763618953
Pb_2,0.03955038243383602
Pb_3,0.06759641277227607
Pb_4,0.08644503564140657
Pb_5,0.10307964893244227
Pb_6,0.13029622740031932
