,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,0.37150008703333337,0.14957105082392505,3.0,0.0,0.3455892794,1.0,0.5323337238,2.0,0.2365772579,,,,,,,,,,
1,LB__LBtran,1.5107299459666665,2.162011082400863,3.0,3.0,3.9775894545,4.0,0.6093318834,5.0,-0.054731499999999995,,,,,,,,,,
2,LB__LBstat,-0.32673718013333336,0.4119093837924036,3.0,6.0,-0.4119094446,7.0,0.1211002377,8.0,-0.6894023335,,,,,,,,,,
3,LB__LBGexp,0.01476042833333334,0.24296777151442986,3.0,9.0,0.23974047510000002,10.0,-0.2428892379,11.0,0.0474300478,,,,,,,,,,
4,LB__LBGtran,0.13406169969999998,0.9721284568174038,2.0,12.0,0.8214603237,13.0,-0.5533369243,,,,,,,,,,,,
5,LB__LBGstat,1.6891683605,1.8774340737959825,3.0,14.0,-0.42817200980000003,15.0,3.1508410502,16.0,2.3448360410999998,,,,,,,,,,
6,Life Cycle__S0,-0.4240784240666667,0.2198260645941856,3.0,17.0,-0.3115221749,18.0,-0.2833240215,19.0,-0.6773890758000001,,,,,,,,,,
7,Life Cycle__S1,2.5281590637333333,0.27744609869622955,3.0,20.0,2.2589097364,21.0,2.8131331121,22.0,2.5124343426999998,,,,,,,,,,
8,Life Cycle__S2,1.879823666,0.4561749624850612,3.0,23.0,2.4006331681,24.0,1.5511276762000001,25.0,1.6877101536999999,,,,,,,,,,
9,Life Cycle__S3,3.9939454634000002,0.41448852591710383,2.0,26.0,3.700857816,27.0,4.2870331108,,,,,,,,,,,,
10,Life Cycle__S4,4.7148396252,0.44049482453926037,3.0,28.0,5.2019668644,29.0,4.3445243584,30.0,4.5980276528,,,,,,,,,,
11,Life Cycle__S5,5.3231761716,0.19217562478901823,3.0,31.0,5.3451931862,32.0,5.120940289,33.0,5.5033950396,,,,,,,,,,
12,Life Cycle__S6,4.0732290797625,1.2280107867529946,8.0,34.0,4.8442701004,35.0,5.705287344,36.0,5.170740462,37.0,3.6077480164,38.0,4.9320997763,39.0,2.5590565765,40.0,2.7979227224,41.0,2.9687076401
13,Life Cycle__S7,2.3213033605,0.31460237686740233,3.0,42.0,2.0522353187,43.0,2.6672054187,44.0,2.2444693441,,,,,,,,,,
14,Life Cycle__S8,3.0377769605,1.0509232522887557,2.0,45.0,2.2946620023,46.0,3.7808919187,,,,,,,,,,,,
15,Life Cycle__G135,-1.57453119855,0.37215742169579763,2.0,47.0,-1.8376862351,48.0,-1.311376162,,,,,,,,,,,,
16,Life Cycle__G150,-1.0188170039666666,0.3317926553983409,3.0,49.0,-0.7986518311,50.0,-0.8573635179,51.0,-1.4004356629,,,,,,,,,,
17,Life Cycle__G180,-1.3996278312333335,0.4382750690415196,3.0,52.0,-1.8959549856,53.0,-1.0658514453,54.0,-1.2370770628,,,,,,,,,,
18,Stress Time Course__C30,0.63408478715,0.35088755072275685,2.0,55.0,0.8821997537,56.0,0.3859698206,,,,,,,,,,,,
19,Stress Time Course__C90,4.3430993157,0.3619090728709714,2.0,57.0,4.0871909561,58.0,4.5990076753,,,,,,,,,,,,
20,Biofilm__BI,-0.3270150297,0.03028356560810679,2.0,59.0,-0.34842874430000004,60.0,-0.3056013151,,,,,,,,,,,,
21,Biofilm__BC,6.7936097946,0.5086441522704235,4.0,61.0,7.0697134263,62.0,6.3086013685,63.0,6.427493586,64.0,7.3686307976,,,,,,,,
22,Biofilm__Sw,16.4311996233,0.7947407788354152,2.0,65.0,15.8692330293,66.0,16.9931662173,,,,,,,,,,,,
23,Life Cycle__BT,-0.28082334365000006,0.3193348039614245,2.0,67.0,-0.055019538300000004,68.0,-0.506627149,,,,,,,,,,,,
24,Life Cycle__B36,1.9028331819500002,0.1642732816889154,2.0,69.0,1.7866744305000002,70.0,2.0189919334,,,,,,,,,,,,
25,Life Cycle__B60,1.7229390555,0.8743564012531948,2.0,71.0,1.104675715,72.0,2.341202396,,,,,,,,,,,,
26,M9__M9exp,0.0,0.9231218174146308,3.0,73.0,-0.7289628909,74.0,-0.3090270679,75.0,1.0379899588,,,,,,,,,,
27,M9__M9tran,0.3915052153333333,1.1333144092296514,3.0,76.0,0.6405275574,77.0,1.3796001988,78.0,-0.8456121102,,,,,,,,,,
28,M9__M9stat,3.8333447395999998,1.3199590773445395,3.0,79.0,2.3122085101,80.0,4.5108442421,81.0,4.6769814666,,,,,,,,,,
29,Supplement__M+G,-0.9014501352333334,0.5623464593149208,3.0,82.0,-0.2540993274,83.0,-1.1811228233,84.0,-1.269128255,,,,,,,,,,
30,Supplement__Glu,0.12695861146666662,0.6714418768544395,3.0,85.0,0.5017687248,86.0,0.5273224109,87.0,-0.6482153013,,,,,,,,,,
31,Supplement__Fru,-0.5240661730666667,0.331628180043302,3.0,88.0,-0.5298136254,89.0,-0.8527832714,90.0,-0.1896016224,,,,,,,,,,
32,Supplement__Mal,-1.4733852610666667,0.2708125284828106,3.0,91.0,-1.7205775086,92.0,-1.5156548063000002,93.0,-1.1839234683,,,,,,,,,,
33,Supplement__G+S,2.17612849845,0.06278698498054301,2.0,94.0,2.2205256013,95.0,2.1317313956,,,,,,,,,,,,
34,Supplement__Pyr,3.1879574052333335,1.2277554934484265,3.0,96.0,1.9386258733,97.0,3.2323115358,98.0,4.3929348066,,,,,,,,,,
35,Supplement__Gly,0.27510038793333336,1.3161564698775028,3.0,99.0,0.2565996848,100.0,-1.0317082053,101.0,1.6004096843,,,,,,,,,,
36,Supplement__Glucon,1.2025177078333333,0.7190549496850888,3.0,102.0,0.7122059592000001,103.0,0.8673841608,104.0,2.0279630035,,,,,,,,,,
37,Stressors__aero,0.12479696946666667,0.7613970087430755,3.0,105.0,-0.4064400616,106.0,0.9970997666,107.0,-0.2162687966,,,,,,,,,,
38,Stressors__nit,0.43070059780000003,0.6615534514219803,3.0,108.0,-0.21176557140000002,109.0,0.3940497834,110.0,1.1098175814,,,,,,,,,,
39,Stressors__ferm,0.5723283032333334,0.7737643687162927,3.0,111.0,1.0060368619,112.0,-0.32101246,113.0,1.0319605078,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,2.9492269622,,1.0,114.0,2.9492269622,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,2.4064340877,,1.0,115.0,2.4064340877,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,1.8937189696,,1.0,116.0,1.8937189696,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,1.1256025848,,1.0,117.0,1.1256025848,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,0.5843761414,,1.0,118.0,0.5843761414,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,0.2556857939,,1.0,119.0,0.2556857939,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,1.9318843696,,1.0,120.0,1.9318843696,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,1.9018234511,,1.0,121.0,1.9018234511,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,2.2677297028,,1.0,122.0,2.2677297028,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,1.2489851102,,1.0,123.0,1.2489851102,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,2.7213686631,,1.0,124.0,2.7213686631,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,3.2132456365,,1.0,125.0,3.2132456365,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,1.9446637663000002,,1.0,126.0,1.9446637663000002,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,1.8869335257,,1.0,127.0,1.8869335257,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,2.4630221690000003,,1.0,128.0,2.4630221690000003,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,2.7409234614,,1.0,129.0,2.7409234614,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,3.110192403,,1.0,130.0,3.110192403,,,,,,,,,,,,,,
57,Stressors__HPh,2.608352201833333,0.5350892607757745,3.0,131.0,2.2042627971,132.0,2.4056076606,133.0,3.2151861478,,,,,,,,,,
58,Stressors__LPh,1.6994333517,0.5113303988548621,3.0,134.0,2.1290367712,135.0,1.8354014429,136.0,1.133861841,,,,,,,,,,
59,Stressors__LPhT,3.1664487169666664,0.3133726272510169,3.0,137.0,3.4816527511,138.0,3.1627532175,139.0,2.8549401823,,,,,,,,,,
60,Stressors__SMMPr,-1.3137754473333334,0.4290572261861521,3.0,140.0,-1.7632331426,141.0,-1.2695485068,142.0,-0.9085446926,,,,,,,,,,
61,Stressors__HiTm,2.1010974754333334,1.2802920214704296,3.0,143.0,0.6228034899,144.0,2.851769636,145.0,2.8287193004,,,,,,,,,,
62,Stressors__LoTm,4.539557158699999,0.9663644931892805,3.0,146.0,3.986939465,147.0,5.6554019471,148.0,3.976330064,,,,,,,,,,
63,Stressors__HiOs,2.8019870799333333,0.3615589366423608,3.0,149.0,3.0113563133,150.0,2.3844954017,151.0,3.0101095248,,,,,,,,,,
64,Stressors__BMM,-3.2990216384999997,0.10281293793710566,3.0,152.0,-3.1897958723,153.0,-3.3133505396,154.0,-3.3939185036,,,,,,,,,,
65,Stressors__Heat,1.732802395366667,0.5511692933461536,3.0,155.0,1.1505237392,156.0,1.8014529263,157.0,2.2464305206,,,,,,,,,,
66,Stressors__Cold,2.7886178529333336,0.8851662679406802,3.0,158.0,1.7668446546,159.0,3.2770551698,160.0,3.3219537344,,,,,,,,,,
67,Stressors__Etha,1.6649613461666668,1.0223178075564112,3.0,161.0,1.0600615586,162.0,2.8453098018,163.0,1.0895126781,,,,,,,,,,
68,Stress Time Course__SMM,-0.4470684135333334,0.10569374348457582,3.0,164.0,-0.3258698581,165.0,-0.5200914601000001,166.0,-0.49524392240000004,,,,,,,,,,
69,Stress Time Course__Salt,1.9743922824666669,0.5239877814868905,3.0,167.0,2.2043038571,168.0,2.344120615,169.0,1.3747523753,,,,,,,,,,
70,Stress Time Course__Mt0,0.2494890412,0.13971745219897144,2.0,170.0,0.1506938833,171.0,0.3482841991,,,,,,,,,,,,
71,Stress Time Course__M0t45,-0.4052265064333333,0.3628255445366275,3.0,172.0,-0.596247441,173.0,-0.6326334089,174.0,0.0132013306,,,,,,,,,,
72,Stress Time Course__M0t90,-0.6291175817666667,1.0672742647484645,3.0,175.0,-0.4100130792,176.0,0.3116012124,177.0,-1.7889408785,,,,,,,,,,
73,Stress Time Course__M40t45,18.466202638633334,3.8342068393397835,3.0,178.0,15.3604383588,179.0,22.7516318075,180.0,17.2865377496,,,,,,,,,,
74,Stress Time Course__M40t90,19.970258158500002,1.1572697790928026,3.0,181.0,19.1922719507,182.0,21.3001691318,183.0,19.418333393,,,,,,,,,,
75,Stress Time Course__dia0,0.48453315476666664,0.20970505974830056,3.0,184.0,0.2527076283,185.0,0.6610174133000001,186.0,0.5398744227,,,,,,,,,,
76,Stress Time Course__dia5,0.32360045276666666,1.1429529724524963,3.0,187.0,0.48432919900000004,188.0,1.3776814066,189.0,-0.8912092473000001,,,,,,,,,,
77,Stress Time Course__dia15,1.7376092016333333,1.322729798324301,3.0,190.0,0.2941067697,191.0,2.0271108761,192.0,2.8916099591,,,,,,,,,,
78,Stressors__Diami,3.6097343945666664,0.7316807769102532,3.0,193.0,4.12102204,194.0,3.936581316,195.0,2.7715998277000002,,,,,,,,,,
79,Stressors__Paraq,0.24244911476666667,0.3287194901745939,3.0,196.0,0.6136236523,197.0,0.1256266643,198.0,-0.0119029723,,,,,,,,,,
80,Stressors__H2O2,22.180461622566668,0.4475389626730289,3.0,199.0,22.6969892247,200.0,21.9360018168,201.0,21.9083938262,,,,,,,,,,
81,Stressors__Oxctl,-0.6342278539,0.7812677194850174,3.0,202.0,0.23802497350000001,203.0,-0.8709539082000001,204.0,-1.269754627,,,,,,,,,,
82,Carbon Transition__GM-0.1,0.5294491169333333,0.4364373957493942,3.0,205.0,0.029445370300000002,215.0,0.7249093509,225.0,0.8339926296,,,,,,,,,,
83,Carbon Transition__GM-0.2,0.4714367805333333,0.6367296020250023,3.0,206.0,0.4680416003,216.0,1.1098571837,226.0,-0.1635884424,,,,,,,,,,
84,Carbon Transition__GM+5,-0.5349036728333334,0.3764006442918456,3.0,207.0,-0.6484878621,217.0,-0.11479158290000001,227.0,-0.8414315735000001,,,,,,,,,,
85,Carbon Transition__GM+15,-1.108445251,0.519895233522151,3.0,208.0,-1.5321520133000002,219.0,-0.5282910573,229.0,-1.2648926824,,,,,,,,,,
86,Carbon Transition__GM+25,-1.2088061612,0.701924147684928,3.0,209.0,-2.0187586541,220.0,-0.7777487235,230.0,-0.8299111060000001,,,,,,,,,,
87,Carbon Transition__GM+45,-1.0188190873666667,0.44862129680661256,3.0,210.0,-1.5343778652,221.0,-0.8047481404,231.0,-0.7173312565000001,,,,,,,,,,
88,Carbon Transition__GM+60,-0.8254819496666667,1.2582715375214657,3.0,211.0,-2.1879987954,222.0,-0.5811538942000001,232.0,0.2927068406,,,,,,,,,,
89,Carbon Transition__GM+90,-0.5419901235,0.8016269866903265,3.0,212.0,-0.4299906478,223.0,-1.3937272011,233.0,0.1977474784,,,,,,,,,,
90,Carbon Transition__GM+120,1.87392332815,0.07580627576510061,2.0,213.0,1.9275264598000001,234.0,1.8203201965,,,,,,,,,,,,
91,Carbon Transition__GM+150,-0.011354837766666645,0.8296925236658962,3.0,214.0,-0.21469852550000001,224.0,-0.7204716176,235.0,0.9011056298000001,,,,,,,,,,
92,Carbon Transition__GM+10,-0.85443139245,0.4753280057447628,2.0,218.0,-0.5183237363000001,228.0,-1.1905390486,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,0.22031798563333335,0.4872510463865556,3.0,236.0,-0.2368251859,244.0,0.16484965740000002,254.0,0.7329294854,,,,,,,,,,
94,Carbon Transition__MG+5,1.3549723243666667,0.6285679227247818,3.0,237.0,1.0247333333,246.0,0.9603559089,256.0,2.0798277309,,,,,,,,,,
95,Carbon Transition__MG+10,0.9374057068,0.6892718647514946,3.0,238.0,0.5923949895,247.0,0.48876582700000004,257.0,1.7310563039,,,,,,,,,,
96,Carbon Transition__MG+15,1.5200556452666667,0.5177613077597532,3.0,239.0,1.171236828,248.0,1.2739643448,258.0,2.114965763,,,,,,,,,,
97,Carbon Transition__MG+25,1.4069606537666666,0.7009485242571463,3.0,240.0,0.8565261498000001,249.0,1.168275944,259.0,2.1960798675,,,,,,,,,,
98,Carbon Transition__MG+45,1.1044635086333334,0.3271032025314647,3.0,241.0,0.7267626007,250.0,1.2950527024,260.0,1.2915752228000001,,,,,,,,,,
99,Carbon Transition__MG+120,0.33477632706666666,0.7163356664529632,3.0,242.0,-0.4676940021,253.0,0.5623226459,263.0,0.9097003374,,,,,,,,,,
100,Carbon Transition__MG+150,0.489513436,0.2600372940724079,2.0,243.0,0.305639302,264.0,0.67338757,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,0.7961799767500001,1.1201771977364672,2.0,245.0,0.0040950841,255.0,1.5882648694000001,,,,,,,,,,,,
102,Carbon Transition__MG+60,1.35686181845,0.8651476795675206,2.0,251.0,0.7451100275,261.0,1.9686136094000002,,,,,,,,,,,,
103,Carbon Transition__MG+90,1.3229980501999998,1.3100243644186154,2.0,252.0,0.3966709386,262.0,2.2493251618,,,,,,,,,,,,
