,A,LexA
R2,,0.6214115911495919
xmin,,-4.3459666667
xmid,,0.36130203175423536
xmax,,2.8614333333
ystart,,0.9809356475765907
yend,,25.845852601251917
LBexp_1,0.3455892794,0.1388333333
LBexp_2,0.5323337238,0.0097333333
LBexp_3,0.2365772579,-0.2369666667
LBtran_1,3.9775894545,0.8862333333
LBtran_2,0.6093318834,0.3492333333
LBtran_3,-0.054731499999999995,0.1210333333
LBstat_1,-0.4119094446,-0.5822666667
LBstat_2,0.1211002377,-1.1728666667
LBstat_3,-0.6894023335,-1.4134666667
LBGexp_1,0.23974047510000002,0.1126333333
LBGexp_2,-0.2428892379,0.14223333330000001
LBGexp_3,0.0474300478,-0.0143666667
LBGtran_2,0.8214603237,-0.10766666670000001
LBGtran_3,-0.5533369243,0.7060333333000001
LBGstat_1,-0.42817200980000003,-0.8027666667000001
LBGstat_2,3.1508410502,-1.1601666667
LBGstat_3,2.3448360410999998,-0.1302666667
S0_1,-0.3115221749,-0.45786666670000004
S0_2,-0.2833240215,-0.6162666667000001
S0_3,-0.6773890758000001,-0.2132666667
S1_1,2.2589097364,0.4908333333
S1_2,2.8131331121,0.4511333333
S1_3,2.5124343426999998,0.2318333333
S2_1,2.4006331681,-0.21586666670000002
S2_2,1.5511276762000001,-0.31576666670000003
S2_3,1.6877101536999999,-0.3702666667
S3_1,3.700857816,-0.25226666670000003
S3_2,4.2870331108,-0.3307666667
S4_1,5.2019668644,-0.5080666667
S4_2,4.3445243584,-1.1024666667
S4_3,4.5980276528,-1.4100666667000001
S5_1,5.3451931862,-1.3697666667
S5_2,5.120940289,-1.0627666667
S5_3,5.5033950396,-1.2294666667
S6_1,4.8442701004,-1.5924666667
S6_2,5.705287344,-3.9242666667
S6_3,5.170740462,-1.7533666667
S6/t_1,3.6077480164,-1.8575666667
S6/t_2,4.9320997763,-4.3459666667
S6_4,2.5590565765,-2.1913666667
S6_5,2.7979227224,-1.7888666667000002
S6_6,2.9687076401,-1.5881666667
S7_4,2.0522353187,-1.7183666667000002
S7_5,2.6672054187,-1.9095666667
S7_6,2.2444693441,-1.8481666667
S8_4,2.2946620023,-2.1806666667
S8_5,3.7808919187,-2.8569666667
G135_1,-1.8376862351,-0.3689666667
G135_3,-1.311376162,-1.6821666667000001
G150_1,-0.7986518311,-0.45486666670000003
G150_2,-0.8573635179,-0.0307666667
G150_3,-1.4004356629,-0.42916666670000003
G180_1,-1.8959549856,-0.4590666667
G180_2,-1.0658514453,-0.1894666667
G180_3,-1.2370770628,-1.1523666667
C30_1,0.8821997537,-0.9226666667000001
C30_2,0.3859698206,-0.4826666667
C90_1,4.0871909561,0.47093333330000003
C90_2,4.5990076753,0.5674333333
BI_1,-0.34842874430000004,0.4236333333
BI_2,-0.3056013151,0.45423333330000004
BC_2,7.0697134263,1.1023333333
BC/t_1,6.3086013685,0.8603333333000001
BC/t_2,6.427493586,0.8720333333
BC_1,7.3686307976,0.7135333333
Sw_1,15.8692330293,1.5113333333
Sw_2,16.9931662173,1.7958333333
BT_1,-0.055019538300000004,-1.7893666666999999
BT_2,-0.506627149,-2.2365666667
B36_1,1.7866744305000002,-0.6091666667
B36_2,2.0189919334,-0.7589666667
B60_1,1.104675715,-0.5826666667
B60_2,2.341202396,-0.3156666667
M9exp_1,-0.7289628909,0.30363333330000003
M9exp_2,-0.3090270679,-0.028666666700000003
M9exp_3,1.0379899588,-0.27496666670000003
M9tran_1,0.6405275574,-0.3347666667
M9tran_2,1.3796001988,-0.26786666670000003
M9tran_3,-0.8456121102,-0.1746666667
M9stat_1,2.3122085101,-1.6680666667000001
M9stat_2,4.5108442421,-1.4430666667
M9stat_3,4.6769814666,-1.7583666667000002
M+G_1,-0.2540993274,-0.4398666667
M+G_2,-1.1811228233,-0.2908666667
M+G_3,-1.269128255,-0.1886666667
Glu_1,0.5017687248,0.2559333333
Glu_2,0.5273224109,0.2078333333
Glu_3,-0.6482153013,0.0438333333
Fru_1,-0.5298136254,0.14423333330000002
Fru_2,-0.8527832714,0.2399333333
Fru_3,-0.1896016224,-0.3791666667
Mal_1,-1.7205775086,-0.9491666667
Mal_2,-1.5156548063000002,-0.5197666667
Mal_3,-1.1839234683,0.0431333333
G+S_2,2.2205256013,-0.5637666667
G+S_3,2.1317313956,-0.2642666667
Pyr_1,1.9386258733,-0.8252666667
Pyr_2,3.2323115358,-0.4236666667
Pyr_3,4.3929348066,-0.4093666667
Gly_1,0.2565996848,-1.1839666667
Gly_2,-1.0317082053,-0.5329666667
Gly_3,1.6004096843,-1.8097666667
Glucon_1,0.7122059592000001,-0.8222666667
Glucon_2,0.8673841608,-0.3349666667
Glucon_3,2.0279630035,-1.0259666667
aero_1,-0.4064400616,0.2570333333
aero_2,0.9970997666,-0.4153666667
aero_3,-0.2162687966,0.1481333333
nit_1,-0.21176557140000002,-0.2190666667
nit_2,0.3940497834,0.2414333333
nit_3,1.1098175814,-0.06786666670000001
ferm_1,1.0060368619,-0.4489666667
ferm_2,-0.32101246,-0.3044666667
ferm_3,1.0319605078,0.1064333333
T-5.40H_1,2.9492269622,0.3110333333
T-4.40H_1,2.4064340877,0.3629333333
T-3.40H_1,1.8937189696,0.0378333333
T-2.40H_1,1.1256025848,-0.1494666667
