,valT
Cr_1,-0.013771579249628258
Cr_2,-0.03640446240132052
Cr_3,-0.0335709561718089
Cr_4,-0.016232283123202032
Cr_5,0.01621435657485474
Cr_6,0.05400423776039924
Fe_1,-0.033856506257942814
Fe_2,-0.04887180399119745
Fe_3,-0.052819709563197884
Fe_4,-0.06772552292144034
Fe_5,-0.08655587968981895
Fe_6,-0.09291490553972884
Cd_1,0.005607158607088978
Cd_2,0.01900980098552724
Cd_3,0.027419997723623392
Cd_4,0.04017512620372177
Cd_5,0.0572241210261629
Cd_6,0.07341024409951072
Zn_1,-0.009072710682608044
Zn_2,-0.011426527815941171
Zn_3,-0.01901771922326664
Zn_4,-0.0007416642614808678
Zn_5,0.01762603132031763
Zn_6,0.022734567035675772
Cu_1,0.0006027567661149116
Cu_2,0.0064279626449741
Cu_3,0.02172323970162722
Cu_4,0.03022969015295732
Cu_5,0.037647642341295216
Cu_6,0.038415861042290056
Pb_1,0.01735133780843244
Pb_2,0.03963782291200908
Pb_3,0.05686778929783268
Pb_4,0.08945950560452942
Pb_5,0.11257840470624557
Pb_6,0.1417268837861896
