,leuS
Cr_1,0.000790643324104891
Cr_2,0.0022090432515149533
Cr_3,0.0031379324798406533
Cr_4,0.002576800883134294
Cr_5,0.0016975703289323382
Cr_6,-0.0009570726215032405
Fe_1,-0.007340816291116365
Fe_2,-0.0059259133372780316
Fe_3,0.0055424304116468035
Fe_4,0.014224336113556847
Fe_5,0.02323301650270656
Fe_6,0.029111699983797007
Cd_1,-0.0011051066732595334
Cd_2,-0.0016801368006657828
Cd_3,-0.0026214055293346953
Cd_4,-0.0034794841004245256
Cd_5,-0.0071926990611653535
Cd_6,-0.005870337470215386
Zn_1,0.005658510088805534
Zn_2,0.013539530955070402
Zn_3,0.031018462072764888
Zn_4,0.04980014201993732
Zn_5,0.06050169324356375
Zn_6,0.07127722871748081
Cu_1,0.0024174869145394645
Cu_2,0.007946416168496432
Cu_3,0.011066342546148614
Cu_4,0.013017046552326798
Cu_5,0.01756295748106054
Cu_6,0.02504566016784606
Pb_1,0.0015243440862069714
Pb_2,0.005459335648510762
Pb_3,0.007980696813094346
Pb_4,0.012448327643210522
Pb_5,0.01844840931190512
Pb_6,0.03019846900863157
