,rluD
Cr_1,-0.0005784508539650588
Cr_2,0.00987720198944691
Cr_3,0.017631220642225377
Cr_4,0.01729437128906215
Cr_5,0.01957937344638177
Cr_6,0.02643474314980113
Fe_1,-0.031429285076013565
Fe_2,-0.07506990125281718
Fe_3,-0.10424285260141254
Fe_4,-0.12657360447174526
Fe_5,-0.13112318629332526
Fe_6,-0.11263823849830873
Cd_1,-0.022768172193370458
Cd_2,-0.024948948954801643
Cd_3,-0.024776102220844653
Cd_4,-0.02726137173635673
Cd_5,-0.02333164403220985
Cd_6,-0.009137803628636795
Zn_1,-0.005784897602668415
Zn_2,-0.00799021292498474
Zn_3,-0.0016306228986994046
Zn_4,0.010780246714608735
Zn_5,0.01831919952778215
Zn_6,0.027647233636947283
Cu_1,0.004857651327648335
Cu_2,0.015626070563443353
Cu_3,0.022228495166803013
Cu_4,0.029888618660368724
Cu_5,0.03613100745726488
Cu_6,0.034856362713549235
Pb_1,-0.003767334676167753
Pb_2,0.0013810566506517645
Pb_3,0.01444229674684104
Pb_4,0.02579325099843801
Pb_5,0.033512479822653096
Pb_6,0.047563282180103694
