,fadI
Cr_1,0.016408461054805132
Cr_2,0.014926984505255694
Cr_3,0.012307626816209158
Cr_4,0.017356877909128744
Cr_5,0.015552257018666629
Cr_6,0.01437508149117855
Fe_1,-0.02847772777640384
Fe_2,-0.059701700491780925
Fe_3,-0.09355883878942832
Fe_4,-0.1252469048027037
Fe_5,-0.14044933490895045
Fe_6,-0.15794330606862636
Cd_1,0.012935594090423644
Cd_2,0.021129669151278237
Cd_3,0.02821699088017694
Cd_4,0.03483551281518117
Cd_5,0.04147209429706878
Cd_6,0.0483445263944795
Zn_1,0.010256573715386193
Zn_2,0.012086352443341669
Zn_3,0.02434116680248069
Zn_4,0.048618387909636136
Zn_5,0.05783353976191542
Zn_6,0.052712716498365536
Cu_1,0.0053286096612127345
Cu_2,0.022543714143534267
Cu_3,0.03398523221485255
Cu_4,0.037986661047754035
Cu_5,0.04322951192907657
Cu_6,0.05332276334197092
Pb_1,0.006900126779045422
Pb_2,0.027430318197501063
Pb_3,0.05253767330969935
Pb_4,0.07882353105280501
Pb_5,0.08646521983635487
Pb_6,0.0931806451826034
