,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
0,aat__00m_00s,3.33333360913457e-11,0.1411582265143718,3.0,0.0,-0.1192507666,6.0,-0.036603956800000004,12.0,0.15585472350000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,0.39228804526666666,0.815410489680282,3.0,1.0,-0.5057508475,7.0,1.0863358104,13.0,0.5962791729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,0.17457799403333332,0.527157116595673,3.0,2.0,-0.4239555192,8.0,0.5698283468,14.0,0.3778611545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,0.027887312233333333,0.5989234071811815,3.0,3.0,-0.5412862925,9.0,-0.027732151400000002,15.0,0.6526803806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,0.5633834209,0.5996038317596688,3.0,4.0,0.1317559127,10.0,0.3103709538,16.0,1.2480233962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,1.2968086045666667,0.5410721176426467,3.0,5.0,1.1716116349,11.0,0.8293096214000001,17.0,1.8895045574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,2.0654345555,2.1550794476088826,2.0,18.0,0.5415632641,71.0,3.5893058469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,3.5365978996,1.646133487650863,3.0,19.0,4.1407801661,70.0,4.7952688561,205.0,1.6737446766000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,0.671383013225,1.4570202446038227,8.0,20.0,3.7520156622,32.0,-0.0088713106,55.0,-0.4326852981,67.0,-0.013490760000000001,126.0,-0.48972765220000003,147.0,0.7095676784,203.0,-0.0053008267000000005,210.0,1.8595566128,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,-0.5535747868666666,0.6445277620802192,3.0,21.0,-0.258667182,34.0,-1.2927955743,61.0,-0.10926160430000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
