,A,FliA,flhD,CsgD
R2,,0.32274849266030836,0.16893336507142642,0.045557589085814976
xmin,,-9.6582550968,-7.0720007684,-6.009046678
xmid,,,,-2.7505476463449727
xmax,,9.0503325143,3.5625693591000003,4.8901811673
ystart,,-4.575650276351382,-4.205347946272991,0.9845334609627906
yend,,4.476937880578553,2.571474922214537,-1.5805054850133116
SRX1125282,-0.1192507666,-0.26293615940000004,-0.0382576976,0.0036177747
SRX1125283,-0.5057508475,-0.4144706946,-0.2732545799,0.2645701079
SRX1125284,-0.4239555192,-0.2640511063,-0.8198496909,-0.38219790130000003
SRX1125285,-0.5412862925,-0.11541768740000001,-1.0585565025,-0.050566325
SRX1125286,0.1317559127,-0.2529709717,-1.1270911982,0.1646331933
SRX1125287,1.1716116349,-0.5877829253,-1.3640907807,-0.5030838703
SRX1125288,-0.036603956800000004,-0.3281306765,-0.0877372101,0.3720119215
SRX1125289,1.0863358104,-0.0677967758,-0.3183074932,0.009007590900000001
SRX1125290,0.5698283468,-0.2778869359,-1.5097918652,0.27563954900000004
SRX1125291,-0.027732151400000002,-0.25121854320000003,-1.6680735503,0.2717081946
SRX1125292,0.3103709538,-0.2949256203,-1.8356164874,0.4618697452
SRX1125293,0.8293096214000001,-0.791700834,-2.3199326431,1.2327634552
SRX1125294,0.15585472350000001,0.591066836,0.1259949077,-0.37562969620000003
SRX1125295,0.5962791729,0.6375494104,0.0340542969,0.2024676498
SRX1125296,0.3778611545,0.4736079131,-0.4242191301,0.1759879541
SRX1125297,0.6526803806,0.7875777803,-0.9449499442,0.1541861963
SRX1125298,1.2480233962,0.606444737,-1.2000456048,0.5315456418
SRX1125299,1.8895045574,0.2257627463,-1.7127137974000002,0.8214591691
SRX5694250,0.5415632641,0.8577902799,-0.9255071151,-3.8035863592
SRX5694251,4.1407801661,-0.6727015686000001,-0.7657864959,-0.7166257097000001
SRX5694252,3.7520156622,0.15071211340000001,-2.4365460475000003,-1.7839696729
SRX5694253,-0.258667182,0.4007097027,0.0226470931,0.5660622276
SRX5694254,4.2142858617,-1.2171742947,-0.0072364669,1.1056009732
SRX5694255,4.538244938,-1.0658265789,-4.3584411613,-3.8035863592
SRX5694256,-0.9844203125000001,-0.1884535988,0.7017636168,-0.8583243878
SRX5694257,0.8267468384000001,0.4250773084,-0.2450918176,0.10108170200000001
SRX5694258,-0.6099156776,0.4721224163,-0.0339004138,0.7110959760000001
SRX5694259,8.3529182649,-1.8436716191,-1.7914813412,0.5695138550000001
SRX5694260,-0.5996378036000001,-0.35035676520000003,0.47528773360000004,0.0055247115000000005
SRX5694261,4.2657358828,-0.9679102512000001,-6.3287632435,-3.8035863592
SRX5694262,2.9923233894,1.1506966283,-2.0025559367,-3.8035863592
SRX5694263,-1.2927733457000001,0.0487218393,0.8020303577,-0.9338011531
SRX5694264,-0.0088713106,-0.4570446937,-0.1760221155,-0.7812399146
SRX5694265,-0.9644236341,-0.24761762750000002,-1.2812287982,-0.7979231229
SRX5694267,-1.2927955743,0.4191833486,-0.047958574100000005,0.3805908327
SRX5694268,-1.2671536841,0.3704653451,0.06273733840000001,-0.9281653360000001
SRX5694269,-0.4419882919,-0.28276802900000003,0.040339321000000004,-0.32518759
SRX5694271,0.1052327988,0.1158069327,0.2604155429,-0.048975996300000005
SRX5694273,2.1708167637,-0.6151076583,0.4108135992,-1.5763571868000001
SRX5694274,0.053349502800000004,-0.1972059459,-0.410395599,-0.42855633120000003
SRX5694275,-0.9625557137,0.2806411411,-0.3351232118,-1.9333589897999999
SRX5694276,3.131646215,-0.8346252079,0.7158480443,0.0565813649
SRX5694277,-0.44556263570000004,-0.269312312,0.4134592559,-0.9728672207000001
SRX5694278,0.3711356639,-0.2498907938,1.5692669112000002,-0.60952588
SRX5694279,-1.1825825924,-0.1742045578,0.6637785565000001,-0.0118639398
SRX5694280,-1.1275827831,-0.0677906741,-3.1494975245,-2.7944500845
SRX5694281,-1.2248228036,-0.17924831630000002,0.4066258869,-0.6859801606
SRX5694282,2.6956020172,-1.7598383144,-1.2742907023,-1.4822714105
SRX5694283,-1.0840780382,-0.3187245909,-0.6859030291,-1.5524666292
SRX5694284,0.9604121539,-1.7986685541,-3.4972278364,-2.4677417141
SRX5694285,-1.3881904378,-0.32665428220000003,-0.0243372955,-1.4908646234
SRX5694286,-0.549455594,-0.0934851812,0.052015979600000005,-2.1499572104
SRX5694287,0.35624753330000003,-0.5851052979,-0.6678377496,-0.7610449290000001
SRX5694288,0.6330673290000001,-0.45942361,-0.2088230942,-0.0943918608
SRX5694289,0.9580667954000001,0.3900238629,-0.3703726289,-0.35097127170000003
SRX5694290,-0.4326852981,-0.4551209232,-0.0336465175,-0.4406242094
SRX5694291,4.8510466545,-1.1620360634,-3.6555873421,-1.6884157783
SRX5694292,-0.5360152986,-0.0485946265,0.41571797380000003,-0.4184638712
SRX5694293,-0.1083212352,0.059023092400000005,0.040740959,-0.7793058811
SRX5694294,1.5254214574,0.1537823464,0.4771166754,0.5234934216
SRX5694295,3.30838476,-2.5492566692,0.2040171285,0.3772179222
SRX5694296,-0.10926160430000001,0.3411628672,-0.3127311225,0.31732973130000003
SRX5694297,4.981024328,-1.7929999849,-0.6723734014,2.046383611
SRX5694298,-0.9498726459000001,-0.6089065484,0.45815496310000003,-0.7625776861
SRX5694299,-0.6771454883,-0.025376058400000002,-0.19542334520000001,0.0026493451
SRX5694300,-0.7746953791000001,-0.3684605621,0.2662724112,-0.6930830632
SRX5694301,-0.6050784422000001,0.08795852950000001,0.5706940822000001,-0.8736160716
SRX5694302,-0.013490760000000001,-0.751672824,0.023803539300000003,-0.7537422546
SRX5694303,-0.44038837810000003,-0.4887488204,0.1789866654,-1.3039937645
SRX5694304,-0.0428957478,-0.45886270240000004,-0.1519309597,-1.4613857058
SRX5694305,4.7952688561,-0.8225121445,-0.441945124,0.4468004195
SRX5694306,3.5893058469,0.7708108354000001,-2.609172495,-3.8035863592
SRX5694307,5.0092623357,-2.1515099699,-1.8530520526,-2.1900250866
SRX5694308,0.5614939317000001,-0.5224455469,-0.1542357583,-1.1024250953
SRX5694309,3.3765847525,-0.9881606761,0.7147943751,-0.4957724546
SRX5694310,-1.5540607435,-0.48063524560000004,-3.5635347109,-2.4043351032
SRX5694311,6.9003692851,-1.7059093539,-0.0843130528,0.34460963370000003
SRX5694312,3.2781524581,1.0645578923,-2.0724436972999998,-2.1156277592
SRX5694313,0.7428784551000001,-1.9108552943000001,0.143207821,-2.3129867217
SRX5694315,-1.6766884136,-0.24666300530000002,0.024322288900000003,-0.7284323071000001
SRX5694317,1.7802151549,-0.9753535091000001,0.5472886571,1.0797717597
SRX5694319,0.7203765482000001,-0.1178134866,-0.1387724002,-0.0984657592
SRX5694320,4.9711702555,-1.2661485229,-2.5939861389,-1.7047539075
SRX5694321,3.0378968112,0.2156425177,0.0282411685,-0.4301593496
SRX5694322,5.0717332381,0.1146415615,-2.8463544232,-3.0953916814
SRX5694323,3.3432310679,0.1270916986,-0.0053740682,-0.09917364050000001
SRX5694324,0.4686437947,-0.9555936242,-2.0607787793,-0.6997080999
SRX5694325,0.4692988876,-0.4016151999,-3.1172038726,-1.8716278891
SRX5694326,-1.3057298962,-0.35910051470000004,0.2688373166,-0.9304748568000001
SRX5694327,-1.1765914681,-0.5410438885000001,-2.9197543414,-2.000114135
SRX5694328,0.558390263,-0.1954036761,-0.1768880331,0.27059285040000003
SRX5694329,3.0239118604,-0.26354343480000003,0.2146100155,1.3512193368
SRX5694330,2.7280369058,1.1062811235,-2.3126405164,-0.9744037716
SRX5694331,-1.6611528592,0.0605181692,-0.0479811407,-0.1838270472
SRX5694332,3.6911578,0.007552271300000001,0.1824769202,0.1351455778
SRX5694334,2.054201696,-0.0382338918,-0.7486896812,-1.1854857380000001
SRX5694335,7.3180762979,-2.3958391062,-0.1745971313,1.990320888
SRX5694336,1.0784803202,-0.8175330681,1.306968395,-0.1923906872
SRX5694337,-0.8182274724,-0.6871936241000001,-1.9880221804,-0.3018407222
SRX5694338,-1.4657030691,0.2950017157,0.4637735116,-1.1041569323
SRX5694339,0.6226434692,-0.4129598815,-0.3062661521,0.2316793765
SRX5694340,-3.2511886695,-0.0690578645,-0.15011868420000002,-1.0449605995
SRX5694341,2.1043537457,-0.2315335127,0.0831291111,0.3972276413
SRX5694342,6.4418884765,-1.6899454962,0.0607207949,0.9377681066
SRX5694343,6.3159834239,-0.5916136289,-0.1364899058,1.1147979541
SRX5694344,0.29252985530000003,-0.1196393592,0.20054398140000002,1.3668197432
SRX5694345,0.47714043720000004,-0.1714468552,-0.5745220569,-1.2856143744000001
SRX5694346,4.2855300352,-0.3742283402,-0.4139537404,0.0159763307
SRX5694347,0.6071110854,0.28635012390000003,-0.15704729750000002,-0.17060810040000002
SRX5694348,-0.0351606358,-0.2857767814,0.49249635300000005,-0.30863375120000003
SRX5694349,-0.7904392007000001,-0.2780527823,-0.3104736417,-1.5956671107
SRX5694350,4.0990414403,-2.5941208961,-0.43504833860000003,-0.12933230310000002
SRX5694351,4.718878611,-0.9316664832,-1.5174490577,0.5654120453
SRX5694352,-0.0959585526,-2.0459594549,-1.5549778523,-2.0741881581
SRX5694353,0.7141322516,-0.6116492553,0.24839610210000002,-0.407538869
SRX5694354,-0.8166519980000001,-0.3027884272,0.4977978239,-0.2843349638
SRX5694356,0.8621384358,-0.6349310469,0.0442897882,-0.3321392553
SRX5694357,6.4550280004000005,-2.6540903003,-0.3345278946,1.2752564573
SRX5694358,3.9535857208,-1.3577344775,-1.5525288251,-3.8035863592
SRX5694359,0.9323964037,-0.07926965450000001,0.08404858080000001,-2.7245380481
SRX5694360,-0.3370703754,0.074499141,0.014220288800000001,-1.6708471195999999
SRX5694361,2.2655275372,-0.1387692707,-5.4271297658,-3.8035863592
SRX5694362,-0.9394031151000001,0.9800314251000001,-2.1347973825,-3.8035863592
SRX5694363,0.4201253227,0.2859484733,0.1241881737,0.2814219423
SRX5694364,2.0453973544,-1.2699213263,0.6514211433,-0.20027825970000002
SRX5694365,8.8290236081,-3.3205853225,-1.2290970377,-2.4751979649
SRX5694366,-0.48972765220000003,-0.5556292860000001,-0.3095138114,-0.9461237601
SRX5694367,1.2509946437,-0.5712307398,-3.3963695321,-2.1007340297
SRX5694368,-0.4235275415,-0.7668052196,-0.006235324,-1.3071686394
SRX5694369,-0.9992911028,-1.068834175,0.12707968420000001,-1.3252033813000001
SRX5694370,-0.7780838326,-0.29241204860000003,0.2065048893,0.2343315599
SRX5694371,1.6934756725,-0.7031819579,1.0557329767,-0.914980279
SRX5694372,0.22172008170000002,0.034183556000000004,0.2214268097,-2.5139062477
SRX5694373,4.8230576759,-2.3323221647,-0.3504350666,0.0469713217
SRX5694374,3.8866536612,-1.5407592826,-2.7753189692999998,-1.9058063914
SRX5694375,-0.8391546219,-0.1434569764,0.2172820481,-0.6803221012
SRX5694376,3.1662220103,0.19514459080000002,-0.6120320406,-2.1944694033
SRX5694377,3.4976861256,-1.6199889169000001,-2.1435260193,-1.8578497174000002
SRX5694378,-1.4536165023,0.37007429070000003,-0.1295221233,-2.2472650376
SRX5694379,-2.8920456299,0.1254091287,-0.2194067828,-1.1420452738
SRX5694380,4.2262081934,-0.3061707221,-0.4133308842,0.5122115787
SRX5694381,6.8150705918,-1.3888968435,-0.5270457155,1.8295725113999999
SRX5694382,2.4981768914,0.3562837407,0.0187277888,-0.1784524331
SRX5694383,-1.5463476196000001,-0.3789219586,0.0471940184,-1.2097410504
SRX5694384,-0.38418145610000004,0.1389876366,0.06383159940000001,-0.3545437273
SRX5694385,4.920003892,-2.7736681778000003,-1.3319311646,-1.6387528747
SRX5694386,4.9792701141,-2.47140517,0.8869315514,0.1526841392
SRX5694387,0.7095676784,-0.5057374936,-0.1895489367,-0.5959028851
SRX5694388,0.7240733141,-1.1131863219,-2.5762372585,-0.5742778426
SRX5694389,-2.6639874047000003,-0.21658230450000002,-0.4694516748,-1.2737479848
SRX5694390,-0.8296182698000001,-0.376043141,0.4069309336,-1.1363005873
SRX5694391,1.5057350676999999,-1.2123358457,-0.3228416099,0.7535446667
SRX5694392,-2.5939532725000003,-0.0483248973,0.3160195196,-0.5703735367
SRX5694393,-0.5454318598,0.0941031653,0.16985497530000002,-0.3051400824
SRX5694394,-0.43064702390000004,-0.045606220600000004,0.7145446211,-0.8589084081
SRX5694395,2.2284844853,0.2348670505,0.10043686900000001,-1.448590102
SRX5694396,3.7742738883999998,-0.8583855375,-1.0968315312,0.1902424069
SRX5694397,-0.6647969959000001,-0.029946539,0.1534776173,-0.5335429981
SRX5694398,-0.7728826989,0.0461500823,0.4429498888,-0.7445352831000001
SRX5694399,-1.5159067108,0.3263974995,0.0131545627,-0.2295948009
SRX5694400,-1.2892814344999999,-0.2756770555,0.3213024161,-1.799923663
SRX5694401,-0.1038842628,-1.1011109346,-0.0302465963,-0.4904980236
SRX5694402,5.2282755796,-2.4066608132000002,1.1739271801,-0.5026009468
SRX5694403,0.5777911181000001,-0.9440927506000001,-1.6613654743000001,-2.5881630541
SRX5694404,-0.9298474733000001,-0.2024137218,0.4405296272,-0.7991531455
SRX5694405,2.9105660882,-0.8303133961,0.2476099294,0.6256341865
SRX5694406,-2.9503069575,0.077741742,1.6616152994000002,0.1841982251
SRX5694407,-0.3370483643,-0.4259384074,-0.4419209753,-0.9258081836000001
SRX5694408,-0.9680454303,-0.1052073122,0.1712580785,-0.5325597056
SRX5694409,7.5890145735,-1.7979078133000002,1.040503405,2.4316031193
SRX5694410,-0.1450906139,0.9297304533,-2.0588765365,-3.8035863592
SRX5694411,1.860089255,-1.5466409064,-1.6912800863,-2.3307375589
SRX5694412,-0.1850129024,0.021075109800000002,-0.16340206810000002,-1.9072195688
SRX5694413,5.7574473291,0.3425248965,-2.0722140842,1.1251739385
SRX5694414,5.7386140241,-1.7582333715,-0.9161229601,2.1627550057000002
SRX5694415,-1.4059397740000001,-0.6596446322,-0.16102312400000002,-1.092279709
SRX5694416,0.4838029902,-0.06820312070000001,-0.1549375618,0.2577954626
SRX5694417,0.3095182764,0.1722704759,0.27465352590000003,-0.2460656376
SRX5694418,0.049640675100000003,-0.3921263672,0.8065328923,-0.6725479160000001
SRX5694419,1.3217682471,-0.6903474069000001,1.3989402337999999,-0.6525089331
SRX5694420,-0.6445684206,-0.24089816960000002,0.3106630419,-0.3823752871
SRX5694421,0.0468466655,-0.4074361704,0.5956004334,0.033435643
SRX5694422,0.1168348299,-1.2102177046,0.0555872779,-1.0975409224
SRX5694423,1.0515973057,-0.5698754391,-0.7051069360000001,-1.2745951467
SRX5694424,-0.3523717498,-0.38256405530000004,-0.8484077354,-2.1808499714
SRX5694425,-0.808892759,0.0633853868,0.290439,-1.8639860766
SRX5694426,2.1455590748,-0.2476580559,-0.3536148811,-0.5113041475
SRX5694427,-2.0166178807,-0.241076064,0.1851617341,-0.039047067000000005
SRX5694428,-0.5107530001,-0.744982969,-0.0377915444,-0.5302035385
SRX5694429,3.5413622248000003,-1.427828709,-2.1039566712,-2.0793780699
SRX5694430,-1.5446904706,-0.1491828611,0.2405649728,0.0188566301
SRX5694431,3.4365710187,-0.0286893103,0.5008920927,0.4974981807
SRX5694432,-1.6471891949000002,0.0187366937,0.16519066170000002,-3.4110518813
SRX5694433,6.3451056256000005,0.8549682424,-1.7995012003,0.7543284676
SRX5694434,6.7945792822,-0.5328010817000001,-2.6144363982,-0.2782705144
SRX5694435,2.9473358894,-0.484903128,1.5987489174,0.35285363280000004
SRX5694436,7.0396662397,-2.9758625887,1.2417370797,2.186143597
SRX5694437,4.0443952609,-2.9359779257,-0.8975576207,1.8978195677
SRX5694438,-1.0846486187,-0.3920377447,-0.058265362200000004,-0.8586396603
SRX5694439,1.752525793,-0.1439288793,-1.2534043243,-1.7839412551
SRX5694440,0.549235013,0.198560695,0.2549673472,-0.3219760521
SRX5694441,3.5555977783,-0.18946139350000002,0.1889560918,1.7282439915999999
SRX5694442,1.4216548354,-1.0615810481,-1.9734936504,0.530560868
SRX5694443,-0.0053008267000000005,-0.43030553380000003,0.1809473947,-0.43892627830000003
SRX5694444,-1.0991946777,-0.3193645688,-0.032168898200000004,-1.4841859962
SRX5694445,1.6737446766000001,-0.846350374,0.6729862624,0.2717606219
SRX5694446,0.3176196374,-0.561487634,0.1304741243,-1.0103368896
SRX5694447,-0.4333739985,-0.8236804826,-0.5559198734,-3.8035863592
SRX5694448,3.745759565,0.7781380768,-2.2437957783,-1.4291541599
SRX5694449,-1.3445690862,-0.6165832318000001,-0.2312379639,-0.2438814892
SRX5694450,1.8595566128,-0.3300736899,-1.7087825794,-3.8035863592
SRX5694451,-0.2275852087,-0.8673748788000001,-2.711141607,-1.6297344846000001
SRX5694452,3.3197382546,-1.1553884188,-1.6043742308,-1.3618281253
SRX5694453,6.895946136,0.2394801699,-2.0486492396,0.6822123874
SRX5694454,0.23655941600000002,0.0939893925,0.1249593772,-0.0318674347
SRX5694455,2.214009286,-0.9387494169,1.139261169,-0.5471928957000001
SRX5694456,-0.1336480254,-0.4275045471,0.2689302182,-0.1633806277
SRX5694457,1.4841331149,-0.373903409,-0.08686519840000001,0.6914570568
SRX5694459,1.072758254,-1.0588864009,0.6542862954,0.0469576385
SRX5694460,6.1082534203,-0.6280494643,1.3264330443,-0.1068003472
SRX5694461,-1.3547714026,-0.2488658967,-0.3722304765,-1.2639391866
SRX5694462,1.1207225034,-0.1267474325,1.6164499216000001,-0.5561126042
SRX5694463,-1.1116785453,-0.4780176284,0.8392950461,-0.0099143007
