gene_id,USA300HOU_RS02595
name,yabO
operon,"ptH,mfD,ltrB,mazG,yabO,diviC"
product,hypothetical protein
cog,"Translation, ribosomal structure and biogenesis"
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN002247000"">AureoWiki</a>"
