,pepQ
Cr_1,0.001675070345628739
Cr_2,0.005966311745084261
Cr_3,0.013478644107281446
Cr_4,0.020075878516232944
Cr_5,0.026831698560552505
Cr_6,0.030889553713544977
Fe_1,-0.008909858829681948
Fe_2,-0.021905403346854743
Fe_3,-0.02658731683638329
Fe_4,-0.02556642642467996
Fe_5,-0.02192319619862754
Fe_6,-0.018326206106385863
Cd_1,0.001369799566938365
Cd_2,0.003473773087550652
Cd_3,0.006344384094387516
Cd_4,0.007374762331155544
Cd_5,0.005443920860608702
Cd_6,0.010382333941479766
Zn_1,-0.00035422022409915246
Zn_2,0.005007610743586473
Zn_3,0.020657817628263856
Zn_4,0.04275729285198481
Zn_5,0.06762646361936693
Zn_6,0.08116482593039337
Cu_1,0.00035067855450833567
Cu_2,0.007266168527536846
Cu_3,0.013277223502794191
Cu_4,0.016266607095141536
Cu_5,0.015073263229778878
Cu_6,0.017450339383308613
Pb_1,0.00737939053591628
Pb_2,0.011390325707737178
Pb_3,0.014118728325751003
Pb_4,0.01725084842809821
Pb_5,0.017692619467518562
Pb_6,0.02272802559437271
