,corA
Cr_1,0.00848795271737847
Cr_2,0.023592150809563717
Cr_3,0.04353735692424007
Cr_4,0.061186517557147636
Cr_5,0.07827129632842733
Cr_6,0.08957365852677923
Fe_1,-0.00945013045810658
Fe_2,0.004711855774358192
Fe_3,0.021765251669589026
Fe_4,0.07324608190359598
Fe_5,0.12735026153360826
Fe_6,0.2124190008028655
Cd_1,0.0014242195908757988
Cd_2,0.010489624023105212
Cd_3,0.02606278464221377
Cd_4,0.039021682328577584
Cd_5,0.04506903281746829
Cd_6,0.0539261624163259
Zn_1,0.05157327574950847
Zn_2,0.057359845469476776
Zn_3,-0.005650490071522666
Zn_4,-0.11317249506799425
Zn_5,-0.007981100295470916
Zn_6,-0.029430643386355333
Cu_1,-0.0009564661639777668
Cu_2,-0.0014004030924096333
Cu_3,0.003146633497099602
Cu_4,0.012059992772907122
Cu_5,0.02304513605407208
Cu_6,0.03654001015328048
Pb_1,0.01984788082081011
Pb_2,0.08858585419350448
Pb_3,0.15681929291339838
Pb_4,0.1926045387345676
Pb_5,0.2527022489675659
Pb_6,0.462358862980273
