,A,DksA
R2,,0.09512886238305174
xmin,,-2.438067425
xmid,,-0.7230846985412597
xmax,,1.12181965
ystart,,2.5983849462128896
yend,,-3.0084557171950057
control__wt_glc__1,-0.0120733928,0.10762986000000001
control__wt_glc__2,0.0120733928,-0.10762986000000001
fur__wt_dpd__1,2.1638612323,0.00919441
fur__wt_dpd__2,0.9517983676,-0.419222839
fur__wt_fe__1,2.2824326906,-0.20205656800000002
fur__wt_fe__2,1.9196547426000001,-0.251379825
fur__delfur_dpd__1,5.8872342102,0.05568696
fur__delfur_dpd__2,5.7681390796,-0.6067309120000001
fur__delfur_fe2__1,2.0823187107,-0.01548268
fur__delfur_fe2__2,2.1311887104,-0.01183242
acid__wt_ph5__1,0.0235170534,0.00763678
acid__wt_ph5__2,0.3113493158,-0.03566343
acid__delgadx_ph5__2,0.3674118203,-0.36773875500000003
acid__delgadw_ph5__1,0.4960627106,-0.07422747
acid__delgadw_ph5__2,0.6892129330000001,-0.09099579000000001
acid__delgade_ph5__1,0.3403248024,-0.01799291
acid__delgade_ph5__2,0.41204937010000003,0.00057981
oxidative__wt_pq__1,-1.0987939771,0.79804133
oxidative__wt_pq__2,-1.3566003539,0.60256553
oxidative__deloxyr_pq__1,-1.3619329644,0.73179891
oxidative__deloxyr_pq__2,-1.5998460469,0.64958993
oxidative__delsoxr_pq__1,-1.3781159096,0.26172225
oxidative__delsoxr_pq__2,-1.0854196143000001,0.25957536000000003
oxidative__delsoxs_pq__1,-1.1698579595,0.52451559
oxidative__delsoxs_pq__2,-0.8665600721000001,0.5707898100000001
nac_ntrc__wt_csn__1,-0.8002255167000001,0.1605203
nac_ntrc__wt_csn__2,-0.7167439339,0.27720816
nac_ntrc__wt_cytd__1,-0.35221975520000004,0.22319687
nac_ntrc__wt_cytd__2,0.012421064800000001,0.31959031
nac_ntrc__wt_gln__1,0.5404366624,0.18527241
nac_ntrc__wt_gln__2,0.33017821480000004,0.334252
nac_ntrc__bw_delnac_csn__1,-2.2351165877,-0.26214897400000003
nac_ntrc__bw_delnac_csn__2,-1.0411022486000001,-0.552406771
nac_ntrc__bw_delnac_cytd__1,2.3930272252,0.07475685
nac_ntrc__bw_delnac_cytd__2,2.9243039579000003,0.0358533
nac_ntrc__bw_delnac_gln__1,1.1800746556,0.0380138
nac_ntrc__bw_delnac_gln__2,0.9592865831,-0.08735342
nac_ntrc__bw_delnac_nh4__1,1.1108286056,-0.04080128
nac_ntrc__bw_delnac_nh4__2,1.4650627621,-0.07593799999999999
misc__wt_no_te__1,1.7186468925,0.22676976000000001
misc__wt_no_te__2,2.0422192944,0.01174368
misc__bw_delcbl__1,2.3934799293,-0.579710159
misc__bw_delcbl__2,2.265630259,-0.579512294
misc__bw_delfabr__1,2.3734120699,-0.5769577290000001
misc__bw_delfabr__2,2.0704321284,-0.515933084
misc__bw_delfadr__1,2.2092898964,-0.52649937
misc__bw_delfadr__2,2.4180653094,-0.11649165
misc__nitr_031__1,0.4666675348,0.20116575
omics__wt_glu__1,0.4864728956,-0.927365069
omics__wt_glu__2,-0.1330365013,-0.859675539
omics__wt_gly__1,2.0723193389,-0.66965889
omics__wt_gly__2,2.0291713758,-0.7331763170000001
omics__wt_thr__1,0.9381316288,-0.7451474140000001
omics__wt_thr__2,1.9457783014,-0.722367616
omics__bw_ac__1,-3.8907380847,0.24265391
