,-0.20365328992270473,-0.17455996279088978,-0.14546663565907483,-0.11637330852725988,-0.08727998139544493,-0.05818665426362998,-0.029093327131815033,-8.326672684688674e-17,0.029093327131814867,0.05818665426362982,0.08727998139544477,0.11637330852725972,0.14546663565907467,0.17455996279088962,0.20365328992270457,0.23274661705451952,0.2618399441863345,0.2909332713181494,0.3200265984499644,0.3491199255817793
thresh,-0.0727333178295374,0.0727333178295374,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,2,17,283,3689,224,20,9,2,6,2,1,1,0,0,0,0
unreg_genes,['crp'],[],[],[],['pck' 'arcA'],[],[],[],[],[],['raiA' 'ydhP' 'ybiV' 'tsgA' 'guaB' 'yedJ' 'ydiH' 'rhlE' 'tsx'],['nepI' 'mscS'],['bhsA' 'yhcN' 'ybiJ' 'yneE' 'ydeA' 'gcd'],['proP' 'yjcB'],['yedR'],['psiE'],[],[],[],[]
