,-0.060356551749999994,-0.049382633249999995,-0.038408714749999996,-0.027434796249999997,-0.01646087775,-0.0054869592499999995,0.0054869592499999995,0.01646087775,0.027434796249999997,0.038408714749999996,0.049382633249999995,0.060356551749999994,0.07133047025,0.08230438875000001,0.09327830725,0.10425222574999998,0.11522614425,0.12620006275,0.13717398125,0.14814789974999998
thresh,-0.065843511,0.065843511,19,,,,,,,,,,,,,,,,,
unreg,0,0,9,64,457,1868,1399,270,69,23,10,4,0,0,1,2,1,0,0,0
CodY,0,0,0,10,16,14,16,6,5,1,0,1,3,0,0,0,0,0,0,0
TnrA,0,0,0,0,7,16,10,2,6,2,1,0,0,0,0,0,0,0,0,0
SigA,0,0,3,22,115,383,361,105,21,6,8,7,2,1,0,2,0,0,0,0
CcpA,0,0,0,10,17,26,37,2,6,1,0,1,0,0,0,0,0,0,0,0
T-box,0,0,0,0,1,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
ThrR and CodY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CodY and TnrA,0,0,0,0,0,0,3,3,1,2,4,2,2,1,0,0,0,0,0,0
CodY and SigA,0,0,0,0,14,14,52,12,7,2,1,0,0,0,0,0,0,0,0,0
TnrA and SigA,0,0,0,0,0,9,7,5,2,2,0,0,0,0,0,0,0,0,0,0
TnrA and CcpA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SigA and CcpA,0,0,0,7,34,84,67,9,3,2,3,1,0,0,0,0,0,0,0,0
SigA and T-box,0,0,0,0,1,8,12,4,1,0,0,0,0,0,0,0,0,0,0,0
"CodY, SigA, and CcpA",0,0,0,0,1,5,11,3,3,0,0,0,0,0,0,0,0,0,0,0
"TnrA, SigA, and CcpA",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CodY, TnrA, and SigA",0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"CodY, SigA, CcpA, and T-box",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ThrR, CodY, and TnrA",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
"CodY, TnrA, SigA, CcpA, and T-box",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['BSU_misc_RNA_20'],['S1071' 'S1072'],['BSU_misc_RNA_45'],[],[],[]
CodY_genes,[],[],[],['metP' 'bkdAA' 'metN' 'bkdB' 'guaC' 'bkdAB' 'ptb' 'buk' 'bcd' 'bkdR'],"['metQ' 'lpdV' 'pksM' 'pksH' 'pksG' 'pksI' 'pksJ' 'S910' 'pksL' 'S1533'
 'S1261' 'vpr' 'yxbD' 'pksF' 'pksE' 'acpK']","['pksN' 'rapE' 'rocF' 'pksR' 'pksD' 'rocE' 'yxbC' 'rocB' 'S617' 'pksC'
 'yuiC' 'S616' 'S1551' 'rocA']","['S465' 'rocD' 'ykfA' 'ykfB' 'ykfC' 'ykfD' 'ycgA' 'yhjC' 'S368' 'yhjB'
 'S227' 'S819' 'BSU_misc_RNA_24' 'S329' 'rocC' 'nprE']",['bcaP' 'S92' 'ybgE' 'guaB' 'S1352' 'hag'],['mpr' 'bacG' 'ylmA' 'ybfJ' 'ypmP'],['ywaA'],[],['S823'],['ilvA' 'S822' 'ilvD'],[],[],[],[],[],[],[]
TnrA_genes,[],[],[],[],['alsT' 'yycA' 'yycB' 'ywdI' 'S674' 'ywdJ' 'S1558'],"['yycC' 'glnP' 'glnM' 'S1041' 'yvgT' 'glnH' 'glnQ' 'yttA' 'nasA' 'yfiS'
 'ywdK' 'tnrA' 'ywrD' 'yxkC' 'S475' 'pucR']","['S1054' 'yrbD' 'S1250' 'yfiR' 'ysnD' 'S1493' 'S1492' 'ywlG' 'ywlF'
 'S1428']",['lipC' 'S1429'],['kipR' 'pxpC' 'pxpA' 'ycsG' 'pxpB' 'ycsI'],['S134' 'yodF'],['yoyD'],[],[],[],[],[],[],[],[],[]
