,A,CodY,TnrA,ThrR,CcpA,SigA
R2,,0.3005193098520649,0.2000148591803229,0.166352423127629,0.1562907919854063,0.09170363450301444
xmin,,-2.8394666667,-2.7438666667,-3.388,-3.3521333333,-2.8581666667
xmid,,0.13804148700665478,,0.09980254711839462,-0.1932290584917613,-0.057265176767583054
xmax,,1.7317333333,3.7892333333,2.2341,0.9955666667,1.3287333333
ystart,,-4.536767610362444,-30.821338037056023,-7.384022881286312,-7.469367415181484,-6.673524624988508
yend,,-46.652987579232644,19.50411335351358,-47.253881177274764,-37.91430935957455,-28.922337199445174
LBexp_1,-45.8695680787,0.7034333333,-0.8316666667,0.3351,0.5206666667000001,0.4313333333
LBexp_2,-32.7234386098,0.6152333333000001,-0.3391666667,0.0337,-0.1148333333,0.2070333333
LBexp_3,-34.433235511,0.3571333333,-0.9735666667,-0.10020000000000001,-0.5704333333,0.0450333333
LBtran_1,-15.826849504,-2.0742666667,0.46333333330000004,0.1189,-0.7270333333,0.09453333330000001
LBtran_2,-16.1876273579,-0.4324666667,-0.4172666667,-0.2156,-0.9189333333,0.2031333333
LBtran_3,-14.047565325,-0.027666666700000002,-1.0813666667,0.21280000000000002,-0.9906333333,0.18983333330000002
LBstat_1,-20.2783305502,1.1148333333,-0.0438666667,-0.466,-1.1976333333,0.2544333333
LBstat_2,-19.6284429319,1.1453333333,-0.5829666667,-0.6749,-1.7046333332999999,0.33783333330000004
LBstat_3,-21.067258607,0.9864333333,-0.7844666667,-1.0298,-1.8910333333,0.2721333333
LBGexp_1,-44.9447541508,1.0598333333,-1.4462666667000001,0.9229,0.08186666670000001,0.6050333333
LBGexp_2,-37.8091016269,0.5445333333,-0.9912666667000001,0.18860000000000002,-0.11013333330000001,0.4716333333
LBGexp_3,-47.8463978817,1.1487333333,-1.6413666667,0.708,0.1203666667,0.7866333333000001
LBGtran_2,-32.1088916221,0.07273333330000001,-1.3231666667,-0.8816,-0.9345333333,0.1297333333
LBGtran_3,-25.9392838742,0.48003333330000003,-1.2786666667,-0.1322,-0.27183333330000004,0.4393333333
LBGstat_1,-55.7016513794,1.3290333333,-2.7171666667,-2.6422,-1.9712333333,0.4042333333
LBGstat_2,-54.1242542681,0.0390333333,-2.7438666667,-2.7461,-2.5782333333,-0.2733666667
LBGstat_3,-41.4603110771,0.4449333333,-1.9113666667,-2.6161,-2.0119333333,-0.5597666667
S0_1,-18.0204900312,0.5985333333,1.5723333333,0.3856,-0.6314333333000001,0.3059333333
S0_2,-24.1602947149,0.6655333333,1.5690333333000002,0.6567000000000001,-0.6736333333,0.0420333333
S0_3,-20.0761012585,0.8460333333000001,1.5568333333000002,0.20570000000000002,-0.8271333333,0.2446333333
S1_1,2.7263133152,0.1048333333,1.1215333333,0.49710000000000004,-0.0269333333,0.6412333333
S1_2,2.8512818534,-0.047366666700000004,1.2882333333,0.1087,-0.2550333333,0.7176333333
S1_3,2.0784792247,0.10183333330000001,1.2857333333,0.39030000000000004,-0.2370333333,0.5724333333
S2_1,3.2278137983,0.057133333300000005,0.8521333333000001,0.09240000000000001,-1.2114333333,-1.3588666667
S2_2,5.2026195512,-0.39386666670000003,0.2163333333,0.0937,-1.2612333333,-1.2832666667
S2_3,5.3884762435,-0.0228666667,0.0386333333,-0.6409,-1.4223333333000001,-1.5691666667000002
S3_1,-2.7834377322,1.3302333333,0.9316333333000001,-0.1155,-1.2960333333,0.2958333333
S3_2,-1.4716696659,0.9917333333,1.1308333333,-0.0021000000000000003,-1.0328333333,-0.5800666667000001
S4_1,-7.8700015285,1.2729333333000001,0.9000333333,-0.4469,-0.5587333333,-0.1741666667
S4_2,-6.8908240308,1.1378333333,0.34293333330000003,-0.8301000000000001,-1.1256333333,0.1319333333
S4_3,-7.1061055532,1.1286333333,-0.1023666667,-1.19,-1.3192333333000001,0.0479333333
S5_1,-9.9098572686,0.8382333333,0.5962333333000001,-0.4747,-0.8862333333,0.45683333330000003
S5_2,-9.2530051421,1.1165333333,1.1861333333,-0.5687,-0.5422333333,0.6503333333
S5_3,-9.6251426624,1.1794333333,0.9824333333,-0.3618,-0.6935333333,0.48193333330000004
S6_1,-12.2060185078,0.6324333333000001,-0.2780666667,-0.606,-1.5846333333,0.6142333333000001
S6_2,-24.1553230148,-1.4088666667,-1.2517666667,-2.9562,-2.3949333333,1.3135333333
S6_3,-11.0381188994,0.6273333333000001,-0.3450666667,-0.9685,-1.6672333333,0.2292333333
S6/t_1,-13.4264668024,0.2636333333,-0.1683666667,-0.986,-1.6994333333,0.5664333333
S6/t_2,-25.6906035883,-1.6900666667,-1.8939666667,-3.388,-2.7117333332999998,0.6799333333
S6_4,-11.3509913081,0.0533333333,-0.7046666667,-1.2495,-1.7849333333000001,0.3513333333
S6_5,-10.1624322458,0.4541333333,-0.38076666670000003,-0.6306,-1.3250333333,0.7257333333
S6_6,-9.3612060141,0.6879333333000001,-0.3252666667,-0.598,-0.9003333333,0.6137333333
S7_4,-14.0909005847,0.21353333330000002,0.08003333330000001,-0.8817,-1.3916333333,0.3621333333
S7_5,-16.1460765084,-0.1234666667,0.0258333333,-1.0185,-1.6520333333,0.23643333330000002
S7_6,-15.8371052099,0.2262333333,-0.14706666670000001,-0.8408,-1.4883333333,0.1780333333
S8_4,-16.1465150944,-0.5385666667,-0.31876666670000003,-1.5644,-2.1010333333,-0.3188666667
S8_5,-28.4252223103,-1.2010666667,-0.3529666667,-1.7114,-2.3497333333,0.2585333333
G135_1,-56.2008729741,1.2847333333,-1.0322666667,1.4681,0.0027666667,1.0403333333
G135_3,-50.6477818012,-0.4353666667,-2.0061666667,-0.3054,-1.5350333333,-0.5351666667
G150_1,-53.3694286726,0.4272333333,-1.6036666667000001,0.5299,0.0535666667,0.060033333300000005
G150_2,-56.4835930675,1.1544333333,-0.8066666667,1.6181,0.4161666667,0.8795333333
G150_3,-54.4844085528,1.0861333333,-1.2941666667,1.1083,0.6140666667,0.7559333333
G180_1,-58.2670520626,0.9392333333,-1.0054666667,1.0132,-0.0247333333,0.8065333333
G180_2,-60.6099275862,1.2497333333,-0.6543666667,1.4685000000000001,0.3775666667,1.1408333333
