,cysD
Cr_1,0.007446750665119466
Cr_2,0.034422040753873694
Cr_3,0.07453225187482307
Cr_4,0.10994530140043073
Cr_5,0.13779348148184692
Cr_6,0.15931025538584975
Fe_1,0.006307877191591225
Fe_2,0.019656544893606347
Fe_3,0.01969115694003043
Fe_4,5.6009299095562586e-05
Fe_5,-0.021540331243486657
Fe_6,-0.04138997059913836
Cd_1,0.002261596098238669
Cd_2,0.012264533280230671
Cd_3,0.02244942342307012
Cd_4,0.02696148703466835
Cd_5,0.02579833625539293
Cd_6,0.02951417886865132
Zn_1,-0.0123942847143971
Zn_2,0.006707565616226605
Zn_3,0.021108663539144656
Zn_4,0.014531323376138569
Zn_5,-0.00023165050715531679
Zn_6,-0.006174249698289929
Cu_1,-0.008924604784317045
Cu_2,-0.0150545575722199
Cu_3,-0.009926998643288257
Cu_4,-0.007466940134322368
Cu_5,-0.004340685103969293
Cu_6,-0.0037142011972032493
Pb_1,0.00707692826235887
Pb_2,0.0119123993790171
Pb_3,0.015181067563442646
Pb_4,0.01826524960871975
Pb_5,0.019066334842798238
Pb_6,0.01504812448872074
