,recN
Cr_1,0.0172709637554826
Cr_2,0.0463397052549717
Cr_3,0.08485196817890568
Cr_4,0.13148346938099892
Cr_5,0.18604087541725295
Cr_6,0.2363052899133207
Fe_1,-0.009956080247092318
Fe_2,-0.02704926518188542
Fe_3,-0.041509647342753364
Fe_4,-0.059320995498230986
Fe_5,-0.07457922682766799
Fe_6,-0.08244344666100037
Cd_1,-0.007085271784897574
Cd_2,-0.02317671196458766
Cd_3,-0.029904714919555906
Cd_4,-0.030552575961655195
Cd_5,-0.03368858596907885
Cd_6,-0.027830664747233717
Zn_1,-0.0014619440498961302
Zn_2,-0.010690553786111863
Zn_3,-0.014950024892637094
Zn_4,-0.018605858205978768
Zn_5,-0.01939101860784212
Zn_6,-0.02146596530682587
Cu_1,0.01284359320724865
Cu_2,0.02889633816266085
Cu_3,0.04638143455787118
Cu_4,0.06596580539746842
Cu_5,0.0842069482336455
Cu_6,0.10276240877843903
Pb_1,0.0048655634179038815
Pb_2,0.012383846905422848
Pb_3,0.019321536398719755
Pb_4,0.029464858085335523
Pb_5,0.04012565926985686
Pb_6,0.05825848630723951
