,BSU_misc_RNA_23
M9exp_1,12.7372
M9exp_2,12.2782
M9exp_3,12.1402
M9tran_1,11.6223
M9tran_2,11.7673
M9tran_3,11.9118
M9stat_1,9.6346
M9stat_2,9.1981
M9stat_3,8.8345
MG-0.1_1,12.3145
MG-0.1_2,11.2474
MG-0.1_3,12.9477
MG-0.2_2,11.8161
MG-0.2_3,12.4087
MG+5_1,12.4623
MG+5_2,11.8596
MG+5_3,11.6136
MG+10_1,12.8594
MG+10_2,12.3355
MG+10_3,11.6129
MG+15_1,12.0302
MG+15_2,13.155
MG+15_3,12.6514
MG+25_1,12.4151
MG+25_2,12.2289
MG+25_3,12.5061
MG+45_1,12.4277
MG+45_2,11.4796
MG+45_3,12.6451
MG+60_2,11.9882
MG+60_3,11.8965
MG+90_2,11.4768
MG+90_3,12.3684
MG+120_1,11.2201
MG+120_2,12.3691
MG+120_3,11.9226
MG+150_1,12.2747
MG+150_3,12.2087
GM-0.1_1,11.6241
GM-0.1_2,12.763
GM-0.1_3,12.7612
GM-0.2_1,12.0462
GM-0.2_2,12.7985
GM-0.2_3,12.4162
GM+5_1,12.0462
GM+5_2,12.5347
GM+5_3,12.3889
GM+10_2,12.1789
GM+10_3,11.0891
GM+15_1,12.0884
GM+15_2,11.9141
GM+15_3,12.031
GM+25_1,12.6467
GM+25_2,12.5584
GM+25_3,11.7645
GM+45_1,12.6525
GM+45_2,11.4718
GM+45_3,11.2049
GM+60_1,12.5815
GM+60_2,11.5155
GM+60_3,11.4321
GM+90_1,12.5724
GM+90_2,12.4521
GM+90_3,12.4195
GM+120_1,11.5965
GM+120_3,12.1316
GM+150_1,12.1528
GM+150_2,11.6803
GM+150_3,12.637
BT_1,9.773
BT_2,9.0652
B36_1,10.6459
B36_2,10.1847
B60_1,10.8142
B60_2,11.8687
S0_1,12.1783
S0_2,12.0967
S0_3,12.1283
S1_1,12.7474
S1_2,12.6199
S1_3,12.628
S2_1,11.7634
S2_2,11.6284
S2_3,10.7552
S3_1,11.5844
S3_2,10.9816
S4_1,9.1931
S4_2,8.7424
S4_3,8.6197
S5_1,9.9007
S5_2,8.9764
S5_3,8.9535
S6_1,8.5715
S6_2,8.0237
S6_3,8.9117
S6/t_1,9.8712
S6/t_2,9.1137
S6_4,9.7505
S6_5,9.7627
S6_6,9.2485
S7_4,10.2142
S7_5,10.0368
S7_6,9.802
S8_4,9.8994
S8_5,10.9198
G135_1,12.8099
G135_3,10.8036
G150_1,12.5652
G150_2,12.9592
G150_3,12.8681
G180_1,12.6869
G180_2,12.914
G180_3,11.7059
T-5.40H_1,13.0337
T-4.40H_1,12.639
T-3.40H_1,12.7014
T-2.40H_1,11.6458
T-1.40H_1,11.800999999999998
T-1.10H_1,11.7957
T-0.40H_1,12.0818
T0.0H_1,11.5061
T0.30H_1,10.3583
T1.0H_1,10.7852
T1.30H_1,10.3109
T2.0H_1,10.2172
T2.30H_1,11.3588
T3.0H_1,11.2918
T3.30H_1,11.1469
T4.0H_1,11.4389
T5.0H_1,10.8571
LBexp_1,13.0146
LBexp_2,12.8198
LBexp_3,12.8692
