,rpmE
Cr_1,0.01262491529236269
Cr_2,0.02603060202330954
Cr_3,0.03709619046413612
Cr_4,0.04262550821656325
Cr_5,0.045292934445458656
Cr_6,0.04251545539784948
Fe_1,-0.009844578738069373
Fe_2,0.04622487935652273
Fe_3,0.14280870133603596
Fe_4,0.2034770244716462
Fe_5,0.2205155938177824
Fe_6,0.2205322938037728
Cd_1,-0.0017884969911367817
Cd_2,0.004272155977808965
Cd_3,0.014125196515812
Cd_4,0.017715194581525585
Cd_5,0.019585447433557487
Cd_6,0.02393983010832199
Zn_1,-0.00142584798763215
Zn_2,-0.011230923918165851
Zn_3,-0.033463892711751334
Zn_4,-0.06622041311162863
Zn_5,-0.09602407452260142
Zn_6,-0.11907690794360246
Cu_1,0.006967428587068261
Cu_2,0.018358873448145158
Cu_3,0.02920884833146529
Cu_4,0.0329637693822349
Cu_5,0.034275035638450004
Cu_6,0.036331053266751186
Pb_1,0.02107208495478187
Pb_2,0.03632959433341791
Pb_3,0.04954150697571919
Pb_4,0.0680769388202079
Pb_5,0.08133231476972698
Pb_6,0.09514263774218658
