,b4193
ssw__xyl_ale3__1,2.0160758
ssw__glc_ac_ac2__1,2.6741434146
ssw__glc_ac_glc1__1,1.2009450431
ssw__glc_ac_glc2__1,1.8244178078000002
ssw__glc_glyc_glc__1,2.1969112527
ssw__glc_glyc_glyc__1,2.6416846340999998
ssw__glc_xyl_glc__1,1.1158401213
ssw__glc_xyl_xyl__1,1.9024520936
pgi__glu4_delpgi__1,2.2446660313
pgi__pgi_ale1__1,1.9725095039
pgi__pgi_ale2__1,1.9574415797
pgi__pgi_ale3__1,1.7958305677
pgi__pgi_ale5__1,2.1154091081
pgi__pgi_ale6__1,1.79140662
pgi__pgi_ale7__1,1.7969650112000002
pgi__pgi_ale8__1,1.9436835142
ica__wt_glc__1,1.8179310123999999
ica__wt_glc__2,1.5498413979999999
ica__wt_glc__3,1.3974139213
ica__wt_glc__4,1.3619421425
ica__arg_sbt__1,3.0768482566
ica__arg_sbt__2,2.7233942453
ica__cytd_rib__1,2.9756655793
ica__cytd_rib__2,3.4965011143
ica__gth__1,2.1993330704
ica__gth__2,2.3566195038
ica__leu_glcr__1,1.8032013792
ica__leu_glcr__2,2.0447011586
ica__met_glc__1,1.8723550131
ica__met_glc__2,1.5790246167
ica__no3_anaero__1,1.8520537370999999
ica__no3_anaero__2,1.940700052
ica__phe_acgam__1,1.0871292934
ica__phe_acgam__2,1.6445766186
ica__thm_gal__1,2.7053320933
ica__thm_gal__2,3.0324815236
ica__tyr_glcn__1,1.2380874715
ica__tyr_glcn__2,1.9410354419
ica__ura_pyr__1,1.9994742906
ica__ura_pyr__2,2.3889374178000002
ica__wt_glc__5,2.6029417103
ica__wt_glc__6,1.5590633621999999
ica__bw_delpurR_cytd__1,1.9901519651
ica__bw_delpurR_cytd__2,2.6423324396
ica__ade_glc__1,1.4490800621
ica__ade_glc__2,1.7680138122
ytf__wt_glc__1,1.5340100843
ytf__wt_glc__2,1.7219596464
ytf__delyafC__1,2.437433402
ytf__delyafC__2,2.3947438501000002
ytf__delyeiE__1,2.1013212861
ytf__delyeiE__2,1.1684302804
ytf__delyiaJ__1,2.4238213541
ytf__delyiaJ__2,1.7331606311
ytf__delyieP__1,2.150217586
ytf__delyieP__2,1.6587458363
ytf__wt_ph5__1,1.4016268751
ytf__wt_ph5__2,2.1577446341
ytf__wt_ph8__1,0.710002464
ytf__wt_ph8__2,1.2024478735
ytf__delybaO__1,2.5787589329
ytf__delybaO__2,2.800977602
ytf__delybaQ__1,1.8785085338
ytf__delybaQ__2,1.9629504246
ytf__delybiH__1,1.7569690673
ytf__delybiH__2,1.5335001269
ytf__delydcI_ph5__1,1.3363370316
ytf__delydcI_ph5__2,1.0728168561
ytf__delydcI_ph8__1,1.0321935119
ytf__delydcI_ph8__2,1.4035103432
ytf__delyddM__1,2.2331303363
ytf__delyddM__2,2.0304142092
ytf__delyheO__1,2.4665996106
ytf__delyheO__2,2.6160649620000003
fps__bw_glc__1,1.6088469192
fps__bw_glc__2,1.2997943811
fps__fps_thrA_ale1__1,1.5339471561
fps__fps_thrA_ale1__2,2.1575719524
fps__fps_thrA_ale2__1,2.1962003799
fps__fps_thrA_ale2__2,1.42835129
fps__fps_serB_ale1__1,1.9259135330000001
fps__fps_serB_ale1__2,1.416783298
fps__fps_serB_ale4__1,2.0665292714
fps__fps_serB_ale4__2,2.1708693191
fps__fps_ptsI_ale1__1,2.6913128651
fps__fps_ptsI_ale1__2,1.9588240568000002
fps__fps_ptsI_ale3__1,2.3549791556
fps__fps_ptsI_ale3__2,2.0295058029
pal__lyx_ale2_f6__1,2.6028225597
pal__lyx_ale2__1,2.0315403264
pal__lyx_ale2__2,2.4255887649
pal__lyx_ale4__1,2.0315403264
pal__lyx_ale4__2,2.4255887649
pal__5drib_ale10_f18__1,3.4075058017
pal__5drib_ale10_f18__2,2.9927538477
pal__5drib_ale10__1,2.3942397771
pal__arab_ale14_f9__1,2.5484178731
pal__arab_ale14_f9__2,1.950879693
pal__arab_ale14__1,2.3586110655
pal__arab_ale14__2,1.6484109841999999
pal__arab_ale16__1,2.6091201417
pal__arab_ale16__2,2.7797899185
pal__tartr_ale26_f10__1,2.804731748
pal__tartr_ale26_f10__2,2.8697776311
pal__tartr_ale26__1,2.2523601759
pal__tartr_ale26__2,2.6620959324999998
pal__tartr_ale28_f10__1,2.343143654
pal__tartr_ale28_f10__2,2.7345252154
pal__tartr_ale28__1,2.2464802358
pal__tartr_ale28__2,2.4335056936
efeU__delmenFentC_citr__1,2.5893631238
efeU__delmenFentC_citr__2,1.6287496615000001
efeU__delmenFentC__1,2.5421661201
efeU__delmenFentC__2,1.9095631746000001
efeU__menFentC_ale39__1,2.3928207673
efeU__menFentC_ale39__2,2.2846085805
