,-0.21197779216666668,-0.16958223373333334,-0.1271866753,-0.08479111686666665,-0.042395558433333314,2.7755575615628914e-17,0.04239555843333337,0.08479111686666674,0.12718667530000005,0.16958223373333337,0.21197779216666673,0.2543733506000001,0.2967689090333334,0.33916446746666673,0.38156002590000015,0.42395558433333347,0.4663511427666668,0.5087467012000001,0.5511422596333334,0.5935378180666668
thresh,-0.06359333765,0.06359333765,5,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,37,3448,38,1,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,3,137,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,4,451,8,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PlaR, IHF, and Crp",1,0,0,0,0,0,0,0,0,1,1,3,2,1,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],['ysaA'],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],[],[],['nrfE' 'yjbF' 'glnP'],"['glnQ' 'cysH' 'nrfA' 'narI' 'hycE' 'mtr' 'hycA' 'ilvA' 'tyrP' 'nrfF'
 'nrfC' 'ssuB' 'glnH' 'pspG' 'atoD' 'carB' 'cysI' 'atoB' 'ilvE' 'nrfG'
 'pstB' 'fimB' 'carA' 'narK' 'proX' 'pspE' 'ilvD' 'nrfB' 'ubiA' 'pstS'
 'fimG' 'hycH' 'sra' 'narJ' 'pstC' 'rtcA' 'yjbG' 'nuoI' 'fhlA' 'prmC'
 'dppA' 'nuoF' 'hypE' 'nuoH' 'fimD' 'fimH' 'hypA' 'fimA' 'ompC' 'proW'
 'pspB' 'pstA' 'pspC' 'fimI' 'nuoA' 'ssuA' 'uspA' 'nuoB' 'hipA' 'phoU'
 'patA' 'prfA' 'hemA' 'amiA' 'hycB' 'hypD' 'fimF' 'ihfA' 'atoE' 'nuoJ'
 'nuoG' 'yjbH' 'nuoE' 'hypB' 'osmE' 'rtcB' 'hemF' 'glcE' 'dppC' 'hycG'
 'glcA' 'dppB' 'glcF' 'dcuD' 'hipB' 'pspD' 'ulaG' 'nuoC' 'fliZ' 'yjbE'
 'cysJ' 'glcB' 'narH' 'hycC' 'norV' 'sufS' 'adiA' 'hycD' 'dps' 'dppF'
 'norW' 'glcG' 'ihfB' 'hycI' 'yadV' 'dppD' 'sufE' 'ssuC' 'fnr' 'nuoL'
 'glcD' 'sufD' 'folA' 'ibpB' 'ssuE' 'proV' 'pspA' 'htrE' 'fimC' 'ssuD'
 'ilvG' 'hycF' 'nuoK' 'ilvM' 'sufA' 'ndh' 'sufB' 'sufC' 'hypC' 'atoA'
 'nrfD' 'uspB' 'tcyJ' 'fliA' 'ubiC' 'nuoM' 'yeiL']",['nuoN' 'dmsC' 'narG' 'dmsB' 'dmsA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],[],['glpD' 'ugpA' 'caiF' 'srlB'],"['hofO' 'ntrC' 'dctA' 'ychH' 'uxaB' 'nanC' 'ansB' 'idnT' 'glnL' 'oxyR'
 'zraS' 'ppdD' 'ugpC' 'lacA' 'sgcQ' 'entB' 'galS' 'aegA' 'psiE' 'trg'
 'gadC' 'prpR' 'chiQ' 'aaeX' 'ugpB' 'ygcW' 'hyfG' 'glpK' 'gadB' 'rhaA'
 'ompW' 'puuB' 'mhpD' 'sdhB' 'glpE' 'lsrA' 'gcvT' 'chbC' 'tnaB' 'aaeB'
 'ugpQ' 'ugpE' 'proP' 'gntT' 'gntP' 'murQ' 'cyaA' 'lsrB' 'idnK' 'fucP'
 'fucK' 'xylG' 'infB' 'rhaB' 'fucO' 'bglF' 'murP' 'dadX' 'xylA' 'ilvN'
 'speC' 'entC' 'fur' 'malS' 'galK' 'entD' 'chbA' 'nagE' 'malM' 'truB'
 'puuC' 'nusA' 'srlD' 'pck' 'mlc' 'entA' 'galT' 'sfsA' 'hupA' 'gntK'
 'hyfF' 'mhpE' 'manZ' 'mtlA' 'chbG' 'idnD' 'galP' 'zraR' 'fumC' 'gadA'
 'rpsF' 'hicA' 'sgcE' 'btsT' 'modA' 'exuT' 'malF' 'agp' 'gabD' 'manY'
 'ybiT' 'xylH' 'umpH' 'agaW' 'mglB' 'mazE' 'puuR' 'feaB' 'fecD' 'dcuA'
 'pnp' 'xylR' 'citC' 'yahN' 'fixA' 'tnaA' 'chbR' 'melB' 'yjhG' 'guaA'
 'lsrF' 'uxaA' 'gcvP' 'sgcR' 'entH' 'gpsA' 'glgS' 'hyfA' 'gadX' 'crp'
 'idnR' 'yhgH' 'sohB' 'puuE' 'mpl' 'mhpF' 'aaeA' 'sdhA' 'lpd' 'melR'
 'relA' 'hyfR' 'lacY' 'treC' 'lacI' 'sgcA' 'aldA' 'dadA' 'glpX' 'idnO'
 'hyfB' 'yeiP' 'yhfA' 'glpF' 'sgcC' 'lamB' 'lsrD' 'serC' 'gatY' 'gyrA'
 'araE' 'rbfA' 'xylE' 'trxA' 'srlE' 'glpG' 'hofB' 'ascF' 'patZ' 'ygeA'
 'ptsG' 'cpdB' 'nagC' 'ilvB' 'melA' 'priB' 'nanK' 'dgoD' 'gabP' 'hlyE'
 'uxuA' 'psuK' 'gcvH' 'malG' 'nadC' 'ubiG' 'uxaC' 'narQ' 'citE' 'uxuR'
 'gatZ' 'tam' 'lsrC' 'comR' 'ycdZ' 'ompA' 'acnA' 'malK' 'ppiA' 'modB'
 'citF' 'cytR' 'malY' 'ldtB' 'galE' 'cas1' 'csqR' 'caiC' 'rplI' 'uxuB'
 'rpsI' 'chiP' 'prpE' 'gatC' 'fbaA' 'rimP' 'chbF' 'acnB' 'agaA' 'rihA'
 'hyfH' 'hofC' 'fucI' 'dgoA' 'fadL' 'cyoD' 'mhpC' 'rof' 'ebgA' 'lsrG'
 'ascB' 'nupG' 'lhgO' 'srlA' 'rspB' 'hupB' 'ygeW' 'pncB' 'dgoR' 'raiA'
 'manX' 'rbsB' 'cstA' 'rbsA' 'mokB' 'guaB' 'fucU' 'cyoE' 'abgR' 'aaeR'
 'crr' 'nagA' 'fadH' 'malI' 'rbsR' 'cdd' 'lsrK' 'caiD' 'rhaS' 'nanT'
 'galM' 'rplM' 'grcA' 'lsrR' 'dcuR' 'modC' 'srlR' 'ptsI' 'dksA' 'nanS'
 'citG' 'gadE' 'fecB' 'rpsR' 'pdhR' 'nanM' 'araH' 'yaeQ' 'dsdA' 'manA'
 'arfB' 'csiE' 'glpR' 'hyfJ' 'glnA' 'citD' 'araJ' 'rbsC' 'araD' 'aspA'
 'caiB' 'serA' 'hofM' 'rhaT' 'chbB' 'fucA' 'glcC' 'rhaR' 'hflC' 'nlpE'
 'cas2' 'dgoK' 'ampE' 'mglA' 'casE' 'yaeP' 'araC' 'uidA' 'sdhD' 'rpoS'
 'malX' 'csiD' 'putP' 'fecE' 'dpiB' 'exuR' 'preT' 'argG' 'xylB' 'fucR'
 'hyfC' 'fepA' 'aroA' 'nupC' 'rbsK' 'entE' 'casC' 'aceE' 'grpE' 'ykgR'
 'deoC' 'fumA' 'cyoC' 'gutQ' 'hflK' 'sbmC' 'gabT' 'fadD' 'cspD' 'deoA'
 'gatB' 'hfq' 'hyfD' 'secB' 'mhpA' 'dsdX' 'ptsH' 'yjhI' 'marA' 'araF'
 'nrdB' 'treB' 'hflX' 'aer' 'metK' 'hicB' 'nagB' 'lacZ' 'feaR' 'yjhH'
 'mhpB' 'marR' 'dgoT' 'gapA' 'malT' 'sgcX' 'dpiA' 'mtlR' 'araA' 'gntU'
 'mglC' 'glpC' 'yfaE' 'gatD' 'deoB' 'gatA' 'mazF' 'cirA' 'hyfI' 'focB'
 'ampD' 'lgoR' 'caiT' 'caiE' 'xylF' 'pgk' 'tsx' 'preA' 'xseA' 'rmf' 'rbsD'
 'bglB' 'nrdA' 'glgP' 'aldB' 'psuG' 'cyoB' 'sgcB' 'rpsO' 'malE' 'nanE'
 'mdh' 'araG' 'lgoD' 'mdtE' 'yhcH' 'mdtF' 'fixC' 'cas3' 'aceF' 'caiA'
 'udp' 'glpA' 'casD' 'glgA' 'fixB' 'agaV' 'nanA' 'ynfK' 'uidC' 'bglG'
 'mhpR' 'fiu' 'prpB' 'bhsA' 'puuD' 'yqeF' 'epd' 'deoD' 'mtlD' 'prpC'
 'glgC' 'cspE' 'kbaZ' 'sdhC' 'uhpT' 'nfuA' 'araB' 'rhaD' 'hofN' 'uidB'
 'prpD' 'casB' 'cyoA' 'citX' 'rspA' 'hyfE' 'ortT' 'gutM' 'ebgC' 'glpB']",['casA' 'marB' 'gdhA' 'fecC' 'fecA' 'yeiW' 'fumB' 'dcuB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF and Crp_genes,[],[],[],[],['cysG'],"['rseD' 'tdcA' 'yjcH' 'tdcB' 'tdcC' 'gcd' 'tdcD' 'envZ' 'osmY' 'aceK'
 'csgG' 'gltF' 'fis' 'sodA' 'sucA' 'paaZ' 'aceB' 'ulaB' 'tdcE' 'ompR'
 'nirC' 'ulaF' 'csgD' 'tdcG' 'dusB' 'paaC' 'csgF' 'flhD' 'focA' 'sucB'
 'ulaD' 'paaK' 'hpt' 'actP' 'aceA' 'rpoH' 'ompF' 'paaJ' 'csgE' 'rseB'
 'nirD' 'paaD' 'sucC' 'paaE' 'paaH' 'tdcF' 'paaI' 'ulaC' 'sucD' 'ulaA'
 'ulaE' 'pflB' 'gltA' 'glpT' 'paaG' 'rseA' 'paaA' 'acs' 'glpQ' 'gltB'
 'paaF' 'flhC' 'sodB' 'rpoE' 'rseC' 'nirB' 'gltD' 'paaB']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
