,sgcC
Cr_1,0.002231514329347184
Cr_2,0.005920947295574847
Cr_3,0.009536534193688715
Cr_4,0.007529114195420717
Cr_5,0.007933902677200087
Cr_6,0.009792361701644329
Fe_1,-0.0067896358365269645
Fe_2,-0.012365180083159023
Fe_3,-0.02017294850178221
Fe_4,-0.01671137145961973
Fe_5,-0.009369381070093878
Fe_6,0.001575030120995224
Cd_1,0.005294144722235984
Cd_2,0.011056477263368137
Cd_3,0.015802773469186137
Cd_4,0.0239620936975317
Cd_5,0.025713624135119118
Cd_6,0.033267869422491964
Zn_1,-0.0038256685033814203
Zn_2,-0.0008985599841298627
Zn_3,0.013174016000598044
Zn_4,0.032836678615738066
Zn_5,0.04502160125878464
Zn_6,0.05431684805964461
Cu_1,0.0007969119570911682
Cu_2,-0.0010465153652903516
Cu_3,0.000473926407562334
Cu_4,0.002982293405814268
Cu_5,0.003522093051129522
Cu_6,0.008067919693918525
Pb_1,0.0060387763869208825
Pb_2,0.01472822675676968
Pb_3,0.021458102511617564
Pb_4,0.02443386713076487
Pb_5,0.028154813399182337
Pb_6,0.031957276467182
