,astC
Cr_1,0.0013115978495697167
Cr_2,0.006259622754611555
Cr_3,0.004348237166029937
Cr_4,0.010436039036579184
Cr_5,0.01599775511618176
Cr_6,0.017100646764057658
Fe_1,-0.01245101387135443
Fe_2,-0.029111946601141362
Fe_3,-0.05046017496002689
Fe_4,-0.07281631571469058
Fe_5,-0.09542939300839864
Fe_6,-0.10686220496302666
Cd_1,0.00820009708723567
Cd_2,0.012178594757870706
Cd_3,0.016719628943829522
Cd_4,0.02270465152518301
Cd_5,0.023472330859352138
Cd_6,0.02733574384595202
Zn_1,-0.001670496513758864
Zn_2,0.0013042260849053502
Zn_3,0.013000383003225705
Zn_4,0.023140168624713568
Zn_5,0.037930470255795684
Zn_6,0.048230038535656064
Cu_1,0.0073340847567329465
Cu_2,0.026511135246643232
Cu_3,0.0467918997125406
Cu_4,0.06625324042138665
Cu_5,0.07994799170404777
Cu_6,0.09340377399185584
Pb_1,0.007142632322269113
Pb_2,0.012167134521212576
Pb_3,0.02356149052194527
Pb_4,0.042790324262626335
Pb_5,0.058839445817081136
Pb_6,0.07732461656554201
