,-0.04632786857526894,-0.015442622858422978,0.015442622858422982,0.04632786857526894,0.0772131142921149,0.10809836000896086,0.1389836057258068,0.1698688514426528,0.20075409715949874,0.2316393428763447,0.26252458859319067,0.29340983431003664,0.32429508002688257,0.35518032574372854,0.3860655714605745,0.41695081717742044,0.4478360628942664,0.4787213086111124,0.5096065543279583,0.5404918000448043
thresh,-0.06177049143369192,0.06177049143369192,10,,,,,,,,,,,,,,,,,
unreg,2,2122,1728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,103,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ModE,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL and Fnr,3,25,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL and NarP,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and ModE,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, Fnr, and NarP",0,10,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, Fnr, and ModE",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, Fnr, ModE, and NarP",0,0,0,0,6,1,1,1,0,0,0,2,2,1,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],['torD' 'ogt' 'hybG' 'hybF' 'hybE' 'torC' 'hybC'],['hybD' 'hybO' 'hybA' 'hybB' 'torA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],"['zwf' 'ydfO' 'garL' 'malP' 'garK' 'caiT' 'pdhR' 'ompX' 'ynfK' 'tar'
 'viaA' 'gltF' 'dcuC' 'hyfJ' 'tdcB' 'ansB' 'fes' 'gdhA' 'thrA' 'ssuD'
 'aldA' 'hyfR' 'hyfE' 'tdcF' 'tdcE' 'ygbA' 'nfeR' 'scpC' 'gapC' 'glpC'
 'hyfI' 'tpx' 'emrK' 'hyfA' 'rpsC' 'rplV' 'rpsQ' 'rpmC' 'glpT' 'nac'
 'aspC' 'rpsS' 'xdhC' 'hyfG' 'acrF' 'rplP' 'feoA' 'cheY' 'feoC' 'gnd'
 'feoB' 'glnK' 'garD' 'garR' 'fepE' 'glnD' 'rpsI' 'malQ' 'iraD' 'ortT'
 'ssuE' 'bcsZ' 'sdhD' 'ycaC' 'gltB' 'iraM' 'hyfC' 'sucA' 'sucB' 'ssuB'
 'fumC' 'ychO' 'mltA' 'rplB' 'rplD' 'gltD' 'ydeJ' 'rplW' 'yffS' 'cadC'
 'ssuA' 'sucC' 'ybdZ' 'caiD' 'sdhB' 'hyfB' 'sucD' 'arcA' 'ndh' 'dppD'
 'tap' 'fixB' 'caiC' 'fhlA' 'lpd' 'pdeF' 'hyfH' 'soxR' 'cheZ' 'rplM'
 'rplS' 'rpsJ' 'ravA']","['katG' 'gadW' 'hypD' 'hyfD' 'dppA' 'rplC' 'hypB' 'yibN' 'acnA' 'yfcZ'
 'fumA' 'ung' 'phoU' 'ysgA' 'hlyE' 'xdhB' 'glpA' 'scpB' 'aer' 'emrY'
 'dppB' 'upp' 'caiE' 'sdhA' 'hypC' 'gadA' 'acrE' 'rimM' 'msrB' 'caiB'
 'pstB' 'tdcC' 'pstS' 'rplT' 'soxS' 'dppF' 'caiA' 'ybdN' 'glpB' 'pykA'
 'purM' 'prmC' 'pstA' 'sdhC' 'tdcA' 'bcsB' 'puuA' 'hyfF' 'trmD' 'hypE'
 'fixA' 'fnr' 'gcvT' 'pepT' 'gadX' 'hemA' 'cydB' 'scpA' 'xdhA' 'aceE'
 'focB' 'glpQ' 'yecR' 'uxaA' 'dppC' 'cheB' 'rpsP' 'hmp' 'aceF' 'puuP'
 'ssuC' 'purN' 'gcvP' 'cydA' 'pstC' 'pitA' 'cheR' 'amtB' 'grcA' 'nrdD'
 'ydfZ' 'fixC' 'cyoA' 'ymjE' 'tdcG' 'aroP' 'entF' 'tdcD' 'nrdG' 'uraA'
 'uxaC' 'ccp' 'gcvH' 'prfA' 'garP' 'yeiL' 'cyoB' 'cyoE' 'cyoC' 'argK'
 'cyoD' 'sodA']",['ackA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ModE_genes,[],"['modB' 'hycB' 'modA' 'modC' 'hycA' 'hycC' 'hycG' 'oppF' 'deoB' 'hycI'
 'oppD' 'hycE' 'oppB']",['deoC' 'deoA' 'oppA' 'hycH' 'oppC' 'deoD' 'hycF' 'hycD'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
