,ybjE
Cr_1,-0.0076940722072041095
Cr_2,-0.01127694601513048
Cr_3,-0.01944112729996688
Cr_4,-0.024813704064683702
Cr_5,-0.02486103477849219
Cr_6,-0.026509407570129363
Fe_1,-0.00975791614404004
Fe_2,-0.01966024557300064
Fe_3,-0.013688610539996048
Fe_4,-0.00032520647010473815
Fe_5,0.00758568224619345
Fe_6,0.021584478524308427
Cd_1,0.001953878306792878
Cd_2,0.005555566448505814
Cd_3,0.010679213856815268
Cd_4,0.015751966538629057
Cd_5,0.012662947074335884
Cd_6,0.016310091343126366
Zn_1,-0.13416853534137754
Zn_2,-0.14163173819935873
Zn_3,-0.11433774658964264
Zn_4,-0.07405753572061273
Zn_5,0.006810469577321747
Zn_6,0.1556492211547288
Cu_1,-0.0001956263689505718
Cu_2,0.0063586012009423315
Cu_3,0.01264143480073498
Cu_4,0.016803079984538862
Cu_5,0.02096043671886269
Cu_6,0.028978065983304376
Pb_1,-0.0021103301946049425
Pb_2,0.0005074098605274464
Pb_3,0.003010108494240435
Pb_4,0.0027046505372081827
Pb_5,-0.0006567296458878718
Pb_6,0.002170455190813156
