,ybeL
Cr_1,0.0056397679525521886
Cr_2,0.018454949610105704
Cr_3,0.035437071882390266
Cr_4,0.044253958120301765
Cr_5,0.0555503407381036
Cr_6,0.0660030001653235
Fe_1,-7.224685026260571e-05
Fe_2,-0.027032184253568497
Fe_3,-0.0692407921987429
Fe_4,-0.12776270590983507
Fe_5,-0.1896611169643271
Fe_6,-0.2487496492095882
Cd_1,0.002310447977807321
Cd_2,0.009427580292551113
Cd_3,0.02148539684848788
Cd_4,0.031382731751560485
Cd_5,0.039631405112077384
Cd_6,0.053637648599163236
Zn_1,0.003825104066559221
Zn_2,0.003776500149636747
Zn_3,0.0029542878485644317
Zn_4,0.013587705498425685
Zn_5,0.034267798465743515
Zn_6,0.058971376073066274
Cu_1,0.00667241629355846
Cu_2,0.0128045834246677
Cu_3,0.015938376245503982
Cu_4,0.013824578563337016
Cu_5,0.02552240693871541
Cu_6,0.023473329719982484
Pb_1,-0.00019040652272657368
Pb_2,-0.002578448353997969
Pb_3,-0.00410093907469422
Pb_4,-0.004192283501428311
Pb_5,-0.005764719879627826
Pb_6,-0.0099487449000302
