,BSU12490
M9exp_1,9.95
M9exp_2,9.6041
M9exp_3,9.0924
M9tran_1,8.9506
M9tran_2,8.8958
M9tran_3,9.1091
M9stat_1,8.3904
M9stat_2,8.2084
M9stat_3,8.0949
MG-0.1_1,9.5979
MG-0.1_2,8.6879
MG-0.1_3,10.0262
MG-0.2_2,9.4154
MG-0.2_3,9.5042
MG+5_1,9.6181
MG+5_2,9.5018
MG+5_3,9.294
MG+10_1,9.8472
MG+10_2,9.6496
MG+10_3,9.2695
MG+15_1,9.0746
MG+15_2,10.1324
MG+15_3,9.708
MG+25_1,9.308
MG+25_2,9.3053
MG+25_3,9.6041
MG+45_1,9.259
MG+45_2,9.3043
MG+45_3,10.0872
MG+60_2,9.4422
MG+60_3,9.6809
MG+90_2,9.2074
MG+90_3,9.6675
MG+120_1,8.9622
MG+120_2,9.2501
MG+120_3,8.9477
MG+150_1,9.3148
MG+150_3,9.2662
GM-0.1_1,9.2433
GM-0.1_2,9.4481
GM-0.1_3,9.3883
GM-0.2_1,9.5325
GM-0.2_2,9.5056
GM-0.2_3,9.2402
GM+5_1,9.0005
GM+5_2,9.2531
GM+5_3,9.4133
GM+10_2,9.7328
GM+10_3,8.7419
GM+15_1,9.7128
GM+15_2,9.7053
GM+15_3,9.4361
GM+25_1,9.9009
GM+25_2,9.7888
GM+25_3,9.3458
GM+45_1,9.9304
GM+45_2,8.9362
GM+45_3,9.5281
GM+60_1,9.7965
GM+60_2,9.2593
GM+60_3,9.1027
GM+90_1,9.9673
GM+90_2,9.6489
GM+90_3,9.3173
GM+120_1,9.3934
GM+120_3,9.3781
GM+150_1,9.2106
GM+150_2,8.801
GM+150_3,9.16
BT_1,11.9184
BT_2,11.7538
B36_1,10.7571
B36_2,11.021
B60_1,9.6769
B60_2,9.5946
S0_1,9.6383
S0_2,9.3931
S0_3,9.565
S1_1,9.1295
S1_2,9.2145
S1_3,9.1059
S2_1,8.8117
S2_2,8.4235
S2_3,8.5113
S3_1,8.9255
S3_2,8.7872
S4_1,9.0224
S4_2,8.6313
S4_3,8.1842
