,ycgK
Cr_1,0.004024505014812815
Cr_2,0.008031791015851183
Cr_3,0.007729186496711861
Cr_4,0.008004501118943741
Cr_5,0.010947224807025705
Cr_6,0.010759530451867085
Fe_1,-0.002802329137187347
Fe_2,-0.016961948462713716
Fe_3,-0.03606393538613142
Fe_4,-0.050141542900715805
Fe_5,-0.052099500222445486
Fe_6,-0.044552390604820864
Cd_1,0.013048367907285757
Cd_2,0.022505766235699654
Cd_3,0.01968298195683372
Cd_4,0.01255358171396643
Cd_5,-0.0037352976291931037
Cd_6,-0.013284207439617545
Zn_1,0.001674488585292039
Zn_2,0.0009718005031222047
Zn_3,-0.010330691029754709
Zn_4,-0.03565463877616061
Zn_5,-0.07538984282117482
Zn_6,-0.12382423894517194
Cu_1,0.027453822312392413
Cu_2,0.041104214434507014
Cu_3,0.04385238171261927
Cu_4,0.04647540363310231
Cu_5,0.0544710027118237
Cu_6,0.06418364203388484
Pb_1,0.015769707235108097
Pb_2,0.01852356973832865
Pb_3,0.001916049335516129
Pb_4,-0.025142005083774708
Pb_5,-0.04543119574187982
Pb_6,-0.05646172458938569
