,A,Lrp
R2,,0.28732781114603945
xmin,,-10.1521245118
xmid,,-4.795746043633091
xmax,,2.3501929199
ystart,,-14.944024570511102
yend,,5.960772413390907
aat__00m_00s__1,-0.4448894701,0.1917489778
aat__00m_30s__1,-0.0682483993,-0.0036410337
aat__01m_00s__1,0.5275672626,0.0638516938
aat__02m_00s__1,1.0474761488,0.1884466547
aat__05m_00s__1,2.0197732543,0.2606995247
aat__10m_00s__1,1.0908458245000001,-0.18787669680000002
aat__00m_00s__2,0.5997701237,-0.0850462209
aat__00m_30s__2,0.2576366241,0.23201001070000002
aat__01m_00s__2,1.3614653628,0.4624908091
aat__02m_00s__2,2.3497084944,0.5094912821
aat__05m_00s__2,3.0174677254,0.42741818940000004
aat__10m_00s__2,1.8292657622,-0.011315053200000001
aat__00m_00s__3,-0.1548806535,-0.1067027569
aat__00m_30s__3,-0.0003953903,-0.034949130700000004
aat__01m_00s__3,0.9434085665,-0.0507207701
aat__02m_00s__3,1.0831337405,0.0607301561
aat__05m_00s__3,1.8988097917000002,0.6821826714
aat__10m_00s__3,1.7763893993000002,0.1046706146
abx_mega__dmso-2__1,-0.40726253,-0.07686038270000001
abx_mega__ery_dmso__1,2.0477910737,-0.4184515133
abx_mega__nal_naoh__1,-0.5971309453,-0.0463286922
abx_mega__dmso-5__1,0.0122598967,0.291528555
abx_mega__rif_dmso__1,3.1239780628,0.5837445491000001
abx_mega__novo_h2o__1,4.2195707934,-0.5783668051
abx_mega__rach_dmso__1,-0.7241970029,-0.3544948952
abx_mega__metro_dmso__1,0.1635650699,-0.0169901278
abx_mega__dmso-6__1,-0.0282476468,-0.19775123900000002
abx_mega__chl_h2o__1,4.7592788821,-1.3513809867
abx_mega__cst_h2o__1,0.3246859367,-0.0936446555
abx_mega__tec_h2o__1,-1.9961273443,-0.29484850100000004
abx_mega__str_h2o__1,1.0401084742,0.0541041576
abx_mega__ctx_h2o__1,-0.1071615977,-0.0762063272
abx_mega__nal_naoh__2,-0.8766542733,-0.5672398331
abx_mega__phos_h2o__1,-0.1069472841,0.053708981100000004
abx_mega__dmso-5__2,0.6066192532,0.1920871912
abx_mega__polmyx_h2o__1,-0.5911279798,0.0033290340000000002
abx_mega__h2o-8b__1,-0.0615429164,-0.2368879814
abx_mega__h2o-6__1,-0.8935726633000001,-0.2100487493
abx_mega__thio_dmso__1,2.0933476017,-1.9313953898
abx_mega__phos_h2o__2,-0.4761185833,-0.2188764248
abx_mega__ctx_h2o__2,-1.2625379974,-1.5745697947
abx_mega__lzd_dmso__1,0.5798301344,-0.7282929664000001
abx_mega__naoh-9__1,-0.6480575699000001,0.2102835278
abx_mega__dox_dmso__1,0.40101513250000004,-0.34232132660000003
abx_mega__phos_ethanol__1,0.1017331581,-0.0360912475
abx_mega__teix_dmso__1,-2.5753251294,-0.46139139360000003
abx_mega__dmso-10__1,-0.3374834003,-0.0707081911
abx_mega__van_dmso__1,4.9200036981,-0.9188570988
