,A,AbrB,SinR,SigA,RemA
R2,,0.04187890376537584,0.0039226455673671,0.001737538915514536,0.0
xmin,,8.5138,9.4895,10.6334,9.2921
xmid,,12.772096412224935,,12.998597153214405,
xmax,,15.699,14.4476,14.8203,15.125
ystart,,-4.597021750210409,-7.710956145408929,-4.979982399284127,-5.739995894723773
yend,,-8.513678861652213,-3.9866650442932006,-7.343232352047343,-5.739995894723773
LBexp_1,-6.2081861972,14.4855,11.797,13.9229,14.8013
LBexp_2,-2.1855296583,14.1513,11.9931,13.6986,14.685
LBexp_3,-2.3313332366,14.0171,11.7337,13.5366,14.2535
LBtran_1,0.6684534848,12.9559,12.3832,13.5861,13.533
LBtran_2,1.2721888495,13.6162,12.1562,13.6947,13.5772
LBtran_3,0.39639042950000003,13.2329,11.9535,13.6814,13.6774
LBstat_1,-13.333834905,11.5003,11.961,13.746,14.2635
LBstat_2,-12.2653966994,11.618500000000001,11.5875,13.8294,13.7079
LBstat_3,-11.3099282205,11.4245,11.2265,13.7637,13.5543
LBGexp_1,-8.6648646178,14.4619,11.5559,14.0966,14.7651
LBGexp_2,-9.7380987987,14.4877,11.9779,13.9632,14.5751
LBGexp_3,-8.614750601,14.8004,11.6741,14.2782,14.5392
LBGtran_2,-4.9915529749,12.8169,12.3093,13.6213,14.453
LBGtran_3,-3.878213166,13.6761,12.6399,13.9309,14.9067
LBGstat_1,-13.9305513644,10.113,12.5296,13.8958,15.1155
LBGstat_2,-11.6993411143,10.0522,11.8732,13.2182,14.7548
LBGstat_3,-12.1387209722,10.9781,12.2385,12.9318,14.5005
S0_1,4.1149946347,15.3887,11.8123,13.7975,13.3936
S0_2,3.1850749897,15.2006,11.6556,13.5336,13.4144
S0_3,1.8142616852,15.5759,11.8696,13.7362,13.5447
S1_1,0.2694646216,15.1474,12.4389,14.1328,14.1953
S1_2,-1.0826736499,15.027,12.548,14.2092,14.2142
S1_3,-1.4210426589,15.0494,12.2847,14.064,14.1726
S2_1,4.0531969213,13.1919,12.5108,12.1327,13.8626
S2_2,6.614339091,12.946,12.5831,12.2083,13.4209
S2_3,3.9234118722,12.7281,12.6559,11.9224,13.3755
S3_1,5.8480286246,13.4288,13.5078,13.7874,14.2913
S3_2,6.0414178674,12.5803,13.3393,12.9115,14.3665
S4_1,2.0901816604,12.5007,13.8508,13.3174,14.5156
S4_2,2.0555761644,12.1909,14.0055,13.6235,14.0611
S4_3,0.9060456813000001,12.1338,13.8919,13.5395,13.7359
S5_1,-5.8607431665,12.1891,14.0756,13.9484,13.8273
S5_2,-6.5363679954,12.1659,14.2566,14.1419,14.1828
S5_3,-6.3096175482,12.5163,14.0314,13.9735,14.0562
S6_1,-15.7746122005,11.6923,13.4338,14.1058,13.5934
S6_2,-9.1781124978,8.9705,11.4846,14.8051,10.031
S6_3,-13.606452665,12.054,13.3377,13.7208,13.7805
S6/t_1,-12.8105457786,11.5529,12.8198,14.058,13.3792
S6/t_2,-6.5291665082,8.5138,10.729800000000001,14.1715,9.2921
S6_4,-11.239107514,10.6674,12.9117,13.8429,13.0757
S6_5,-12.8361100652,11.1864,13.4568,14.2173,13.7368
S6_6,-12.2529421856,11.3483,13.7566,14.1053,13.5551
S7_4,-10.6992922811,11.2589,13.3644,13.8537,13.2767
S7_5,-9.9784503247,10.9622,12.7782,13.728,12.9391
S7_6,-9.5225682705,11.0259,13.3196,13.6696,13.2193
S8_4,-9.2015177492,10.7193,12.5428,13.1727,12.7244
S8_5,-4.4373396362,10.0246,11.6343,13.7501,10.8657
G135_1,-15.9548684945,13.9581,10.39,14.5319,14.8968
G135_3,-9.4581556931,13.0644,9.4895,12.9564,12.9476
G150_1,-12.6359224137,13.1339,10.2858,13.5516,14.6647
G150_2,-13.867907805,13.5196,10.7571,14.3711,14.9375
G150_3,-13.7451708312,13.2444,10.0262,14.2475,14.8914
G180_1,-14.0087903684,15.4092,11.4088,14.2981,14.7427
G180_2,-15.8679441824,15.699,11.5921,14.6324,15.0908
G180_3,-13.1781099589,14.7004,10.7592,13.5078,13.9511
C30_1,-9.3449370524,13.4002,10.8537,13.9429,13.9878
C30_2,-9.3599090046,13.4975,11.4455,13.9782,14.2251
