,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,-3.5750163640333334,2.281556968078049,3.0,0.0,-6.2081861972,1.0,-2.1855296583,2.0,-2.3313332366,,,,,,,,,,
1,LB__LBtran,0.7790109212666666,0.4482442728994815,3.0,3.0,0.6684534848,4.0,1.2721888495,5.0,0.39639042950000003,,,,,,,,,,
2,LB__LBstat,-12.303053274966667,1.0124786813328475,3.0,6.0,-13.333834905,7.0,-12.2653966994,8.0,-11.3099282205,,,,,,,,,,
3,LB__LBGexp,-9.0059046725,0.6345935963286214,3.0,9.0,-8.6648646178,10.0,-9.7380987987,11.0,-8.614750601,,,,,,,,,,
4,LB__LBGtran,-4.434883070450001,0.787250128638125,2.0,12.0,-4.9915529749,13.0,-3.878213166,,,,,,,,,,,,
5,LB__LBGstat,-12.589537816966667,1.1819482500016047,3.0,14.0,-13.9305513644,15.0,-11.6993411143,16.0,-12.1387209722,,,,,,,,,,
6,Life Cycle__S0,3.0381104365333336,1.1573858307169442,3.0,17.0,4.1149946347,18.0,3.1850749897,19.0,1.8142616852,,,,,,,,,,
7,Life Cycle__S1,-0.7447505624,0.8944818199130857,3.0,20.0,0.2694646216,21.0,-1.0826736499,22.0,-1.4210426589,,,,,,,,,,
8,Life Cycle__S2,4.863649294833333,1.5175299376104696,3.0,23.0,4.0531969213,24.0,6.614339091,25.0,3.9234118722,,,,,,,,,,
9,Life Cycle__S3,5.944723246000001,0.13674684499241135,2.0,26.0,5.8480286246,27.0,6.0414178674,,,,,,,,,,,,
10,Life Cycle__S4,1.6839345020333336,0.6738936475103274,3.0,28.0,2.0901816604,29.0,2.0555761644,30.0,0.9060456813000001,,,,,,,,,,
11,Life Cycle__S5,-6.235576236700001,0.343844171410566,3.0,31.0,-5.8607431665,32.0,-6.5363679954,33.0,-6.3096175482,,,,,,,,,,
12,Life Cycle__S6,-11.7783811768625,2.8366866487358546,8.0,34.0,-15.7746122005,35.0,-9.1781124978,36.0,-13.606452665,37.0,-12.8105457786,38.0,-6.5291665082,39.0,-11.239107514,40.0,-12.8361100652,41.0,-12.2529421856
13,Life Cycle__S7,-10.066770292100001,0.5933128700456358,3.0,42.0,-10.6992922811,43.0,-9.9784503247,44.0,-9.5225682705,,,,,,,,,,
14,Life Cycle__S8,-6.819428692700001,3.36878265048283,2.0,45.0,-9.2015177492,46.0,-4.4373396362,,,,,,,,,,,,
15,Life Cycle__G135,-12.7065120938,4.593869677291392,2.0,47.0,-15.9548684945,48.0,-9.4581556931,,,,,,,,,,,,
16,Life Cycle__G150,-13.416333683300001,0.6786364295212927,3.0,49.0,-12.6359224137,50.0,-13.867907805,51.0,-13.7451708312,,,,,,,,,,
17,Life Cycle__G180,-14.351614836566668,1.3772975348334437,3.0,52.0,-14.0087903684,53.0,-15.8679441824,54.0,-13.1781099589,,,,,,,,,,
18,Stress Time Course__C30,-9.3524230285,0.010586768928220712,2.0,55.0,-9.3449370524,56.0,-9.3599090046,,,,,,,,,,,,
19,Stress Time Course__C90,-5.4987110376,0.9692232810297345,2.0,57.0,-6.1840553921,58.0,-4.8133666831,,,,,,,,,,,,
20,Biofilm__BI,2.56519112575,0.007258486817772152,2.0,59.0,2.570323651,60.0,2.5600586005,,,,,,,,,,,,
21,Biofilm__BC,-15.69532123275,2.0132780988633034,4.0,61.0,-18.443310563,62.0,-15.2011778226,63.0,-13.6133243684,64.0,-15.523472177,,,,,,,,
22,Biofilm__Sw,-20.83944004265,0.09735169946254553,2.0,65.0,-20.9082780895,66.0,-20.7706019958,,,,,,,,,,,,
23,Life Cycle__BT,11.5731836916,0.21606334200844585,2.0,67.0,11.725963545900001,68.0,11.4204038373,,,,,,,,,,,,
24,Life Cycle__B36,-1.0036119138,0.519570635121763,2.0,69.0,-1.3710038332,70.0,-0.6362199944,,,,,,,,,,,,
25,Life Cycle__B60,-9.3934341394,1.232968122066408,2.0,71.0,-8.5215940193,72.0,-10.2652742595,,,,,,,,,,,,
26,M9__M9exp,0.0,0.587952837613317,3.0,73.0,-0.2735333085,74.0,-0.4013533938,75.0,0.6748867023,,,,,,,,,,
27,M9__M9tran,6.566992574466666,0.16594592269957845,3.0,76.0,6.7572705346,77.0,6.4914437112,78.0,6.4522634776,,,,,,,,,,
28,M9__M9stat,-8.214942467466665,1.545230760888723,3.0,79.0,-6.4389687257,80.0,-9.2518456095,81.0,-8.9540130672,,,,,,,,,,
29,Supplement__M+G,1.4301437378,0.651204815593738,3.0,82.0,2.0297135883,83.0,1.5233660741000001,84.0,0.737351551,,,,,,,,,,
30,Supplement__Glu,-5.3508491388333335,0.9110765493541773,3.0,85.0,-4.7031590099,86.0,-6.3926312489,87.0,-4.9567571577,,,,,,,,,,
