,sapA
Cr_1,-0.005101500364485586
Cr_2,-5.717895951990997e-05
Cr_3,0.004646032154433014
Cr_4,0.006715793525887421
Cr_5,0.013673719975940994
Cr_6,0.029985189377397293
Fe_1,-0.04098472831203065
Fe_2,-0.0967307775553795
Fe_3,-0.14147253636420992
Fe_4,-0.17869971909541368
Fe_5,-0.20322346696569354
Fe_6,-0.2176188221648279
Cd_1,-0.00394850374384529
Cd_2,0.001723381375136475
Cd_3,0.006651897261937576
Cd_4,0.02172778433102849
Cd_5,0.02219598939334873
Cd_6,0.025787472759055168
Zn_1,0.011801190612450932
Zn_2,-0.003781166635851572
Zn_3,0.015276594137274902
Zn_4,0.027386975291590645
Zn_5,0.061953306544103935
Zn_6,0.07152417805453389
Cu_1,-0.0006053717429201871
Cu_2,0.0052421296367629
Cu_3,0.015677920507713487
Cu_4,0.02503718302288387
Cu_5,0.037458410348580905
Cu_6,0.05099874574319621
Pb_1,0.01809450087780442
Pb_2,0.04175088870426821
Pb_3,0.05732688816220045
Pb_4,0.0651838608352045
Pb_5,0.08538612610472862
Pb_6,0.1072654792168646
