,A,MetJ,HypT
R2,,0.5378003112987002,0.12902114428870803
xmin,,-3.9687177674000003,-3.4180353462
xmid,,-1.8663708139514454,-2.516237509213467
xmax,,5.8603107211,2.976060668
ystart,,-8.549214262673825,-6.029690405577271
yend,,26.5208569715155,6.845932165431804
aat__00m_00s__1,-0.07411766680000001,0.0407449277,0.027309873300000002
aat__00m_30s__1,0.4737639802,-0.1378432607,-0.2577147768
aat__01m_00s__1,1.921289213,0.22709502720000002,-0.6130216518
aat__02m_00s__1,3.1841359091,0.1914283713,-0.6200718129
aat__05m_00s__1,4.1696381143,0.37283968910000004,-0.0371024861
aat__10m_00s__1,3.8746202403,0.2747517627,0.3254009766
aat__00m_00s__2,0.1631659923,0.0053300797,-0.1472930787
aat__00m_30s__2,1.3845910477,0.2903858547,0.0755107382
aat__01m_00s__2,2.8077509931,0.3294292998,-0.5111103386
aat__02m_00s__2,4.3361792791,0.4410258127,-0.49814172900000003
aat__05m_00s__2,3.3632947738,0.015384444700000001,0.1575122918
aat__10m_00s__2,-0.9803342788,-0.3285642561,0.51394086
aat__00m_00s__3,-0.0890483256,-0.0460750074,0.1199832054
aat__00m_30s__3,0.057214495000000004,0.5025824305000001,-0.2983877078
aat__01m_00s__3,1.7687852956999999,0.3739434893,-0.5709001138
aat__02m_00s__3,3.4395754856,0.8176435398,-0.26025151490000004
aat__05m_00s__3,2.7945566263,0.4927140488,0.2376770132
aat__10m_00s__3,-0.7209503961,-0.2662514708,0.5564382349
abx_mega__dmso-2__1,1.0550338197,-0.571360467,0.7649257220000001
abx_mega__ery_dmso__1,1.8147313010000001,-0.22476467500000002,0.9026374749
abx_mega__nal_naoh__1,3.8579354255,-0.7647392033,-0.2342332083
abx_mega__dmso-5__1,-0.18307403500000002,0.0414349326,0.2570550264
abx_mega__rif_dmso__1,0.40916042960000004,0.11860713710000001,-0.07512619920000001
abx_mega__novo_h2o__1,2.2502134101,0.5887915191,-1.630664504
abx_mega__rach_dmso__1,0.0334316055,0.1595604574,0.4673295274
abx_mega__metro_dmso__1,-0.9019048402000001,-0.2955735514,0.6503470357000001
abx_mega__dmso-6__1,-1.5328614247,-0.3367329341,0.7474173979000001
abx_mega__chl_h2o__1,5.0783382647,-0.1851318057,0.5566685068
abx_mega__cst_h2o__1,-0.8649829043,-0.26672376140000004,0.0527140402
abx_mega__tec_h2o__1,3.3127531477,-1.0677168085,0.393091872
abx_mega__str_h2o__1,1.7897093162000002,-0.5998015735000001,0.6253305567
abx_mega__ctx_h2o__1,0.1016281275,-0.2075697823,0.0062332519
abx_mega__nal_naoh__2,1.0143880146,0.2032172056,0.0842180852
abx_mega__phos_h2o__1,-1.4213556844,-0.4572296241,-0.22307769060000002
abx_mega__dmso-5__2,0.1316509144,0.33629441600000004,0.1256848102
abx_mega__polmyx_h2o__1,-0.0032456017,-0.3052479863,-0.3186051965
abx_mega__h2o-8b__1,-0.3645458771,-0.45495210760000004,0.1223764901
abx_mega__h2o-6__1,-0.7419199275,-0.3979299485,0.2961122711
abx_mega__thio_dmso__1,3.2400998145,-1.1013094778,0.37673294430000004
abx_mega__phos_h2o__2,-1.3296232141,-0.3589724205,-0.3791312506
abx_mega__ctx_h2o__2,0.6627701959,-1.4004306561,-0.3477767873
abx_mega__lzd_dmso__1,1.5409328553,-0.556066241,0.6100671301
abx_mega__naoh-9__1,-0.3372488158,-0.9438466885000001,0.1649720222
abx_mega__dox_dmso__1,1.0874535328,-0.5566309391,0.7032335885000001
abx_mega__phos_ethanol__1,-0.4217331515,0.2180745255,-0.0306966186
