,yfgB
Cr_1,0.005372528136672613
Cr_2,0.011318374213463213
Cr_3,0.011950583008743585
Cr_4,0.00920932056387388
Cr_5,0.01625004972696335
Cr_6,0.019026836197769237
Fe_1,-0.0027367303751857745
Fe_2,-0.011249650453448223
Fe_3,-0.022091112957961685
Fe_4,-0.03632607752860545
Fe_5,-0.04474737129039103
Fe_6,-0.047728397883247606
Cd_1,0.00255334797948747
Cd_2,0.005677354689795572
Cd_3,0.007070585128891919
Cd_4,0.006515882564310516
Cd_5,0.002642782121526143
Cd_6,0.0016452498376228106
Zn_1,0.0006292888376253997
Zn_2,0.01942187061240565
Zn_3,0.047049404284190174
Zn_4,0.0710717236884322
Zn_5,0.09248042704673587
Zn_6,0.10910886512470534
Cu_1,0.006679459624587535
Cu_2,0.00805066291447887
Cu_3,0.010623868000791823
Cu_4,0.016300518363626254
Cu_5,0.022088146630400943
Cu_6,0.029080288418267236
Pb_1,-3.3395292272487734e-05
Pb_2,-0.0012795834016579373
Pb_3,0.0005203083308107208
Pb_4,0.0069285892123812365
Pb_5,0.014640881693733463
Pb_6,0.022363926538082057
