,rpsT
Cr_1,0.0014655942605653735
Cr_2,-0.0075495201684953345
Cr_3,-0.0133208013206323
Cr_4,-0.013901730106513334
Cr_5,-0.01577395939306641
Cr_6,-0.010994290532306229
Fe_1,-0.01935859272137317
Fe_2,-0.03620806859101698
Fe_3,-0.05447764415307428
Fe_4,-0.07365350848859101
Fe_5,-0.09255547005033124
Fe_6,-0.11094682104976483
Cd_1,0.006387997804940025
Cd_2,0.005369259690439921
Cd_3,0.006946011082828425
Cd_4,0.012472657612203295
Cd_5,0.012000741295444784
Cd_6,0.01937520227515897
Zn_1,-0.07727271098856849
Zn_2,-0.15431443609315504
Zn_3,-0.1957422338925464
Zn_4,-0.03691247896351158
Zn_5,-0.0490242750221927
Zn_6,-0.07136626531176785
Cu_1,0.003502936324413404
Cu_2,0.01514266351090076
Cu_3,0.023411225649685573
Cu_4,0.030377295192079632
Cu_5,0.035039485474729494
Cu_6,0.03756096959126487
Pb_1,0.005448898782800071
Pb_2,0.007010317858982651
Pb_3,0.008169368265256665
Pb_4,0.010046861291284124
Pb_5,0.00902259042894541
Pb_6,0.010108447503067785
