,-0.11250921552292159,-0.09927283722610729,-0.08603645892929299,-0.07280008063247868,-0.05956370233566438,-0.04632732403885008,-0.03309094574203578,-0.019854567445221474,-0.006618189148407172,0.00661818914840713,0.019854567445221433,0.03309094574203575,0.04632732403885004,0.059563702335664326,0.07280008063247864,0.08603645892929296,0.09927283722610725,0.11250921552292154,0.12574559381973585,0.13898197211655017
thresh,-0.11912740467132875,0.11912740467132875,1,,,,,,,,,,,,,,,,,
unreg,0,2,2,1,4,12,65,440,2392,2112,399,90,20,13,4,4,2,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_0943'],[]
