,yfhH
Cr_1,-0.00031965624098288065
Cr_2,0.0056975811610148076
Cr_3,0.02749671793288361
Cr_4,0.0449254931017696
Cr_5,0.0600612264335445
Cr_6,0.0575644748133525
Fe_1,-0.009597920914330869
Fe_2,-0.022373311005195226
Fe_3,-0.019942441424583054
Fe_4,-0.013460384715508436
Fe_5,0.0046490603446093575
Fe_6,0.01886191924036333
Cd_1,0.005269590500173803
Cd_2,0.008575352281087164
Cd_3,0.011641444839504977
Cd_4,0.0115847034539114
Cd_5,0.0015951718196315153
Cd_6,0.0020856447205847327
Zn_1,-0.005912430348549866
Zn_2,-0.015556426181041009
Zn_3,-0.0085087321127367
Zn_4,0.00171232325842989
Zn_5,0.013858592364415948
Zn_6,0.02304653237535633
Cu_1,0.0018936013624416374
Cu_2,0.009418342517693584
Cu_3,0.015462855509461347
Cu_4,0.023798595716600368
Cu_5,0.032786538780395696
Cu_6,0.03837937467414944
Pb_1,0.0022384465918130047
Pb_2,0.0033960535612667
Pb_3,0.01441684036999134
Pb_4,0.022199356124345114
Pb_5,0.02814023449204909
Pb_6,0.03811128865314184
