,ybcV
Cr_1,0.005531026622905135
Cr_2,0.018135594806089055
Cr_3,0.023950827575271588
Cr_4,0.027246332169850063
Cr_5,0.021210621518313984
Cr_6,0.02463818230213534
Fe_1,-0.01749240947323031
Fe_2,-0.0446622907402537
Fe_3,-0.05516055394858714
Fe_4,-0.06809964232173119
Fe_5,-0.0713467241961972
Fe_6,-0.0770798523646655
Cd_1,-0.004689307561352652
Cd_2,-0.003692644259451361
Cd_3,-0.0062324493348000646
Cd_4,-0.00042764161099656317
Cd_5,-0.005692600299629568
Cd_6,-0.005509483928860949
Zn_1,-0.005427261108501786
Zn_2,-0.01998939131175525
Zn_3,-0.020664234296220968
Zn_4,-0.02173406375844112
Zn_5,-0.020927154978514082
Zn_6,-0.0183266632883394
Cu_1,0.003646997167881293
Cu_2,0.0034717713771200537
Cu_3,0.009986304224324944
Cu_4,0.010596488114364365
Cu_5,0.016895609481270883
Cu_6,0.01978494277919941
Pb_1,-0.0026908763646328595
Pb_2,0.0012991508883976575
Pb_3,-0.00013167764172679293
Pb_4,9.692626537348588e-05
Pb_5,-0.001446505960150367
Pb_6,0.004734284337135072
