,A,Lrp,hns
R2,,0.17694128120126862,0.050787517677544414
xmin,,-3.331796678,-1.997976621
xmid,,-0.5891916182126437,0.21913090623394668
xmax,,0.95693476,2.38016355
ystart,,0.8299813133034317,3.102624516433454
yend,,7.856867853809223,-1.8405924235934852
ecoli_00001,0.1252261904,-0.01164171,0.11716061
ecoli_00002,-0.1252261904,0.01164171,-0.11716061
ecoli_00003,1.2207090826,-0.6940244830000001,-0.21220296
ecoli_00004,1.0542947584,-1.072648193,-0.15081341
ecoli_00005,4.4281357134,-0.29271737000000003,-0.56740864
ecoli_00006,4.0234517285,-0.3638154,-0.57501992
ecoli_00007,1.9858929553,-0.37554615,0.028218820000000002
ecoli_00008,2.2310095278,-0.42726524,0.13773749
ecoli_00009,4.31526353,-0.40719294,-0.38894031
ecoli_00010,4.1453393935,-0.38888722000000003,-0.41893693
ecoli_00011,3.5350225995,-0.09708397,-0.14121664
ecoli_00012,3.7154822415,-0.09599975000000001,-0.11730537
ecoli_00014,3.219042103,-0.25259054000000003,0.03221592
ecoli_00015,2.7953389598,-0.20636768,-0.05329888
ecoli_00016,2.4677768905,-0.13596409,-0.07889036
ecoli_00017,4.0270144544,-0.03282263,-0.15523974000000001
ecoli_00018,3.8235384864,-0.08436744,-0.13083348
ecoli_00019,3.5679030524,-0.31749068,0.48668311000000003
ecoli_00020,3.3665448317,-0.26522032,0.38230353
ecoli_00021,2.7136285152,-0.09725503,0.55926339
ecoli_00022,2.7276283129000003,-0.14415623,0.64062106
ecoli_00023,2.4897765684,-0.480100356,0.30159602
ecoli_00024,2.9084769021,-0.43780535,0.24839989999999998
ecoli_00025,2.7944480149,-0.36656416,0.32007261
ecoli_00026,2.8474748211,-0.27357684,0.31466579
ecoli_00027,-1.0150560198,0.2274396,-0.14105018
ecoli_00028,-0.7167772238,0.30784091,-0.20188572
ecoli_00029,-0.059576284300000004,0.12546447,0.01979154
ecoli_00030,-0.5175012224000001,0.1488817,0.16168658
ecoli_00031,-0.1749960217,0.06384899000000001,0.37983694
ecoli_00032,-0.7787371569,0.03403801,0.41889962000000003
ecoli_00033,0.28865837650000004,-0.26887009,-0.72500221
ecoli_00034,-0.1099862556,-0.49716302100000004,-1.06691429
ecoli_00035,4.4206794832,0.3625209,-0.14804482
ecoli_00036,4.2125250939,0.31627001,-0.26308135
ecoli_00037,4.8001662137,0.20808448000000002,0.03699667
