,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,1.1631100266946435,3.0,0.0,-0.035375655900000004,1.0,-1.1450186511,2.0,1.180394307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.6446657384000001,1.1919049481146338,3.0,3.0,0.5595823606,4.0,-0.6697479416000001,5.0,-1.8238316342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,3.4017082928333333,0.5652386777276442,3.0,6.0,4.0446452909,7.0,2.9829321621,8.0,3.1775474255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-1.057355261547768e-17,1.0604275595061947,21.0,9.0,0.968345706,10.0,-0.7878648221000001,11.0,0.8571329251,12.0,-1.1238323959,13.0,-0.4431434756,14.0,-2.1987895109,15.0,0.9788755783,16.0,0.41469069470000003,17.0,0.8583545304,18.0,-0.8808777535000001,19.0,-1.3624450136,20.0,0.11640762140000001,21.0,1.2617825849,22.0,0.18477696700000001,23.0,-0.4574491869,24.0,-0.3896693724,25.0,1.3603045801,26.0,-1.1917262151,27.0,-0.5568069875,28.0,1.8893650767999999,29.0,0.5025684688000001
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,3.396727589619048,2.4760599495939717,21.0,30.0,5.8552531852000005,31.0,0.10167626190000001,32.0,2.0727825814,33.0,2.2879639757,34.0,-0.9787597029,35.0,2.9762572636,36.0,5.2501414352,37.0,3.2170157084,38.0,6.4665204958,39.0,1.9106676573999999,40.0,1.1558020936,41.0,-0.749997848,42.0,3.8182753288,43.0,5.4644207897,44.0,4.1162630027,45.0,1.6302443824,46.0,8.6388175241,47.0,2.6584728832,48.0,5.0766251078,49.0,5.8088241155,50.0,4.5540131405
5,WT_vs_Del_ccpA__THY_None_WT_exponential,3.333331758762862e-11,0.5589008817918663,3.0,51.0,-0.4159359743,52.0,0.6353064299,53.0,-0.2193704555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,4.826696415500001,1.1654097507547665,4.0,54.0,6.3983942065,55.0,4.7359956779,56.0,4.5858992773,57.0,3.5864965003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.5000002068509275e-11,0.6649385822896935,4.0,58.0,-0.7155075988,59.0,0.7156277832,60.0,-0.3888760509,61.0,0.38875586640000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.29976874512500007,0.9521802920750039,4.0,62.0,-0.5240960794,63.0,-0.37669136210000004,64.0,-1.2933304495,65.0,0.9950429105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.310044130875,0.6338245991822704,4.0,66.0,0.7881255759,67.0,0.5794880207,68.0,0.4951382996,69.0,-0.6225753727000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
