,A,PspF
R2,,0.008104755732784907
xmin,,-3.1074418964
xmid,,
xmax,,1.9151353181
ystart,,2.4608603838792664
yend,,0.6681463519197727
SRX1125282,0.2329361442,-0.3776427225
SRX1125283,0.9418674907000001,0.034851138000000004
SRX1125284,1.0564969137,-0.0659943369
SRX1125285,1.6141538368,-0.129114073
SRX1125286,1.699869945,-0.2766541242
SRX1125287,1.0790594833,-0.5560575297
SRX1125288,-0.2334628337,0.5258803350000001
SRX1125289,-0.3103812501,0.6888318282
SRX1125290,0.2135610748,0.2251631569
SRX1125291,0.6074704489,0.030862264400000002
SRX1125292,0.692516503,-0.25786131900000003
SRX1125293,-0.2010367794,0.2252778511
SRX1125294,0.0005266896,-0.1482376125
SRX1125295,0.2923864165,-0.0296882491
SRX1125296,0.7635765329,-0.1534727049
SRX1125297,1.1862694784,0.057405320700000005
SRX1125298,1.4285241175,-0.2966521099
SRX1125299,0.9054039609000001,-0.3104238334
SRX5694250,0.338520662,-0.3254751781
SRX5694251,4.8483470955,-1.0926182084
SRX5694252,0.5042615742000001,-0.6239946538000001
SRX5694253,3.0361904298,-0.22282902570000002
SRX5694254,2.4513943353,-1.0650449183
SRX5694255,2.1380710814,-2.9978161624
SRX5694256,1.7754801874,-0.2719636541
SRX5694257,2.62993619,-0.4890173913
SRX5694258,4.060934488,0.0990173211
SRX5694259,-1.7657738260000002,-0.6560192469
SRX5694260,-0.5931306204,0.3898151502
SRX5694261,-5.5781656451,0.1917447515
SRX5694262,0.28641730200000004,-0.2089055424
SRX5694263,-0.3583944298,0.0376649599
SRX5694264,0.8073693070000001,-1.1366535806
SRX5694265,0.32502333,-0.5375989312
SRX5694267,4.0826164527,0.1279729918
SRX5694268,-0.9566859687,0.2358035899
SRX5694269,0.8146650727,0.2653762589
SRX5694271,-0.2980063785,0.4609048204
SRX5694273,-3.0217228403,-1.1641560427
SRX5694274,0.0131557228,0.255104614
SRX5694275,-1.1070642018,-0.6838340039
SRX5694276,-1.265586326,0.08319462770000001
SRX5694277,-1.2823307928,0.5602125363
SRX5694278,2.0282363856,-0.37318868780000003
SRX5694279,-0.3426210839,0.0006314691
SRX5694280,1.1818931695,-1.0177838084
SRX5694281,0.170691942,-0.1697445988
SRX5694282,9.9260053807,-1.1507153378
SRX5694283,5.5132940386,-0.1015681844
SRX5694284,-2.2425319726,-0.1954140939
SRX5694285,-1.2457915951,-0.5873988879
SRX5694286,-0.8009699223000001,-0.48244297350000004
SRX5694287,-2.2413181371,0.5430088590000001
SRX5694288,1.1040046385,0.08118523030000001
SRX5694289,1.4719268879,-0.0631996301
SRX5694290,0.3263455876,-0.4512849994
SRX5694291,2.0021982899,-2.5556327105000003
SRX5694292,0.9655297032000001,-0.074867557
SRX5694293,0.2666398524,0.4458122028
SRX5694294,4.0255250471,-0.2303787163
SRX5694295,2.5562467195,-1.005919492
SRX5694296,1.6275227579,0.0105540558
SRX5694297,0.7423481521,-0.4369925847
SRX5694298,-0.2792381614,-0.5918624246
SRX5694299,1.8336920578,-0.273871333
SRX5694300,0.0853487953,-0.4677599083
SRX5694301,0.3180416486,-0.1771191179
SRX5694302,0.0889075462,-0.2906280731
SRX5694303,0.2781824852,-0.7210341119
SRX5694304,-0.0609333379,-0.3241476092
SRX5694305,4.8529120659,-1.3707668509
SRX5694306,-1.8232411320000002,-0.9115353568000001
SRX5694307,9.0422865866,-0.9412115374000001
SRX5694308,-0.1516352362,-0.4381485578
SRX5694309,-1.4195555156,-0.8337736435
SRX5694310,7.3533724193,-0.8053781056
SRX5694311,-0.8646147014000001,-0.2076916113
SRX5694312,-2.0225025401,-0.3567306073
SRX5694313,2.5516675246,0.1944104069
SRX5694315,-0.9293427275,0.0815577915
SRX5694317,1.0608463788,0.6099248209
SRX5694319,0.18478527660000002,-0.127036552
SRX5694320,1.0623515665,-2.4456237885
SRX5694321,1.9884858848,-0.3454879216
SRX5694322,8.9380287647,1.0752321008
SRX5694323,2.8979561514,0.0117727946
SRX5694324,11.5961252453,-0.3319519603
SRX5694325,7.8726349077,-0.4341034526
SRX5694326,2.2844653578,-0.7687905660000001
SRX5694327,7.6743103971,-0.7714291208
SRX5694328,1.4052094528,0.2439974338
SRX5694329,2.5741049517,0.1045122681
SRX5694330,-3.377086926,0.15139161210000002
SRX5694331,0.7679760142000001,0.6390762917
SRX5694332,-1.854847731,0.1338961645
SRX5694334,-1.4962647319,-0.3524130481
SRX5694335,3.2787441156,-0.30244084450000003
SRX5694336,-0.9129609715,-0.45110611920000004
SRX5694337,4.3690453106,-0.3412392622
SRX5694338,-1.2969834806,0.20551260030000001
SRX5694339,0.8191359701,-0.3549245298
SRX5694340,0.4103388207,-1.8806000352
SRX5694341,3.8504135218,-0.5813038618
SRX5694342,-0.40392610500000004,-0.1787506465
SRX5694343,-0.2939757927,0.7373647408
SRX5694344,2.4982285066,-0.2617934896
SRX5694345,1.7534762074999999,-0.2133448205
SRX5694346,2.8014865488,-0.16272626110000002
SRX5694347,1.1244074432,-0.2791954224
SRX5694348,-2.0895576867,0.15229197830000002
SRX5694349,-1.7727362174999999,-0.2090895451
SRX5694350,1.5250998669,-1.4100676818
SRX5694351,6.4605417588,-0.5517623772
SRX5694352,1.3810732855,-0.6218590944
SRX5694353,1.0742438712,-0.4533766181
SRX5694354,-1.7633736757,-0.0371849047
SRX5694356,0.0038047321,-0.7379026346
SRX5694357,-0.8027752188,-0.7047599329
SRX5694358,-0.31018069600000003,-2.0490857312
SRX5694359,-0.5454017038,-0.6206129439
SRX5694360,-2.4062600452,-0.26393345560000003
SRX5694361,8.4447682071,1.2606276205
SRX5694362,-0.0809774897,0.1686240411
SRX5694363,2.3565500103,-0.3974261483
SRX5694364,-2.481848477,-1.5369678826
SRX5694365,-0.0650164423,0.2508758397
SRX5694366,-0.7389600326,-0.606060554
SRX5694367,8.7871209575,-0.5484089394
SRX5694368,1.3137906106,-0.8253950222
SRX5694369,0.7618879617000001,0.1195266657
SRX5694370,-0.348519579,0.25690780490000004
SRX5694371,-0.7329731451,-0.4432673318
SRX5694372,-1.0825256012,-0.5346008703
SRX5694373,2.3610417405,-1.2792899302
SRX5694374,-3.2371236311000002,-2.2191169185
SRX5694375,2.2159507317,-0.2998106428
SRX5694376,-2.3155736057,0.2272618139
SRX5694377,-1.0855867617,-1.8037401833
SRX5694378,-1.3530474166,-0.2614750879
SRX5694379,1.2650866621,-1.312491523
SRX5694380,0.9472619682000001,-0.3766817824
SRX5694381,1.4242569402,-0.3301424967
SRX5694382,2.4313934958,0.19445472290000002
SRX5694383,0.3717787976,-0.7066841469
SRX5694384,0.5174225072,0.4249941213
SRX5694385,5.7907199857,0.2483818469
SRX5694386,-1.767853445,-0.5012410056000001
SRX5694387,0.0445383085,-0.32206158560000003
SRX5694388,11.2793345086,-0.4445754127
SRX5694389,0.4720372807,-1.7458862184
SRX5694390,-0.5238565785,-0.3365841805
SRX5694391,0.5995276655,0.771825673
SRX5694392,1.5899269495000001,-0.8202026797
SRX5694393,0.541943748,0.4858522994
SRX5694394,-0.957606248,0.5270694735
SRX5694395,2.7146387625,-0.7829670692
SRX5694396,7.6488020975,-1.2523046917
SRX5694397,-2.7105696823,-0.2387324418
SRX5694398,-1.8607896072,-0.2788656635
SRX5694399,5.8790875489,-0.21421724990000002
SRX5694400,0.20001819070000001,-0.5588573345
SRX5694401,1.4574516684,0.3995284733
SRX5694402,-0.5138571215000001,-1.003982424
SRX5694403,4.5002081831,-0.9465114370000001
SRX5694404,-4.165655002,-0.11434324870000001
SRX5694405,1.8912500668,0.3847373264
SRX5694406,2.6618828138,-0.6138970252
SRX5694407,0.6638386686000001,-0.4521044742
SRX5694408,1.7102100514,-0.38572492210000003
SRX5694409,-1.9889499805000002,0.5956993473000001
SRX5694410,-1.3502011071,0.36184079150000004
SRX5694411,-1.3667420644,-0.7261674591
SRX5694412,-3.0246258884,-0.2439565398
SRX5694413,-3.5601888093,0.5291907169
SRX5694414,0.3635060406,0.22458890450000002
SRX5694415,-0.5338804663,-0.7490927660000001
SRX5694416,-0.0880285822,0.0198432077
SRX5694417,2.096564498,0.4747639502
SRX5694418,0.7742528743,-1.2656649518
SRX5694419,-0.4878653908,-0.43022228290000003
SRX5694420,0.4722927967,-0.8383059725
SRX5694421,3.7734653328,-0.9681083944000001
SRX5694422,1.0310797286,-0.3243491231
SRX5694423,-2.5069341253,-0.9119537209
SRX5694424,6.2470235866,-0.3356467875
SRX5694425,-0.8648789814000001,0.1737907539
SRX5694426,-1.1957762148,-0.3175721678
SRX5694427,2.7235604581,-0.0698789801
SRX5694428,2.0297038215,0.39922208870000003
SRX5694429,0.3163056207,-1.6004556209
SRX5694430,2.1607624374,0.2334511946
SRX5694431,3.8925297776,-0.3712562746
SRX5694432,-1.8143640459,-0.1624682789
SRX5694433,-6.9541083508,0.5321199048
SRX5694434,4.4223471291,0.011026445400000001
SRX5694435,0.5251446996,-1.0130451157
SRX5694436,-0.9926944916,0.3292887215
SRX5694437,0.7201548518,0.4247883555
SRX5694438,0.1665302667,-0.6993623565
SRX5694439,0.9767120508,-1.2378960131
SRX5694440,0.1617220732,0.733612848
SRX5694441,2.4104061016,0.1437629115
SRX5694442,10.7501409941,-0.012575100300000001
SRX5694443,0.0908248069,0.013494464400000001
SRX5694444,-0.8802917777,-0.5199691869
SRX5694445,6.8106588428,-0.8082855749000001
SRX5694446,1.6656428784,-0.28124425210000004
SRX5694447,-1.9147505411,-0.7477048607
SRX5694448,-0.3360482141,0.23144816980000002
SRX5694449,1.6026780382,0.0986056485
SRX5694450,-1.3202832421,-1.0103559979
SRX5694451,7.5264115857,0.0192373011
SRX5694452,7.5068653148,-1.1479057959
SRX5694453,-3.1375791169,1.0036312951
SRX5694454,-0.859255773,0.3691417097
SRX5694455,0.1075332965,-0.2100932629
SRX5694456,0.9073229414,0.22141732120000002
SRX5694457,0.3849621092,0.1783241848
SRX5694459,-0.8073056498000001,-0.5817095705
SRX5694460,-2.596029786,-0.3351265449
SRX5694461,-0.9023164771000001,-0.6879242828000001
SRX5694462,3.4135086511,-0.5021274031
SRX5694463,1.6654745551999999,-0.8585764687
SRX5694464,-1.3773532668000001,-0.5319944666
SRX5694465,0.3908107925,-0.989690354
SRX5694466,2.1170528222,0.1244911311
SRX5694467,-1.1071913976,-0.6707716737
SRX5694468,0.9637577179000001,-1.8434464277
SRX5694469,3.3193463364999998,-0.1657458679
SRX5694470,0.8350657989,-0.0399085479
SRX5694471,-0.091371277,-0.0068617705
SRX5694472,-1.3802160654,-0.1099776456
SRX5694474,5.2198003413,-0.2246419587
SRX5694475,3.7979384475,-0.0979767666
SRX5694476,-1.4521753507000001,-0.3940292831
SRX5694477,-1.2260556098,-1.5302315821999999
SRX5694478,0.0052941354,-0.769818432
SRX5694479,2.794582551,0.0792232239
SRX5694480,1.5381978936,-0.4748482667
SRX5694481,-1.4175661129,-0.8242004514
SRX5694482,-0.9863880285000001,0.2461992993
SRX5694483,2.0417599993,-0.4950452576
SRX5694484,1.2290455057,-0.6315531446
SRX5694485,-0.7670918274,0.6028393878
SRX5694486,-1.0018058444,0.3405231442
SRX5694487,1.4568289948,0.0765232571
SRX5694488,-2.8872671986,-0.3967694707
SRX5694489,-0.7130737592,0.1076364895
SRX5694491,-2.1554807913,-0.8305412630000001
SRX5694492,-0.1272395966,0.2342972989
SRX5694493,6.7572251437,-1.0550747553
SRX5694494,-2.8720702294000002,-0.0279433424
SRX5694495,0.3577756116,0.532489946
SRX5694496,0.7495958522,0.0022293331
SRX5694497,5.334836437,-0.5438759303
SRX5694498,0.1746059411,-0.4260685884
SRX5694499,-1.1904997052,-1.021850432
SRX5694500,0.8858597978,-1.142310457
SRX5694501,0.43058767000000003,-0.7797850761
SRX5694502,-1.22992341,-0.4376735842
SRX5694503,-4.0694529308,-0.6328811408
SRX5694504,-0.5049223277,0.4306005262
SRX5694505,-2.240641414,-0.1792234584
SRX5694506,-3.8781216815,0.0579272404
SRX5694507,0.7119896330000001,-0.06907469990000001
SRX5694508,2.2644371647,0.2810504513
SRX5694509,5.5113627912,-0.1680802982
SRX5694510,3.3177909575,-0.3850746765
SRX5694511,0.0284794688,-0.2641730655
SRX5694512,-1.7486018734000002,-1.1682882201
SRX5694513,1.5461525393,0.06409930400000001
SRX5694514,-1.6168610853,-1.0341742184
SRX5694515,2.4146710894,0.2131530882
SRX5694516,0.7937930743,-1.2429663747
SRX5694517,-2.924283275,-0.170561822
SRX5694518,0.46805660800000004,-0.3826914313
SRX5694519,5.6367565666,-1.0149947257
SRX5694520,-0.4893266778,0.0947729633
SRX5694521,-1.4587056666,0.1940215445
SRX5694522,-3.8508391478,-0.4525999171
SRX5694523,-3.031526028,-0.7187083235
SRX5694524,-1.3983494424,-0.0441060036
SRX5694525,0.5448898755,0.2690547645
SRX5694526,1.871780089,-1.1117305996
SRX5694527,0.7726222363,-0.9243616170000001
SRX5694528,2.4452495219,-0.0726450327
SRX5694529,-0.8833240474,0.23985371100000002
SRX5694530,-4.5394308428,0.06402755930000001
SRX5694532,5.5651948011,-0.8812371879
SRX5694533,-1.2431790788,-0.4032317978
SRX5694534,0.7253428639,-0.7585758288000001
SRX5694535,-3.9650957995000002,-0.3153420349
SRX5694536,-1.8465048832000002,-0.1848824982
SRX5694537,0.3251911866,-0.3054107467
SRX5694538,0.584090212,0.3428964195
SRX5694539,-0.3673712965,-0.7015723851
SRX5694540,4.3576196794,-0.5316680582000001
SRX5694541,0.3698611027,-0.6262608162000001
SRX5694543,0.5088464349,-1.4813806811
SRX5694544,-1.2956800582999999,-0.6160597114
SRX5694545,0.9657586271,-0.6859377116
SRX5694546,0.5264956656,-0.7744748689000001
SRX5694547,2.3040829466,-0.0972496556
SRX5694548,-0.7470372167,0.0200653403
SRX5694550,1.8447650636000001,0.2361296775
SRX5694551,-0.8750242113000001,-0.5504616025
SRX5694552,1.0186824763,-0.3397632976
SRX5694553,1.1689455268,0.58850841
SRX5694554,-0.9481829645000001,-0.1716953871
SRX5694555,2.1777527787,0.3238040323
SRX6072760,-3.4787174553,-0.7957800625
SRX6072761,-2.5146961423,-1.3044979601
SRX6072762,-2.7723978423,-0.6809866320000001
SRX6072763,-2.8165964741,-0.4947016193
SRX6072764,-3.7887743528,-1.357408961
SRX6072765,-3.0543892167,-0.2637539009
SRX6376491,1.0579878669,-0.0755710248
SRX6376492,-0.9060002602,-0.32746056100000004
SRX6376493,-1.3389143762,-0.1657935044
SRX6376494,-2.9582638233000003,0.2527602577
SRX6376495,0.4090230178,0.3882528541
SRX6376496,1.0893691388,-0.35390774740000003
SRX2723951,-0.1968172909,0.4204126039
SRX2723952,-0.5102686641,0.8356858015
SRX2723953,-0.1035642695,0.550284662
SRX2723954,-0.6876573121,1.4971413127
SRX2723955,0.1424927946,-0.1468324058
SRX2723956,-0.4615643494,0.9945332394
SRX2723957,-0.0123195623,0.0059526442
SRX2723958,0.5295041719,-0.052680647000000004
SRX2723959,0.28203554670000003,0.34174608910000004
SRX2723960,0.0043060918,0.6389291605
SRX2723961,-0.9761706979,1.5645904607999999
SRX2723962,-0.3017891817,0.43640386810000004
SRX2723963,0.13565391270000002,-0.2525662742
