,A,NrdR
R2,,0.019330444166823946
xmin,,-1.8357552199999996
xmid,,
xmax,,1.983518504000001
ystart,,-3.8389977870480507
yend,,2.033612154157553
control__wt_glc__1,0.0423072789146621,0.008663777000001538
control__wt_glc__2,-0.0423072789146592,-0.00866377700000065
fur__wt_dpd__1,11.226652076645856,0.44312632100000027
fur__wt_dpd__2,11.121560788794342,0.3556655460000009
fur__wt_fe__1,-2.4911442628860483,0.0015992790000005641
fur__wt_fe__2,-2.2835024438081803,0.13105808500000027
fur__delfur_dpd__1,10.03621790945664,0.2748207270000016
fur__delfur_dpd__2,9.63492774835898,0.3650286790000008
fur__delfur_fe2__1,7.147370206993891,0.2388295700000009
fur__delfur_fe2__2,7.413761690101936,0.2724883640000009
acid__wt_ph5__1,-0.2082273559429748,0.2676381920000015
acid__wt_ph5__2,-0.3017794305702867,0.2817024450000005
acid__delgadx_ph5__2,-1.6349415330048649,0.3497529550000005
acid__delgadw_ph5__1,-2.431080139267986,0.4616729889999993
acid__delgadw_ph5__2,-2.202858943868189,0.2427037090000006
acid__delgade_ph5__1,0.1994563546863611,0.34090816200000074
acid__delgade_ph5__2,0.2778827361747638,0.3449232330000003
oxidative__wt_pq__1,10.961828544684254,0.6898398570000008
oxidative__wt_pq__2,11.354118526849376,0.4562066870000008
oxidative__deloxyr_pq__1,11.219774635189069,0.9135846660000002
oxidative__deloxyr_pq__2,11.206596070659186,0.8556997910000009
oxidative__delsoxr_pq__1,9.368564734209356,0.5692543320000008
oxidative__delsoxr_pq__2,9.13636621244668,0.4765795810000011
oxidative__delsoxs_pq__1,9.490764035062844,0.8538542729999996
oxidative__delsoxs_pq__2,9.073358342020333,0.8683671050000008
nac_ntrc__wt_csn__1,5.009972400652748,0.11591862900000027
nac_ntrc__wt_csn__2,4.90045655673482,0.09800384200000156
nac_ntrc__wt_cytd__1,4.055026071482791,-0.13650298199999966
nac_ntrc__wt_cytd__2,4.13932960728601,-0.07747162599999946
nac_ntrc__wt_gln__1,-0.9011836335675494,-0.24473103599999926
nac_ntrc__wt_gln__2,0.011891363757069,-0.06280370399999935
nac_ntrc__bw_delnac_csn__1,5.063044535320089,0.5560082290000006
nac_ntrc__bw_delnac_csn__2,6.243927452501488,0.16602112299999927
nac_ntrc__bw_delnac_cytd__1,2.177792103956802,-0.0571514939999993
nac_ntrc__bw_delnac_cytd__2,1.962904317589926,0.10549182600000062
nac_ntrc__bw_delnac_gln__1,1.4662398236352443,0.17648664800000002
nac_ntrc__bw_delnac_gln__2,1.9951702188033027,-0.114299677
nac_ntrc__bw_delnac_nh4__1,0.2023637502680743,-0.08694905799999919
nac_ntrc__bw_delnac_nh4__2,0.3637845239783928,-0.005938897000000054
misc__wt_no_te__1,9.1570874054135,0.35601878100000217
misc__wt_no_te__2,8.148829739012482,0.077565463
misc__bw_delcbl__1,2.941658650289719,0.31326806900000026
misc__bw_delcbl__2,3.222127551930837,0.2658145790000006
misc__bw_delfabr__1,-0.294318713933774,0.2421885430000001
misc__bw_delfabr__2,-0.2173856856653991,0.10963391300000057
misc__bw_delfadr__1,6.008367640201998,0.3400999260000006
misc__bw_delfadr__2,5.384112121609722,0.30855465700000106
misc__nitr_031__1,3.682156210106098,0.3596994690000006
omics__wt_glu__1,-1.7305849360695424,-0.7958686469999989
omics__wt_glu__2,-1.640696940051222,-0.6391860529999986
omics__wt_gly__1,-0.3891953772299751,-0.6523013449999997
omics__wt_gly__2,-0.3306027688068079,-0.6781054459999991
omics__wt_thr__1,-3.939913097309153,-0.547171839999999
omics__wt_thr__2,-3.9845331616495,-0.4161534599999994
omics__bw_ac__1,3.6263672372295432,0.09369787700000033
omics__bw_ac__2,3.442453833656468,0.1288767240000004
