,yfdG
Cr_1,-0.0013356615573588092
Cr_2,-0.0026311583621433173
Cr_3,-0.005375144001061889
Cr_4,-0.010517219479980236
Cr_5,-0.014749360095118624
Cr_6,-0.019993488300128263
Fe_1,-0.009353333815363487
Fe_2,-0.017501283176017096
Fe_3,-0.014899035452040875
Fe_4,-0.007234666250321573
Fe_5,0.0019130736515206672
Fe_6,0.014394440273622687
Cd_1,-0.0012253647831255185
Cd_2,-0.0002651378865992364
Cd_3,0.0012404775342467055
Cd_4,-0.0008731782748194898
Cd_5,-0.006976318278292325
Cd_6,-0.006592583331754554
Zn_1,0.0006497746185969287
Zn_2,0.003903896131812483
Zn_3,0.014268442156253345
Zn_4,0.03186169402738314
Zn_5,0.04607821859694669
Zn_6,0.056841464159304085
Cu_1,0.004359278143661178
Cu_2,0.00793709474150662
Cu_3,0.015222160714913028
Cu_4,0.02018206560500659
Cu_5,0.026997133797741588
Cu_6,0.035475701215330425
Pb_1,0.011988419343405115
Pb_2,0.025364237087065644
Pb_3,0.03953414998763631
Pb_4,0.053180113133576117
Pb_5,0.061699328852517485
Pb_6,0.06744954172289859
