,ydiL
Cr_1,-0.00948472668416029
Cr_2,-0.012539304627863094
Cr_3,-0.00476631571930251
Cr_4,0.007508775950117628
Cr_5,0.01504107309225662
Cr_6,0.021397114847354792
Fe_1,-0.021417801103386487
Fe_2,-0.07066214635024354
Fe_3,-0.10570709119980408
Fe_4,-0.12703137539288725
Fe_5,-0.14426294384273586
Fe_6,-0.14864261660027386
Cd_1,0.008740804314379806
Cd_2,0.014068028123685144
Cd_3,0.016824700090508318
Cd_4,0.018314920939988343
Cd_5,0.02050639500387365
Cd_6,0.030209509433113818
Zn_1,0.018891471788686928
Zn_2,0.006372522091497346
Zn_3,0.017835058905111608
Zn_4,0.02408189105864051
Zn_5,0.023178807322132476
Zn_6,0.016855963927699003
Cu_1,0.012304608385157793
Cu_2,0.021360551508146745
Cu_3,0.02962605606654085
Cu_4,0.027126352280472117
Cu_5,0.024105107644627484
Cu_6,0.03133067969334074
Pb_1,0.004046263084935668
Pb_2,0.01015058921972091
Pb_3,0.016374502723249425
Pb_4,0.02938860060076916
Pb_5,0.023955893265374357
Pb_6,0.03790673868779403
