,sppA
Cr_1,0.0016077629967825148
Cr_2,0.0011925769393266925
Cr_3,0.001344339908806787
Cr_4,-0.0019493367640508413
Cr_5,-0.0033609754636962663
Cr_6,-0.00656291624705283
Fe_1,-0.024866898416374333
Fe_2,-0.05059160973628337
Fe_3,-0.06105696102347422
Fe_4,-0.07615814118113864
Fe_5,-0.08725582780651628
Fe_6,-0.0915316210503041
Cd_1,-0.0007666648389011004
Cd_2,0.0023043457323039225
Cd_3,0.008210066654578766
Cd_4,0.016569053616957128
Cd_5,0.024592842470106045
Cd_6,0.03651668115692515
Zn_1,-0.008060795447618412
Zn_2,0.009835280538329343
Zn_3,0.0474359049691219
Zn_4,0.0899660791911353
Zn_5,0.11387693353618285
Zn_6,0.1360051403634692
Cu_1,-0.0027584485398553338
Cu_2,0.0008184011139378753
Cu_3,0.006094347660615515
Cu_4,0.013316056310673877
Cu_5,0.02296994648182697
Cu_6,0.029913215246618205
Pb_1,-0.002181792253948378
Pb_2,-0.0002715270371185349
Pb_3,0.005306099494316288
Pb_4,0.01412125069961516
Pb_5,0.0232491906183142
Pb_6,0.038795759343012035
