,ycgY
Cr_1,0.0011695617367937627
Cr_2,0.0041435434348163856
Cr_3,0.00901590469395248
Cr_4,0.011090407232800407
Cr_5,0.008413628326441153
Cr_6,0.008947440048920013
Fe_1,-0.004203092908473426
Fe_2,-0.016922695439783968
Fe_3,-0.03323742071829058
Fe_4,-0.06168264409004285
Fe_5,-0.0707045810731104
Fe_6,-0.07587966327073065
Cd_1,0.000972734777073198
Cd_2,0.007817671738940726
Cd_3,0.013101428078412728
Cd_4,0.014859419487701416
Cd_5,0.015454440435824881
Cd_6,0.016410558048858673
Zn_1,-0.008750296070641327
Zn_2,-0.019686482149837918
Zn_3,-0.03106428990976728
Zn_4,-0.038372652716218605
Zn_5,-0.04221457410423304
Zn_6,-0.04672768232542559
Cu_1,0.007538813276142727
Cu_2,0.014270604182848487
Cu_3,0.019360384592220732
Cu_4,0.026712349712757703
Cu_5,0.03296205786267774
Cu_6,0.03564379425847685
Pb_1,0.005449098386806061
Pb_2,0.012776033175807658
Pb_3,0.014677384210265198
Pb_4,0.019779104426841904
Pb_5,0.03150422927347685
Pb_6,0.037070518893580665
