,panB
Cr_1,-0.0006392142951814045
Cr_2,0.00020565468962474624
Cr_3,0.000660733618395291
Cr_4,-0.003669938284335807
Cr_5,-0.0077178365023613735
Cr_6,-0.006990460791143272
Fe_1,-0.006998207529355156
Fe_2,0.004498387258643002
Fe_3,0.02921005429601687
Fe_4,0.046880835921079035
Fe_5,0.056521241130252475
Fe_6,0.06122644919160521
Cd_1,-0.0016302684296387196
Cd_2,-0.002590369118601929
Cd_3,-0.003805924495634379
Cd_4,-0.005922608197665978
Cd_5,-0.013594063546911212
Cd_6,-0.012074587516379676
Zn_1,-0.00033579955776892785
Zn_2,0.009070342748714532
Zn_3,0.015926449559091976
Zn_4,0.01240601966959358
Zn_5,-0.0010723465652741923
Zn_6,-0.019119319634003155
Cu_1,0.0037717174758725523
Cu_2,0.006556258976630642
Cu_3,0.012545828171367505
Cu_4,0.018968785327021016
Cu_5,0.02506194038361884
Cu_6,0.034033365500200745
Pb_1,0.0012599069054228652
Pb_2,0.005655739283777522
Pb_3,0.009296883335696721
Pb_4,0.008984801080566122
Pb_5,0.011756939506916994
Pb_6,0.015513802392291744
