,-0.12332895031847163,-0.09592251691436682,-0.068516083510262,-0.04110965010615719,-0.013703216702052379,0.013703216702052434,0.04110965010615725,0.06851608351026206,0.09592251691436687,0.12332895031847169,0.1507353837225765,0.1781418171266813,0.20554825053078613,0.23295468393489094,0.26036111733899575,0.28776755074310056,0.3151739841472054,0.3425804175513102,0.369986850955415,0.39739328435951976
thresh,-0.10962573361641922,0.10962573361641922,6,,,,,,,,,,,,,,,,,
unreg,1,1,3,35,1885,1697,35,3,0,0,0,0,0,0,0,0,0,0,0,0
RbsR,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsrA,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,6,243,277,8,1,0,0,0,0,0,0,0,0,0,0,0,0
dsrA and Crp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RbsR, dsrA, and Crp",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0
unreg_genes,['iraP'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RbsR_genes,[],[],[],[],['add' 'dcd'],['purD' 'purH' 'udk'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
dsrA_genes,[],[],[],[],['hns' 'ilvI' 'lrp'],['argR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
