,A,RbsR,Crp
R2,,0.2655475503220672,0.008752199240313119
xmin,,-3.832661701,-9.852476477
xmid,,-0.4603656298175284,
xmax,,5.6453934485,2.5388323397
ystart,,-1.2047199744074137,-2.2822648510769836
yend,,12.510879646012558,0.8487023650386148
SRX1125282,-0.2283111119,0.0603570025,0.0344951212
SRX1125283,-0.804433562,-0.20278509220000002,0.1435731223
SRX1125284,-1.0346141095,0.0672725276,0.2534372822
SRX1125285,-1.2660836299,-0.018956761500000002,0.283920339
SRX1125286,-0.6049513747,-0.0267543259,0.3175329239
SRX1125287,-1.8190604239,-0.4456719213,0.17602055360000002
SRX1125288,0.0287682463,-0.0150211735,0.005256366
SRX1125289,-0.6864163129,-0.2377915977,0.2819816342
SRX1125290,-1.0158379156,-0.1097114376,0.2801678667
SRX1125291,-1.6080283653,-0.28167288500000004,0.4762089513
SRX1125292,-2.1770788146,-0.5201365092,0.5370175003000001
SRX1125293,-2.3712156626,-0.2913790289,0.5086233319
SRX1125294,0.1995428656,-0.045335829,-0.039751487200000005
SRX1125295,0.4481095942,0.0439033392,0.2905320638
SRX1125296,-0.1463598293,-0.2469150126,0.1859933018
SRX1125297,-0.7826940345000001,-0.3674760588,0.3699621097
SRX1125298,-1.0351578542,-0.5715873718,0.5483756585
SRX1125299,-1.193850366,-0.1173119692,0.50143841
SRX5694250,-1.6924384563000001,-0.1673538551,-0.4516798918
SRX5694251,-2.9316790693,-2.2566685091,-1.8893970692000002
SRX5694252,3.1163357997,0.9341869061,-0.1701238306
SRX5694253,-0.6953300298,-0.3503653886,0.1340371706
SRX5694254,-1.1620442418,-0.1311211108,-0.8477189713000001
SRX5694255,6.7302266703,-1.5988989363,0.1307715067
SRX5694256,0.300820911,0.3474775269,-0.2340068764
SRX5694257,-1.8843336333,-0.1825282192,-0.33700626310000004
SRX5694258,-4.1288624186,-0.40232985060000004,-0.2857852433
SRX5694259,-3.7919723427000003,-2.0473371218,-2.9247054987
SRX5694260,-0.5257520943,0.3790628541,0.0899715865
SRX5694261,1.8480350586,-0.3612196621,-1.6070723407
SRX5694262,0.9613615843000001,0.1083700872,-0.5390842036
SRX5694263,1.3656453569,0.8378407589,-0.0980165268
SRX5694264,3.8163621822,1.2233232101,0.2016373309
SRX5694265,0.045802271900000004,0.3657959692,-0.2490351859
SRX5694267,-1.7209086014000001,-0.4076899694,0.0411821817
SRX5694268,0.32872608600000003,0.5133059295,0.0231238538
SRX5694269,0.2596251218,0.159297716,0.0476350313
SRX5694271,0.6071086835,0.33382645780000003,0.24713669740000002
SRX5694273,-0.7561214025,-0.9414576754,-1.5465123927
SRX5694274,-0.1877357483,0.2792200508,0.2066153554
SRX5694275,1.1203640008,0.45014174560000003,-0.5157335737000001
SRX5694276,0.2653999995,-1.1360054351,-1.8223907651
SRX5694277,0.2229125706,0.6239019977,0.36042412560000003
SRX5694278,-3.1895881597,-0.3632183212,-1.3002511837
SRX5694279,-0.1020457401,0.4818624365,0.3379205155
SRX5694280,-5.1315877176,-0.9320233361,-0.6834405493
SRX5694281,-2.0168558106,0.4429638696,0.1656640608
SRX5694282,-2.5924368302,-2.4834532592,-0.9934080376000001
SRX5694283,0.5269605878,0.2089362789,-0.3443110079
SRX5694284,-0.1151070747,-0.2617201745,-0.9407234058
SRX5694285,-0.9267915507000001,-0.0049364286,-0.0040549861000000005
SRX5694286,0.9112666418,0.7778504042000001,-0.1478341465
SRX5694287,-4.4855029693,-0.5385102752,-0.1558928562
SRX5694288,2.5057718183,0.7609089584000001,0.2764607147
SRX5694289,-0.2799353426,-0.4252427586,-0.14661147630000002
SRX5694290,3.6151117276,1.1789602374,0.2201400917
SRX5694291,6.3939867631,-1.3337779244,0.1874058842
SRX5694292,-2.1603356904,0.2007506645,0.0513472187
SRX5694293,1.051567037,0.0177071462,0.3866879371
SRX5694294,-2.4574142617,0.013112424400000001,-0.0602559214
SRX5694295,-2.1212971684,-0.6162804669,-1.4743546362
SRX5694296,-1.54957499,-0.12339276610000001,-0.13444608700000002
SRX5694297,-0.9088127266,-1.6209562147,-1.621907484
SRX5694298,-2.1760363978,-0.2075405401,-0.0376343135
SRX5694299,-1.8112957795,0.0300599385,-0.0810478849
SRX5694300,1.2081619451,-0.07501778910000001,0.1296583874
SRX5694301,-2.6035599668,0.272212822,0.2017965224
SRX5694302,2.8237942203,0.9220807336,0.1490464558
SRX5694303,2.6378074265,1.1480255612,0.2623448043
SRX5694304,1.8023000833,0.27815060340000003,-0.22631582460000002
SRX5694305,-1.8188634497,-1.2441936477,-1.9945889461
SRX5694306,1.4182005171,0.605568424,-0.303318389
SRX5694307,-3.3601821848,-2.6899145824,-0.9213934478
SRX5694308,-0.5213291011,0.0916746841,-0.5542551321
SRX5694309,-0.1948613018,-1.8215921828,-2.4371824129
SRX5694310,-1.5296327315,-0.7385569723000001,-0.6975730314
SRX5694311,-2.2822452102,-1.7472781335,-2.788252041
SRX5694312,0.5450054997,-0.0708073883,-0.46271994780000003
SRX5694313,0.7859324107000001,-0.15044802370000002,-1.0117169578
SRX5694315,0.1330629766,0.43527973900000005,-0.1729404675
SRX5694317,-1.9323854696,0.4629629685,0.2138522692
SRX5694319,2.081368117,0.3454311613,0.22403181360000002
SRX5694320,6.3913847041,-1.1589926281,-0.09237995040000001
SRX5694321,0.6257082231000001,-0.5031607736,-0.38942819040000004
SRX5694322,-3.8736212688,-2.888945181,-1.1362642293
SRX5694323,0.8297526468,-0.5547854136,-0.41342659340000004
SRX5694324,-4.4503701611,-2.4170618261,-1.6036324816
SRX5694325,-1.0084709464,-1.5309440975,-0.5104274184
SRX5694326,0.3790344718,0.6404926768,-0.1584196907
SRX5694327,-2.4170571262,-0.9905015998000001,-0.6589226995
SRX5694328,2.3511877639,0.911335267,0.1764471632
SRX5694329,-0.4332626603,-0.7587501117000001,-0.5799739837
SRX5694330,2.1020259111,0.5432082069,-0.6950204566
SRX5694331,0.6162368143,0.1132628822,0.245553549
SRX5694332,2.4135404871,0.5932689538,-0.24882076420000002
SRX5694334,-1.4583404621,-0.23279898070000002,-1.0972302127
SRX5694335,-0.20196501600000002,-0.8082702138000001,-2.0210704043
SRX5694336,-0.0334344833,-0.8152203617,-1.6584843203
SRX5694337,-0.5693926062,0.0014109329,-0.2397944182
SRX5694338,0.9000429753,0.7580667436,0.1989831632
SRX5694339,2.6982002864,0.7149241856,0.10670366340000001
SRX5694340,-2.8750721683,0.0101711432,-0.1227589166
SRX5694341,-4.4645999222,-2.5758335324,-1.4531793695
SRX5694342,-0.9390913889,-1.4177218061,-1.642695013
SRX5694343,1.3575858556,0.674870971,-0.659556922
SRX5694344,-1.0411809093,-0.9419681569,-0.5482364304
SRX5694345,0.0171460088,-0.48574183260000003,-0.1455592358
SRX5694346,-0.1658579597,0.2901961688,-0.6506498564000001
SRX5694347,-0.7976100737,-0.3939792378,-0.0665078507
SRX5694348,-0.0472208796,1.2185543053,0.0163008612
SRX5694349,-0.1409159449,0.12654535120000002,0.3281616036
