,-0.10284710269039309,-0.08227768215231447,-0.06170826161423586,-0.04113884107615724,-0.020569420538078628,-1.3877787807814457e-17,0.0205694205380786,0.041138841076157215,0.06170826161423583,0.08227768215231444,0.10284710269039306,0.12341652322847167,0.14398594376655027,0.16455536430462891,0.1851247848427075,0.2056942053807861,0.22626362591886473,0.24683304645694337,0.26740246699502196,0.28797188753310055
thresh,-0.11313181295943239,0.11313181295943239,2,,,,,,,,,,,,,,,,,
unreg,0,0,1,14,634,4200,538,33,4,2,0,0,0,0,0,0,0,0,0,0
AmrZ,0,0,0,0,16,99,9,2,0,0,0,0,1,3,4,1,0,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
AmrZ_genes,[],[],[],[],"['nicR' 'PP_0916' 'hpf' 'wbpZ' 'amrZ' 'lon-II' 'PP_0767' 'PP_0563'
 'PP_1642' 'PP_4628' 'urtC' 'PP_1670' 'ftsE' 'PP_2595' 'PP_4293' 'wbpM']","['sodA' 'tpiA' 'PP_5588' 'grxD' 'PP_3134' 'PP_2868' 'ycgR' 'PP_5267'
 'hisQ' 'rsmA' 'PP_1487' 'urtE' 'PP_0925' 'rsgA' 'purU-II' 'PP_4616'
 'PP_4275' 'PP_0972' 'nrdR' 'pntAA' 'PP_1824' 'upxB' 'bkdB' 'dnaEA' 'ispF'
 'PP_3139' 'regA' 'PP_0279' 'PP_1519' 'rhlE-II' 'pde' 'PP_1724' 'PP_3133'
 'rbsA-I' 'peaC' 'ftsI' 'PP_1189' 'fabD' 'PP_3132' 'cobO' 'PP_2310'
 'PP_0914' 'PP_0860' 'hda' 'oprJ' 'PP_1501' 'PP_3142' 'PP_4640' 'yegH'
 'pobA' 'PP_0753' 'PP_2853' 'PP_1863' 'PP_3136' 'dedD' 'PP_5328' 'PP_4769'
 'mpl' 'PP_2683' 'PP_3138' 'mutY' 'peaD' 'suhB' 'asd' 'PP_1154' 'pqqF'
 'gbdR' 'mrpC' 'treY' 'ctpL' 'surA' 'PP_3135' 'cspA-I' 'bamA-I' 'PP_5218'
 'uppS' 'PP_2091' 'PP_3140' 'flgE' 'cobH' 'PP_0202' 'PP_0086' 'prpC'
 'argS' 'PP_3137' 'relA' 'peaA' 'PP_1709' 'PP_1829' 'PP_3531' 'flgG'
 'PP_5039' 'PP_0287' 'sucB' 'PP_3141' 'PP_3774' 'PP_0431' 'PP_5023' 'lspA']",['putP' 'fleQ' 'spuG' 'htrG' 'peaB' 'PP_1503' 'phhR' 'cyoE' 'nfeD'],['cynT' 'yegS'],[],[],[],[],['algL'],['algI' 'alg8' 'algG'],['algK' 'algE' 'algA' 'algX'],['alg44'],[],['algD' 'algF' 'algJ'],[],[]
