,A,AmrZ
R2,,0.030426343787913646
xmin,,-1.4873869357499991
xmid,,
xmax,,2.47485473
ystart,,1.6079405418678054
yend,,-2.8039465022700742
ALE:GalactoseA5:1.0,-2.325989218602082,0.8723602514999982
ALE:GalactoseA5:2.0,-2.480960532642712,1.0549518494999983
ALE:GalactoseA6:1.0,13.581484330552664,-0.3479486585000018
ALE:GalactoseA6:2.0,14.319201142457477,-0.330950446500001
ALE:GalactoseA8:1.0,-1.2449970075555945,0.2386400564999977
ALE:GalactoseA8:2.0,-1.2119713608367697,0.3970422484999982
ALE:IL_Control:1.0,0.259534604485908,-0.4037880455000007
ALE:IL_Control:2.0,0.7168854961468465,-0.5616731095000009
ALE:IL_Control:3.0,-0.8940383895015331,0.4660389344999984
ALE:IL_Control:4.0,-0.0823817099560852,0.4994222204999978
ALE:IL_TEOH_OAc:1.0,-1.7337853788926734,-0.4005706195000016
ALE:IL_TEOH_OAc:2.0,0.639641268631362,0.2608913834999988
ALE:IL_TEA_HS:1.0,1.044825084329032,-0.5206603605000009
ALE:IL_TEA_HS:2.0,0.945838763059848,0.2085600594999981
ALE:IL_Mixed:1.0,1.5127117232552536,0.1441558254999986
ALE:IL_Mixed:2.0,1.387722355834653,-0.1160190095000022
ALE:IL_PP5350:1.0,-0.7980318175735861,-0.4776749785000014
ALE:IL_PP5350:2.0,-0.9618647806763329,-0.2223712505000019
ALE:IL_T8:1.0,-0.4792671177201469,0.5333495494999987
ALE:IL_T8:2.0,-0.4784943638144127,0.3250378284999993
ALE:IL_T9:1.0,8.784106159017977,1.7633450594999989
ALE:IL_T9:2.0,8.009190039786159,1.8916334694999983
ALE:IL_Control2:1.0,4.82984458141043,0.0491215724999989
ALE:IL_Control2:2.0,6.376506980370969,-0.059432364500001
ALE:IL_Glc+Ace:1.0,-0.66100873369098,0.356140836499998
ALE:IL_Glc+Ace:2.0,-1.3670555413847716,0.6404061504999987
ALE:XyloseA1:1.0,-1.9024282541689244,0.6619984704999986
ALE:XyloseA1:2.0,-2.7037444402440074,0.3988398204999992
ALE:XyloseA2:1.0,-2.3772640109150385,1.2607336994999994
ALE:XyloseA2:2.0,-1.3863354496024938,0.9553788094999992
ALE:XyloseA3:1.0,-1.015579237284452,1.3408831594999988
ALE:XyloseA3:2.0,-1.4901592498483245,1.3529128194999984
ALE:XyloseA4:1.0,-0.5232969422134991,0.592803405499998
ALE:XyloseA4:2.0,-0.6340330155058068,0.6762796574999985
Aromatic:Coumarate:1.0,-3.802032550741643,0.9673735736666682
Aromatic:Coumarate:2.0,-0.7746792261464095,0.4477030276666678
Aromatic:Coumarate:3.0,-1.0149756681027418,0.5428885976666677
Aromatic:Coumarate+ferulate:1.0,2.375869084151255,1.300791913666668
Aromatic:Coumarate+ferulate:2.0,3.287970878768243,0.6899814936666679
Aromatic:Coumarate+ferulate:3.0,2.864142148984178,1.117906803666667
Aromatic:Ferulate:1.0,0.8559724924081731,1.5607523136666686
Aromatic:Ferulate:2.0,1.2298891982651947,1.392819023666668
Aromatic:Ferulate:3.0,0.3510860692054963,1.360061863666667
Aromatic:Glucose:1.0,-0.2183027962975704,0.086459309666667
Aromatic:Glucose:2.0,-0.2341749107963711,0.1291588826666672
Aromatic:Glucose:3.0,0.4524777071239079,-0.2156181923333324
Bioreactor1:24h:1.0,-0.4465407093182411,-0.0503588350000008
Bioreactor1:24h:2.0,0.4465407097536565,0.050358834999999
Bioreactor2:S_0min:1.0,0.0926515678811455,0.0360542250000008
Bioreactor2:S_15min:1.0,-0.3068945612764674,-0.487980070999999
Bioreactor2:P1_15min:1.0,-0.079656855308065,-0.5090493169999988
Bioreactor2:P3_15min:1.0,0.7344782808991138,-0.3152602359999985
Bioreactor2:P5_15min:1.0,0.7281942460879681,-0.5219167269999989
Bioreactor2:S_1h:1.0,-1.5732595097979367,-0.2296224019999986
Bioreactor2:S_3h:1.0,-1.1480325950065764,-0.3637689619999982
Bioreactor2:S_9h:1.0,-1.206179981719659,0.0189446650000011
Bioreactor2:S_25h:1.0,-1.049542673806302,-0.0457119969999979
Bioreactor2:P1_25h:1.0,-0.0110371158354062,0.0420896430000024
Bioreactor2:P3_25h:1.0,0.0365697319058794,-0.3195918269999982
Bioreactor2:P5_25h:1.0,0.9097791863410002,-0.491161126999998
Bioreactor2:S_0min:2.0,-0.3642697225822968,0.2264633980000017
Bioreactor2:S_15min:2.0,-0.2802766176736376,-0.5210360019999989
Bioreactor2:P1_15min:2.0,0.8509410415461387,-0.4852161109999979
Bioreactor2:P3_15min:2.0,-0.1135589261914901,-0.4017980989999987
Bioreactor2:P5_15min:2.0,1.2058071620699338,-0.543793707999999
Bioreactor2:S_1h:2.0,0.1113835529069857,-0.4448737069999975
