,A,YgeV
R2,,0.5641202921279417
xmin,,-2.945590933
xmid,,3.157729887586893
xmax,,7.701723587
ystart,,0.08279309316776207
yend,,21.34892420864314
control__wt_glc__1,0.1674900917700038,0.12889355800000013
control__wt_glc__2,-0.1674900917700053,-0.12889355800000013
fur__wt_dpd__1,-0.5628771261446526,-0.14594744199999976
fur__wt_dpd__2,-0.3116228056801478,-0.2335680250000003
fur__wt_fe__1,-0.0529609420896584,-0.116981821
fur__wt_fe__2,0.2669038639068892,0.021260218999999747
fur__delfur_dpd__1,-0.9918790938660946,0.013400603000000013
fur__delfur_dpd__2,-0.6138254135855273,-0.31645267599999993
fur__delfur_fe2__1,-0.1729547027529251,-0.12400085000000027
fur__delfur_fe2__2,-0.5320434600593247,0.13512240900000005
acid__wt_ph5__1,-0.7747951178989978,0.054970178000000036
acid__wt_ph5__2,-0.6133782147383766,-0.002907553000000007
acid__delgadx_ph5__2,-0.7737929172529334,-0.12440038900000028
acid__delgadw_ph5__1,-0.6069100910331378,0.12092961199999985
acid__delgadw_ph5__2,-0.6600594614620182,-0.2682088120000001
acid__delgade_ph5__1,-0.4766861878427306,0.2799654239999998
acid__delgade_ph5__2,-0.3128691654362852,-0.03264540400000016
oxidative__wt_pq__1,-0.8143057026796343,-0.27783704200000026
oxidative__wt_pq__2,-0.3441085985834883,-0.3654581210000001
oxidative__deloxyr_pq__1,-1.2515122353185997,-0.15262166900000018
oxidative__deloxyr_pq__2,-0.4879272325871497,0.07636990399999988
oxidative__delsoxr_pq__1,-0.838644711660494,0.13627123400000007
oxidative__delsoxr_pq__2,-0.7151193919365053,-0.06393273999999982
oxidative__delsoxs_pq__1,-0.7637539002532303,0.09267858399999973
oxidative__delsoxs_pq__2,-1.0943550123116197,0.213207696
nac_ntrc__wt_csn__1,0.4117947150730194,0.4550402030000002
nac_ntrc__wt_csn__2,0.0028053434036298,0.39335489100000004
nac_ntrc__wt_cytd__1,2.700882222568168,0.2180984399999999
nac_ntrc__wt_cytd__2,2.8135335678439635,-0.05626835499999983
nac_ntrc__wt_gln__1,4.673608669657759,0.4695825880000002
nac_ntrc__wt_gln__2,4.991748022254533,0.2732886940000001
nac_ntrc__bw_delnac_csn__1,2.109922894829838,0.7448587669999998
nac_ntrc__bw_delnac_csn__2,1.626523120121965,0.31048164999999983
nac_ntrc__bw_delnac_cytd__1,3.174597786413683,0.06100068099999989
nac_ntrc__bw_delnac_cytd__2,3.141150723252886,-0.192208602
nac_ntrc__bw_delnac_gln__1,4.9904282794950365,0.03460661899999984
