,yddW
Cr_1,-0.001135061670749185
Cr_2,-0.008109258391930586
Cr_3,-0.01080970761310798
Cr_4,-0.01933430795163512
Cr_5,-0.024610096251467817
Cr_6,-0.02830538010659859
Fe_1,-0.029927697312628707
Fe_2,-0.07189237927546878
Fe_3,-0.10917032160522952
Fe_4,-0.14571859286427086
Fe_5,-0.17282804729977275
Fe_6,-0.19393300387910525
Cd_1,0.005257696929204914
Cd_2,0.012048980061027836
Cd_3,0.0193025691749085
Cd_4,0.027390437159013282
Cd_5,0.03222990159458724
Cd_6,0.03978529745442039
Zn_1,-0.003373446311966033
Zn_2,-0.005021353556113522
Zn_3,-0.007669101798870908
Zn_4,-0.018227495184488296
Zn_5,-0.023288116754974258
Zn_6,-0.02957123243749884
Cu_1,0.0032154067602451594
Cu_2,0.010100294904631704
Cu_3,0.01503740480969391
Cu_4,0.0161396659532574
Cu_5,0.01750761551492755
Cu_6,0.02584255378088076
Pb_1,0.005073068290777975
Pb_2,0.015817084469325022
Pb_3,0.024853663141627052
Pb_4,0.03388488124407184
Pb_5,0.046947670810634785
Pb_6,0.05371873157244855
